Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,ATL,@,TOR,1st,2:24.0,ATL down 5 (16-21),M. Scott makes 2-pt shot from 2 ft (assist by S. Mack),ATL down 3 (18-21)
2,2014-10-29,ATL,@,TOR,1st,2:07.0,ATL down 3 (18-21),K. Bazemore makes 2-pt shot from 2 ft,ATL down 1 (20-21)
3,2014-10-29,ATL,@,TOR,1st,1:31.0,ATL down 1 (20-21),S. Mack misses 3-pt shot from 24 ft,ATL down 1 (20-21)
4,2014-10-29,ATL,@,TOR,1st,0:59.0,ATL down 1 (20-21),T. Sefolosha misses 2-pt shot from 7 ft,ATL down 1 (20-21)
5,2014-10-29,ATL,@,TOR,1st,0:33.0,ATL down 4 (20-24),S. Mack misses 2-pt shot from 2 ft (block by T. Hansbrough),ATL down 4 (20-24)
6,2014-10-29,ATL,@,TOR,1st,0:10.0,ATL down 4 (20-24),K. Bazemore misses 2-pt shot from 3 ft,ATL down 4 (20-24)
7,2014-10-29,ATL,@,TOR,1st,0:08.0,ATL down 4 (20-24),A. Horford makes 2-pt shot from 2 ft,ATL down 2 (22-24)
8,2014-10-29,ATL,@,TOR,2nd,2:31.0,ATL down 4 (47-51),J. Teague makes 3-pt shot from 24 ft (assist by A. Horford),ATL down 1 (50-51)
9,2014-10-29,ATL,@,TOR,2nd,2:02.0,ATL down 3 (50-53),P. Millsap misses 2-pt shot from 5 ft (block by K. Lowry),ATL down 3 (50-53)
10,2014-10-29,ATL,@,TOR,2nd,1:56.0,ATL down 3 (50-53),K. Korver misses 3-pt shot from 25 ft,ATL down 3 (50-53)
11,2014-10-29,ATL,@,TOR,2nd,1:10.0,ATL down 8 (50-58),P. Millsap misses 3-pt shot from 24 ft,ATL down 8 (50-58)
12,2014-10-29,ATL,@,TOR,2nd,1:06.0,ATL down 8 (50-58),A. Horford misses 2-pt shot from 2 ft,ATL down 8 (50-58)
13,2014-10-29,ATL,@,TOR,2nd,0:47.0,ATL down 8 (50-58),A. Horford misses 2-pt shot from 2 ft (block by A. Johnson),ATL down 8 (50-58)
14,2014-10-29,ATL,@,TOR,2nd,0:00.0,ATL down 10 (50-60),J. Teague makes 2-pt shot from 2 ft,ATL down 8 (52-60)
15,2014-10-29,ATL,@,TOR,3rd,2:37.0,ATL down 13 (67-80),S. Mack misses 2-pt shot from 4 ft,ATL down 13 (67-80)
16,2014-10-29,ATL,@,TOR,3rd,2:07.0,ATL down 13 (67-80),S. Mack makes 2-pt shot from 2 ft (assist by T. Sefolosha),ATL down 11 (69-80)
17,2014-10-29,ATL,@,TOR,3rd,1:18.0,ATL down 13 (69-82),M. Scott makes 2-pt shot from 12 ft (assist by S. Mack),ATL down 11 (71-82)
18,2014-10-29,ATL,@,TOR,3rd,0:08.0,ATL down 13 (71-84),S. Mack misses 2-pt shot from 3 ft,ATL down 13 (71-84)
19,2014-10-29,ATL,@,TOR,4th,2:57.0,ATL down 14 (88-102),M. Scott makes 3-pt shot from 24 ft (assist by J. Teague),ATL down 11 (91-102)
20,2014-10-29,ATL,@,TOR,4th,2:29.0,ATL down 11 (91-102),D. Carroll makes 3-pt shot from 23 ft (assist by M. Scott),ATL down 8 (94-102)
21,2014-10-29,ATL,@,TOR,4th,2:07.0,ATL down 9 (94-103),J. Teague makes 2-pt shot from 2 ft,ATL down 7 (96-103)
22,2014-10-29,ATL,@,TOR,4th,1:26.0,ATL down 7 (96-103),M. Scott makes 3-pt shot from 24 ft (assist by J. Teague),ATL down 4 (99-103)
23,2014-10-29,ATL,@,TOR,4th,0:36.0,ATL down 6 (99-105),D. Carroll makes 2-pt shot from 2 ft,ATL down 4 (101-105)
24,2014-10-29,ATL,@,TOR,4th,0:27.0,ATL down 6 (101-107),K. Korver misses 2-pt shot from 22 ft,ATL down 6 (101-107)
25,2014-11-01,ATL,,IND,1st,2:49.0,ATL up 9 (22-13),T. Sefolosha misses 2-pt shot from 6 ft,ATL up 9 (22-13)
26,2014-11-01,ATL,,IND,1st,2:06.0,ATL up 9 (22-13),T. Sefolosha misses 3-pt shot from 23 ft,ATL up 9 (22-13)
27,2014-11-01,ATL,,IND,1st,1:36.0,ATL up 9 (22-13),S. Mack misses 3-pt shot from 26 ft,ATL up 9 (22-13)
28,2014-11-01,ATL,,IND,1st,1:07.0,ATL up 9 (22-13),P. Antic makes 3-pt shot from 25 ft (assist by K. Bazemore),ATL up 12 (25-13)
29,2014-11-01,ATL,,IND,1st,0:41.0,ATL up 12 (25-13),T. Sefolosha misses 2-pt shot from 3 ft (block by R. Hibbert),ATL up 12 (25-13)
30,2014-11-01,ATL,,IND,1st,0:06.0,ATL up 10 (25-15),S. Mack makes 2-pt shot from 8 ft,ATL up 12 (27-15)
31,2014-11-01,ATL,,IND,2nd,2:40.0,ATL up 12 (48-36),J. Teague misses 2-pt shot from 2 ft,ATL up 12 (48-36)
32,2014-11-01,ATL,,IND,2nd,1:16.0,ATL up 7 (48-41),A. Horford misses 2-pt shot from 13 ft,ATL up 7 (48-41)
33,2014-11-01,ATL,,IND,2nd,0:04.0,ATL up 7 (51-44),J. Teague misses 3-pt shot from 25 ft,ATL up 7 (51-44)
34,2014-11-01,ATL,,IND,2nd,0:02.0,ATL up 7 (51-44),K. Bazemore misses 2-pt shot from 1 ft,ATL up 7 (51-44)
35,2014-11-01,ATL,,IND,3rd,2:56.0,ATL up 6 (65-59),D. Carroll makes 2-pt shot from 6 ft (assist by P. Millsap),ATL up 8 (67-59)
36,2014-11-01,ATL,,IND,3rd,2:10.0,ATL up 8 (67-59),S. Mack makes 2-pt shot from 10 ft,ATL up 10 (69-59)
37,2014-11-01,ATL,,IND,3rd,0:49.0,ATL up 10 (70-60),A. Horford misses 2-pt shot from 11 ft,ATL up 10 (70-60)
38,2014-11-01,ATL,,IND,3rd,0:00.0,ATL up 7 (70-63),S. Mack misses 3-pt shot from 26 ft,ATL up 7 (70-63)
39,2014-11-01,ATL,,IND,4th,2:42.0,ATL up 8 (91-83),A. Horford misses 2-pt shot from 2 ft (block by R. Hibbert),ATL up 8 (91-83)
40,2014-11-01,ATL,,IND,4th,2:42.0,ATL up 8 (91-83),A. Horford makes 2-pt shot from 2 ft,ATL up 10 (93-83)
41,2014-11-01,ATL,,IND,4th,1:48.0,ATL up 7 (93-86),D. Carroll misses 2-pt shot from 2 ft,ATL up 7 (93-86)
42,2014-11-01,ATL,,IND,4th,1:28.0,ATL up 4 (93-89),J. Teague makes 2-pt shot from 14 ft,ATL up 6 (95-89)
43,2014-11-01,ATL,,IND,4th,0:54.0,ATL up 3 (95-92),J. Teague makes 2-pt shot from 18 ft,ATL up 5 (97-92)
