Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,BOS,,BRK,1st,2:43.0,BOS up 7 (26-19),B. Bass makes 2-pt shot at rim (assist by M. Smart),BOS up 9 (28-19)
2,2014-10-29,BOS,,BRK,1st,1:43.0,BOS up 9 (28-19),E. Turner makes 2-pt shot from 19 ft (assist by R. Rondo),BOS up 11 (30-19)
3,2014-10-29,BOS,,BRK,1st,1:19.0,BOS up 9 (30-21),E. Turner misses 3-pt shot from 25 ft,BOS up 9 (30-21)
4,2014-10-29,BOS,,BRK,1st,0:44.0,BOS up 7 (30-23),B. Bass makes 2-pt shot from 16 ft,BOS up 9 (32-23)
5,2014-10-29,BOS,,BRK,1st,0:02.0,BOS up 9 (32-23),T. Zeller misses 2-pt shot at rim,BOS up 9 (32-23)
6,2014-10-29,BOS,,BRK,2nd,2:27.0,BOS up 15 (55-40),E. Turner makes 2-pt shot from 15 ft,BOS up 17 (57-40)
7,2014-10-29,BOS,,BRK,2nd,1:43.0,BOS up 16 (57-41),J. Sullinger misses 3-pt shot from 24 ft,BOS up 16 (57-41)
8,2014-10-29,BOS,,BRK,2nd,1:37.0,BOS up 16 (57-41),M. Thornton makes 3-pt shot from 24 ft (assist by E. Turner),BOS up 19 (60-41)
9,2014-10-29,BOS,,BRK,2nd,1:14.0,BOS up 19 (60-41),R. Rondo misses 2-pt shot from 6 ft,BOS up 19 (60-41)
10,2014-10-29,BOS,,BRK,2nd,0:56.0,BOS up 19 (60-41),J. Sullinger makes 2-pt shot from 8 ft (assist by R. Rondo),BOS up 21 (62-41)
11,2014-10-29,BOS,,BRK,2nd,0:19.0,BOS up 21 (62-41),E. Turner makes 2-pt shot from 2 ft,BOS up 23 (64-41)
12,2014-10-29,BOS,,BRK,3rd,2:31.0,BOS up 26 (91-65),E. Turner makes 2-pt shot from 20 ft,BOS up 28 (93-65)
13,2014-10-29,BOS,,BRK,3rd,1:56.0,BOS up 26 (93-67),J. Green makes 2-pt shot from 5 ft (assist by K. Olynyk),BOS up 28 (95-67)
14,2014-10-29,BOS,,BRK,3rd,1:26.0,BOS up 28 (95-67),B. Bass misses 2-pt shot from 2 ft (block by M. Teletovic),BOS up 28 (95-67)
15,2014-10-29,BOS,,BRK,3rd,0:52.0,BOS up 25 (95-70),M. Smart makes 3-pt shot from 24 ft (assist by E. Turner),BOS up 28 (98-70)
16,2014-10-29,BOS,,BRK,3rd,0:33.0,BOS up 27 (99-72),M. Thornton misses 2-pt shot from 16 ft,BOS up 27 (99-72)
17,2014-10-29,BOS,,BRK,3rd,0:00.0,BOS up 27 (99-72),K. Olynyk makes 2-pt shot from 14 ft,BOS up 29 (101-72)
18,2014-10-29,BOS,,BRK,4th,2:24.0,BOS up 19 (117-98),E. Turner misses 2-pt shot from 12 ft,BOS up 19 (117-98)
19,2014-10-29,BOS,,BRK,4th,2:00.0,BOS up 17 (117-100),J. Green misses 2-pt shot from 2 ft (block by A. Anderson),BOS up 17 (117-100)
20,2014-10-29,BOS,,BRK,4th,1:35.0,BOS up 17 (117-100),M. Smart misses 3-pt shot from 25 ft,BOS up 17 (117-100)
21,2014-10-29,BOS,,BRK,4th,1:15.0,BOS up 17 (117-100),A. Bradley makes 2-pt shot at rim (assist by E. Turner),BOS up 19 (119-100)
22,2014-10-29,BOS,,BRK,4th,0:53.0,BOS up 18 (119-101),K. Olynyk makes 2-pt shot from 1 ft,BOS up 20 (121-101)
23,2014-10-29,BOS,,BRK,4th,0:19.0,BOS up 18 (121-103),E. Turner misses 2-pt shot from 1 ft,BOS up 18 (121-103)
24,2014-11-01,BOS,@,HOU,1st,2:40.0,BOS down 16 (14-30),J. Green makes 2-pt shot from 9 ft,BOS down 14 (16-30)
25,2014-11-01,BOS,@,HOU,1st,1:38.0,BOS down 16 (16-32),T. Zeller makes 2-pt shot from 1 ft,BOS down 14 (18-32)
26,2014-11-01,BOS,@,HOU,1st,0:52.0,BOS down 16 (18-34),J. Sullinger misses 2-pt shot from 10 ft,BOS down 16 (18-34)
27,2014-11-01,BOS,@,HOU,1st,0:02.0,BOS down 17 (20-37),M. Thornton makes 2-pt shot from 2 ft (assist by R. Rondo),BOS down 15 (22-37)
28,2014-11-01,BOS,@,HOU,2nd,2:46.0,BOS down 22 (30-52),T. Zeller makes 2-pt shot at rim (assist by E. Turner),BOS down 20 (32-52)
