Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-30,CLE,,NYK,1st,2:31.0,CLE up 9 (21-12),L. James misses 3-pt shot from 23 ft,CLE up 9 (21-12)
2,2014-10-30,CLE,,NYK,1st,1:57.0,CLE up 7 (21-14),K. Love misses 3-pt shot from 25 ft,CLE up 7 (21-14)
3,2014-10-30,CLE,,NYK,1st,1:51.0,CLE up 7 (21-14),L. James misses 3-pt shot from 26 ft,CLE up 7 (21-14)
4,2014-10-30,CLE,,NYK,1st,1:25.0,CLE up 5 (21-16),S. Marion misses 2-pt shot from 3 ft,CLE up 5 (21-16)
5,2014-10-30,CLE,,NYK,1st,1:05.0,CLE up 5 (21-16),D. Waiters misses 3-pt shot from 26 ft,CLE up 5 (21-16)
6,2014-10-30,CLE,,NYK,1st,0:31.0,CLE up 5 (23-18),K. Love makes 2-pt shot at rim (assist by K. Irving),CLE up 7 (25-18)
7,2014-10-30,CLE,,NYK,1st,0:03.0,CLE up 7 (25-18),K. Irving misses 3-pt shot from 26 ft,CLE up 7 (25-18)
8,2014-10-30,CLE,,NYK,2nd,2:24.0,CLE tied (38-38),K. Love makes 2-pt shot from 9 ft,CLE up 2 (40-38)
9,2014-10-30,CLE,,NYK,2nd,1:55.0,CLE tied (40-40),L. James misses 2-pt shot from 1 ft,CLE tied (40-40)
10,2014-10-30,CLE,,NYK,2nd,1:16.0,CLE tied (40-40),L. James misses 2-pt shot from 14 ft,CLE tied (40-40)
11,2014-10-30,CLE,,NYK,2nd,1:11.0,CLE tied (40-40),T. Thompson misses 2-pt shot at rim,CLE tied (40-40)
12,2014-10-30,CLE,,NYK,2nd,0:33.0,CLE down 2 (40-42),K. Love misses 3-pt shot from 26 ft,CLE down 2 (40-42)
13,2014-10-30,CLE,,NYK,2nd,0:00.0,CLE tied (42-42),T. Thompson makes 2-pt shot at rim (assist by K. Irving),CLE up 2 (44-42)
14,2014-10-30,CLE,,NYK,3rd,2:26.0,CLE down 5 (60-65),T. Thompson misses 2-pt shot from 6 ft,CLE down 5 (60-65)
15,2014-10-30,CLE,,NYK,3rd,1:42.0,CLE down 7 (60-67),T. Thompson misses 2-pt shot from 10 ft,CLE down 7 (60-67)
16,2014-10-30,CLE,,NYK,3rd,1:10.0,CLE down 5 (62-67),M. Dellavedova misses 2-pt shot from 8 ft,CLE down 5 (62-67)
17,2014-10-30,CLE,,NYK,3rd,0:39.0,CLE down 5 (62-67),L. James misses 2-pt shot from 11 ft,CLE down 5 (62-67)
18,2014-10-30,CLE,,NYK,3rd,0:00.0,CLE down 5 (62-67),T. Thompson makes 2-pt shot from 1 ft (assist by M. Dellavedova),CLE down 3 (64-67)
19,2014-10-30,CLE,,NYK,4th,2:57.0,CLE down 9 (77-86),M. Dellavedova makes 3-pt shot from 27 ft (assist by K. Irving),CLE down 6 (80-86)
20,2014-10-30,CLE,,NYK,4th,2:20.0,CLE down 8 (80-88),K. Love makes 3-pt shot from 25 ft (assist by L. James),CLE down 5 (83-88)
21,2014-10-30,CLE,,NYK,4th,1:43.0,CLE down 5 (83-88),K. Irving makes 2-pt shot at rim,CLE down 3 (85-88)
22,2014-10-30,CLE,,NYK,4th,1:03.0,CLE down 3 (85-88),K. Love misses 3-pt shot from 26 ft,CLE down 3 (85-88)
23,2014-10-30,CLE,,NYK,4th,0:45.0,CLE down 5 (85-90),L. James makes 2-pt shot from 1 ft (assist by D. Waiters),CLE down 3 (87-90)
24,2014-10-30,CLE,,NYK,4th,0:10.0,CLE down 5 (87-92),K. Irving misses 3-pt shot from 26 ft,CLE down 5 (87-92)
25,2014-10-30,CLE,,NYK,4th,0:02.0,CLE down 7 (87-94),M. Dellavedova makes 3-pt shot from 23 ft (assist by K. Irving),CLE down 4 (90-94)
26,2014-10-31,CLE,@,CHI,1st,2:52.0,CLE down 4 (21-25),L. James misses 2-pt shot from 15 ft,CLE down 4 (21-25)
27,2014-10-31,CLE,@,CHI,1st,2:40.0,CLE down 4 (21-25),T. Thompson misses 2-pt shot from 10 ft,CLE down 4 (21-25)
28,2014-10-31,CLE,@,CHI,1st,2:23.0,CLE down 4 (21-25),L. James misses 2-pt shot from 22 ft,CLE down 4 (21-25)
29,2014-10-31,CLE,@,CHI,1st,2:18.0,CLE down 4 (21-25),L. James makes 3-pt shot from 24 ft (assist by T. Thompson),CLE down 1 (24-25)
30,2014-10-31,CLE,@,CHI,1st,1:23.0,CLE down 3 (24-27),L. James misses 2-pt shot from 3 ft,CLE down 3 (24-27)
31,2014-10-31,CLE,@,CHI,1st,1:20.0,CLE down 3 (24-27),T. Thompson makes 2-pt shot from 2 ft,CLE down 1 (26-27)
32,2014-10-31,CLE,@,CHI,1st,0:35.0,CLE down 1 (26-27),D. Waiters makes 2-pt shot from 19 ft,CLE up 1 (28-27)
33,2014-10-31,CLE,@,CHI,2nd,2:27.0,CLE up 8 (52-44),D. Waiters makes 2-pt shot from 20 ft (assist by S. Marion),CLE up 10 (54-44)
34,2014-10-31,CLE,@,CHI,2nd,1:29.0,CLE up 7 (54-47),L. James makes 2-pt shot from 12 ft,CLE up 9 (56-47)
35,2014-10-31,CLE,@,CHI,2nd,1:00.0,CLE up 6 (56-50),S. Marion misses 2-pt shot from 2 ft,CLE up 6 (56-50)
36,2014-10-31,CLE,@,CHI,2nd,1:00.0,CLE up 6 (56-50),T. Thompson misses 2-pt shot at rim,CLE up 6 (56-50)
37,2014-10-31,CLE,@,CHI,2nd,0:41.0,CLE up 6 (56-50),K. Love misses 2-pt shot from 10 ft,CLE up 6 (56-50)
38,2014-10-31,CLE,@,CHI,2nd,0:41.0,CLE up 6 (56-50),T. Thompson makes 2-pt shot from 2 ft,CLE up 8 (58-50)
39,2014-10-31,CLE,@,CHI,2nd,0:01.0,CLE up 6 (58-52),L. James misses 2-pt shot from 6 ft (block by M. Dunleavy),CLE up 6 (58-52)
40,2014-10-31,CLE,@,CHI,3rd,2:46.0,CLE up 3 (71-68),D. Waiters misses 2-pt shot from 2 ft (block by T. Snell),CLE up 3 (71-68)
41,2014-10-31,CLE,@,CHI,3rd,2:17.0,CLE up 3 (71-68),S. Marion misses 2-pt shot from 2 ft (block by P. Gasol),CLE up 3 (71-68)
42,2014-10-31,CLE,@,CHI,3rd,1:47.0,CLE up 3 (71-68),K. Love makes 2-pt shot from 7 ft (assist by M. Dellavedova),CLE up 5 (73-68)
43,2014-10-31,CLE,@,CHI,3rd,1:20.0,CLE up 5 (73-68),T. Thompson makes 2-pt shot from 5 ft,CLE up 7 (75-68)
44,2014-10-31,CLE,@,CHI,3rd,0:49.0,CLE up 6 (75-69),K. Love makes 2-pt shot from 22 ft (assist by M. Dellavedova),CLE up 8 (77-69)
45,2014-10-31,CLE,@,CHI,4th,2:35.0,CLE up 1 (91-90),K. Irving misses 2-pt shot from 21 ft,CLE up 1 (91-90)
46,2014-10-31,CLE,@,CHI,4th,2:20.0,CLE up 1 (91-90),K. Love misses 2-pt shot from 3 ft,CLE up 1 (91-90)
47,2014-10-31,CLE,@,CHI,4th,1:06.0,CLE down 5 (91-96),K. Love makes 2-pt shot at rim (assist by L. James),CLE down 3 (93-96)
48,2014-10-31,CLE,@,CHI,4th,0:28.0,CLE down 3 (95-98),K. Irving makes 2-pt shot from 3 ft (assist by L. James),CLE down 1 (97-98)
49,2014-10-31,CLE,@,CHI,4th,0:00.0,CLE tied (98-98),K. Love misses 3-pt shot from 26 ft,CLE tied (98-98)
50,2014-10-31,CLE,@,CHI,OT,2:47.0,CLE up 5 (104-99),L. James misses 2-pt shot from 3 ft,CLE up 5 (104-99)
51,2014-10-31,CLE,@,CHI,OT,2:44.0,CLE up 5 (104-99),T. Thompson misses 2-pt shot from 2 ft,CLE up 5 (104-99)
52,2014-10-31,CLE,@,CHI,OT,2:14.0,CLE up 2 (104-102),K. Irving misses 2-pt shot from 2 ft,CLE up 2 (104-102)
53,2014-10-31,CLE,@,CHI,OT,2:13.0,CLE up 2 (104-102),T. Thompson misses 2-pt shot from 1 ft,CLE up 2 (104-102)
54,2014-10-31,CLE,@,CHI,OT,1:51.0,CLE up 2 (104-102),K. Irving misses 3-pt shot from 26 ft,CLE up 2 (104-102)
55,2014-10-31,CLE,@,CHI,OT,0:52.0,CLE up 4 (106-102),L. James misses 2-pt shot from 16 ft,CLE up 4 (106-102)
56,2014-10-31,CLE,@,CHI,OT,0:25.0,CLE up 2 (106-104),L. James misses 2-pt shot from 16 ft,CLE up 2 (106-104)
57,2014-10-31,CLE,@,CHI,OT,0:24.0,CLE up 2 (106-104),T. Thompson makes 2-pt shot at rim,CLE up 4 (108-104)
58,2014-11-04,CLE,@,POR,1st,2:46.0,CLE down 2 (27-29),K. Irving misses 2-pt shot from 6 ft,CLE down 2 (27-29)
59,2014-11-04,CLE,@,POR,1st,2:17.0,CLE down 1 (28-29),L. James misses 2-pt shot from 2 ft,CLE down 1 (28-29)
60,2014-11-04,CLE,@,POR,1st,1:41.0,CLE down 1 (28-29),L. James misses 2-pt shot from 1 ft,CLE down 1 (28-29)
61,2014-11-04,CLE,@,POR,1st,1:39.0,CLE down 1 (28-29),T. Thompson misses 2-pt shot from 2 ft,CLE down 1 (28-29)
62,2014-11-04,CLE,@,POR,1st,1:38.0,CLE down 1 (28-29),T. Thompson makes 2-pt shot from 2 ft,CLE up 1 (30-29)
63,2014-11-04,CLE,@,POR,1st,1:05.0,CLE down 1 (30-31),M. Dellavedova misses 3-pt shot from 23 ft,CLE down 1 (30-31)
64,2014-11-04,CLE,@,POR,1st,0:28.0,CLE down 1 (30-31),K. Love misses 2-pt shot from 21 ft,CLE down 1 (30-31)
65,2014-11-04,CLE,@,POR,1st,0:27.0,CLE down 1 (30-31),M. Miller makes 2-pt shot from 1 ft,CLE up 1 (32-31)
66,2014-11-04,CLE,@,POR,1st,0:00.0,CLE up 1 (32-31),M. Dellavedova makes 2-pt shot from 11 ft,CLE up 3 (34-31)
67,2014-11-04,CLE,@,POR,2nd,2:43.0,CLE down 2 (46-48),K. Irving misses 2-pt shot from 15 ft (block by N. Batum),CLE down 2 (46-48)
68,2014-11-04,CLE,@,POR,2nd,2:20.0,CLE down 2 (46-48),K. Love misses 2-pt shot from 8 ft,CLE down 2 (46-48)
69,2014-11-04,CLE,@,POR,2nd,1:50.0,CLE down 4 (46-50),L. James misses 3-pt shot from 25 ft,CLE down 4 (46-50)
70,2014-11-04,CLE,@,POR,2nd,1:02.0,CLE down 2 (48-50),S. Marion misses 2-pt shot from 8 ft (block by R. Lopez),CLE down 2 (48-50)
71,2014-11-04,CLE,@,POR,2nd,1:00.0,CLE down 2 (48-50),T. Thompson makes 2-pt shot from 20 ft (assist by S. Marion),CLE tied (50-50)
72,2014-11-04,CLE,@,POR,2nd,0:02.0,CLE down 5 (50-55),K. Irving misses 3-pt shot from 25 ft,CLE down 5 (50-55)
73,2014-11-04,CLE,@,POR,3rd,2:43.0,CLE down 8 (66-74),K. Love misses 2-pt shot from 22 ft,CLE down 8 (66-74)
74,2014-11-04,CLE,@,POR,3rd,1:57.0,CLE down 8 (66-74),T. Thompson makes 2-pt shot at rim (assist by K. Love),CLE down 6 (68-74)
75,2014-11-04,CLE,@,POR,3rd,1:20.0,CLE down 6 (68-74),T. Thompson misses 2-pt shot at rim (block by C. Kaman),CLE down 6 (68-74)
76,2014-11-04,CLE,@,POR,4th,2:55.0,CLE down 18 (76-94),K. Irving makes 2-pt shot from 2 ft (assist by A. Kirk),CLE down 16 (78-94)
77,2014-11-04,CLE,@,POR,4th,2:22.0,CLE down 16 (78-94),J. Harris misses 3-pt shot from 23 ft,CLE down 16 (78-94)
