Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-28,DAL,@,SAS,1st,2:37.0,DAL down 4 (13-17),J. Nelson makes 3-pt shot from 24 ft,DAL down 1 (16-17)
2,2014-10-28,DAL,@,SAS,1st,2:09.0,DAL down 3 (16-19),D. Harris makes 2-pt shot from 17 ft,DAL down 1 (18-19)
3,2014-10-28,DAL,@,SAS,1st,1:31.0,DAL down 3 (18-21),B. Wright makes 2-pt shot at rim (assist by D. Harris),DAL down 1 (20-21)
4,2014-10-28,DAL,@,SAS,1st,0:48.0,DAL down 3 (20-23),D. Nowitzki makes 2-pt shot from 11 ft,DAL down 1 (22-23)
5,2014-10-28,DAL,@,SAS,1st,0:11.0,DAL down 4 (22-26),D. Harris misses 3-pt shot from 28 ft,DAL down 4 (22-26)
6,2014-10-28,DAL,@,SAS,1st,0:01.0,DAL down 4 (22-26),D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Harris),DAL down 2 (24-26)
7,2014-10-28,DAL,@,SAS,2nd,2:20.0,DAL up 5 (47-42),M. Ellis makes 2-pt shot from 4 ft,DAL up 7 (49-42)
8,2014-10-28,DAL,@,SAS,2nd,1:33.0,DAL up 4 (49-45),M. Ellis makes 3-pt shot from 23 ft (assist by D. Nowitzki),DAL up 7 (52-45)
9,2014-10-28,DAL,@,SAS,2nd,0:37.0,DAL up 8 (53-45),D. Harris misses 3-pt shot from 29 ft,DAL up 8 (53-45)
10,2014-10-28,DAL,@,SAS,2nd,0:00.0,DAL up 8 (53-45),C. Parsons misses 2-pt shot from 21 ft,DAL up 8 (53-45)
11,2014-10-28,DAL,@,SAS,3rd,1:43.0,DAL down 1 (71-72),D. Harris makes 2-pt shot from 8 ft,DAL up 1 (73-72)
12,2014-10-28,DAL,@,SAS,3rd,1:19.0,DAL down 1 (73-74),D. Harris misses 2-pt shot from 13 ft,DAL down 1 (73-74)
13,2014-10-28,DAL,@,SAS,3rd,0:16.0,DAL down 1 (73-74),M. Ellis misses 2-pt shot from 17 ft,DAL down 1 (73-74)
14,2014-10-28,DAL,@,SAS,4th,2:42.0,DAL down 5 (91-96),C. Parsons makes 3-pt shot from 26 ft (assist by D. Harris),DAL down 2 (94-96)
15,2014-10-28,DAL,@,SAS,4th,2:15.0,DAL down 4 (94-98),D. Nowitzki makes 2-pt shot from 16 ft,DAL down 2 (96-98)
16,2014-10-28,DAL,@,SAS,4th,1:28.0,DAL tied (98-98),D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Harris),DAL up 2 (100-98)
17,2014-10-28,DAL,@,SAS,4th,0:01.0,DAL down 1 (100-101),C. Parsons misses 3-pt shot from 28 ft,DAL down 1 (100-101)
18,2014-10-30,DAL,,UTA,1st,2:54.0,DAL up 8 (28-20),C. Parsons misses 2-pt shot from 1 ft,DAL up 8 (28-20)
19,2014-10-30,DAL,,UTA,1st,2:12.0,DAL up 8 (28-20),C. Parsons makes 2-pt shot from 2 ft,DAL up 10 (30-20)
20,2014-10-30,DAL,,UTA,1st,1:47.0,DAL up 10 (30-20),B. Wright makes 2-pt shot from 1 ft (assist by M. Ellis),DAL up 12 (32-20)
21,2014-10-30,DAL,,UTA,1st,1:11.0,DAL up 12 (32-20),B. Wright makes 2-pt shot from 1 ft (assist by D. Harris),DAL up 14 (34-20)
22,2014-10-30,DAL,,UTA,1st,0:01.0,DAL up 14 (34-20),A. Aminu makes 2-pt shot from 1 ft (assist by D. Harris),DAL up 16 (36-20)
23,2014-10-30,DAL,,UTA,2nd,2:58.0,DAL up 27 (62-35),D. Harris makes 3-pt shot from 24 ft (assist by C. Parsons),DAL up 30 (65-35)
24,2014-10-30,DAL,,UTA,2nd,2:13.0,DAL up 30 (65-35),J. Crowder misses 3-pt shot from 25 ft,DAL up 30 (65-35)
25,2014-10-30,DAL,,UTA,2nd,0:54.0,DAL up 26 (67-41),D. Harris misses 3-pt shot from 24 ft,DAL up 26 (67-41)
26,2014-10-30,DAL,,UTA,2nd,0:35.0,DAL up 26 (67-41),M. Ellis makes 2-pt shot from 1 ft,DAL up 28 (69-41)
27,2014-10-30,DAL,,UTA,2nd,0:07.0,DAL up 25 (69-44),D. Harris misses 2-pt shot from 15 ft,DAL up 25 (69-44)
28,2014-10-30,DAL,,UTA,2nd,0:02.0,DAL up 25 (69-44),J. Crowder misses 3-pt shot from 25 ft,DAL up 25 (69-44)
29,2014-10-30,DAL,,UTA,3rd,2:42.0,DAL up 18 (86-68),J. Barea makes 2-pt shot from 18 ft,DAL up 20 (88-68)
