Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,DET,@,DEN,1st,2:43.0,DET down 1 (17-18),J. Smith misses 2-pt shot from 16 ft,DET down 1 (17-18)
2,2014-10-29,DET,@,DEN,1st,2:15.0,DET down 4 (17-21),J. Smith misses 2-pt shot from 10 ft,DET down 4 (17-21)
3,2014-10-29,DET,@,DEN,1st,2:09.0,DET down 4 (17-21),J. Smith makes 2-pt shot from 2 ft,DET down 2 (19-21)
4,2014-10-29,DET,@,DEN,1st,1:26.0,DET down 4 (19-23),C. Butler misses 3-pt shot from 26 ft,DET down 4 (19-23)
5,2014-10-29,DET,@,DEN,1st,0:55.0,DET down 4 (19-23),D. Augustin misses 2-pt shot from 21 ft,DET down 4 (19-23)
6,2014-10-29,DET,@,DEN,1st,0:26.0,DET down 4 (19-23),J. Smith makes 2-pt shot from 18 ft (assist by S. Dinwiddie),DET down 2 (21-23)
7,2014-10-29,DET,@,DEN,2nd,2:34.0,DET up 1 (38-37),K. Caldwell-Pope misses 2-pt shot from 9 ft,DET up 1 (38-37)
8,2014-10-29,DET,@,DEN,2nd,1:55.0,DET up 1 (38-37),K. Caldwell-Pope misses 3-pt shot from 22 ft,DET up 1 (38-37)
9,2014-10-29,DET,@,DEN,2nd,1:41.0,DET up 1 (38-37),K. Singler misses 3-pt shot from 25 ft,DET up 1 (38-37)
10,2014-10-29,DET,@,DEN,2nd,0:27.0,DET down 2 (38-40),K. Caldwell-Pope makes 2-pt shot at rim,DET tied (40-40)
11,2014-10-29,DET,@,DEN,2nd,0:01.0,DET down 2 (40-42),J. Jerebko misses 3-pt shot from 26 ft,DET down 2 (40-42)
12,2014-10-29,DET,@,DEN,3rd,2:27.0,DET down 3 (59-62),B. Jennings misses 2-pt shot from 7 ft,DET down 3 (59-62)
13,2014-10-29,DET,@,DEN,3rd,2:05.0,DET down 5 (59-64),J. Smith misses 2-pt shot from 1 ft,DET down 5 (59-64)
14,2014-10-29,DET,@,DEN,3rd,1:43.0,DET down 5 (59-64),J. Smith misses 2-pt shot from 21 ft,DET down 5 (59-64)
15,2014-10-29,DET,@,DEN,3rd,0:20.0,DET down 3 (61-64),J. Jerebko makes 2-pt shot from 3 ft (assist by D. Augustin),DET down 1 (63-64)
16,2014-10-29,DET,@,DEN,3rd,0:00.0,DET down 2 (63-65),C. Butler misses 3-pt shot from 69 ft,DET down 2 (63-65)
17,2014-10-29,DET,@,DEN,4th,2:39.0,DET down 4 (77-81),D. Augustin misses 3-pt shot from 23 ft,DET down 4 (77-81)
18,2014-10-29,DET,@,DEN,4th,1:55.0,DET down 4 (77-81),K. Singler misses 2-pt shot from 7 ft,DET down 4 (77-81)
19,2014-10-29,DET,@,DEN,4th,1:44.0,DET down 5 (77-82),K. Caldwell-Pope misses 3-pt shot from 25 ft,DET down 5 (77-82)
20,2014-10-29,DET,@,DEN,4th,1:20.0,DET down 7 (77-84),K. Caldwell-Pope misses 2-pt shot from 1 ft (block by T. Mozgov),DET down 7 (77-84)
21,2014-10-29,DET,@,DEN,4th,0:50.0,DET down 8 (77-85),K. Caldwell-Pope misses 3-pt shot from 26 ft,DET down 8 (77-85)
22,2014-10-29,DET,@,DEN,4th,0:33.0,DET down 10 (77-87),J. Anthony makes 2-pt shot at rim (assist by D. Augustin),DET down 8 (79-87)
23,2014-10-29,DET,@,DEN,4th,0:21.0,DET down 10 (79-89),J. Smith misses 3-pt shot from 26 ft,DET down 10 (79-89)
24,2014-10-29,DET,@,DEN,4th,0:18.0,DET down 10 (79-89),K. Caldwell-Pope misses 3-pt shot from 26 ft,DET down 10 (79-89)
25,2014-10-30,DET,@,MIN,1st,2:45.0,DET down 2 (15-17),A. Drummond makes 2-pt shot from 1 ft (assist by B. Jennings),DET tied (17-17)
26,2014-10-30,DET,@,MIN,1st,2:17.0,DET tied (17-17),J. Smith misses 2-pt shot from 2 ft (block by G. Dieng),DET tied (17-17)
27,2014-10-30,DET,@,MIN,1st,2:14.0,DET tied (17-17),J. Smith makes 2-pt shot from 1 ft,DET up 2 (19-17)
28,2014-10-30,DET,@,MIN,1st,1:42.0,DET up 2 (19-17),A. Drummond misses 2-pt shot from 1 ft (block by G. Dieng),DET up 2 (19-17)
29,2014-10-30,DET,@,MIN,1st,0:34.0,DET tied (19-19),K. Singler misses 3-pt shot from 23 ft,DET tied (19-19)
30,2014-10-30,DET,@,MIN,1st,0:30.0,DET tied (19-19),A. Drummond makes 2-pt shot at rim,DET up 2 (21-19)
31,2014-10-30,DET,@,MIN,1st,0:00.0,DET tied (21-21),K. Singler misses 3-pt shot from 22 ft,DET tied (21-21)
32,2014-10-30,DET,@,MIN,2nd,2:34.0,DET down 1 (36-37),D. Augustin makes 2-pt shot from 1 ft,DET up 1 (38-37)
