Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,GSW,@,SAC,1st,1:57.0,GSW up 3 (19-16),M. Speights makes 2-pt shot from 19 ft,GSW up 5 (21-16)
2,2014-10-29,GSW,@,SAC,1st,1:32.0,GSW up 5 (21-16),L. Barbosa makes 2-pt shot from 2 ft (assist by K. Thompson),GSW up 7 (23-16)
3,2014-10-29,GSW,@,SAC,1st,0:52.0,GSW up 5 (23-18),M. Speights makes 2-pt shot from 13 ft (assist by A. Iguodala),GSW up 7 (25-18)
4,2014-10-29,GSW,@,SAC,1st,0:23.0,GSW up 4 (25-21),A. Iguodala misses 3-pt shot from 23 ft,GSW up 4 (25-21)
5,2014-10-29,GSW,@,SAC,2nd,2:26.0,GSW down 2 (39-41),D. Green misses 2-pt shot from 16 ft,GSW down 2 (39-41)
6,2014-10-29,GSW,@,SAC,2nd,1:18.0,GSW down 5 (41-46),M. Speights makes 2-pt shot from 21 ft (assist by S. Curry),GSW down 3 (43-46)
7,2014-10-29,GSW,@,SAC,2nd,1:06.0,GSW down 4 (43-47),S. Curry misses 2-pt shot from 9 ft,GSW down 4 (43-47)
8,2014-10-29,GSW,@,SAC,2nd,1:04.0,GSW down 4 (43-47),M. Speights misses 2-pt shot from 2 ft,GSW down 4 (43-47)
9,2014-10-29,GSW,@,SAC,2nd,0:02.0,GSW down 4 (45-49),M. Speights misses 2-pt shot from 5 ft,GSW down 4 (45-49)
10,2014-10-29,GSW,@,SAC,2nd,0:01.0,GSW down 4 (45-49),M. Speights makes 2-pt shot from 5 ft,GSW down 2 (47-49)
11,2014-10-29,GSW,@,SAC,3rd,2:33.0,GSW up 8 (64-56),S. Curry misses 2-pt shot from 3 ft,GSW up 8 (64-56)
12,2014-10-29,GSW,@,SAC,3rd,1:33.0,GSW up 12 (68-56),M. Speights makes 2-pt shot from 3 ft (assist by S. Curry),GSW up 14 (70-56)
13,2014-10-29,GSW,@,SAC,3rd,1:00.0,GSW up 12 (70-58),D. Green makes 3-pt shot from 25 ft (assist by M. Speights),GSW up 15 (73-58)
14,2014-10-29,GSW,@,SAC,3rd,0:43.0,GSW up 15 (73-58),S. Curry misses 3-pt shot from 25 ft,GSW up 15 (73-58)
15,2014-10-29,GSW,@,SAC,4th,2:41.0,GSW up 14 (89-75),A. Iguodala misses 3-pt shot from 23 ft,GSW up 14 (89-75)
