Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-28,HOU,@,LAL,1st,2:38.0,HOU up 8 (22-14),J. Harden makes 2-pt shot from 2 ft,HOU up 10 (24-14)
2,2014-10-28,HOU,@,LAL,1st,2:06.0,HOU up 8 (24-16),P. Beverley misses 3-pt shot from 23 ft,HOU up 8 (24-16)
3,2014-10-28,HOU,@,LAL,1st,1:38.0,HOU up 6 (24-18),K. Papanikolaou misses 3-pt shot from 23 ft,HOU up 6 (24-18)
4,2014-10-28,HOU,@,LAL,1st,0:53.0,HOU up 6 (25-19),J. Terry makes 3-pt shot from 23 ft (assist by K. Papanikolaou),HOU up 9 (28-19)
5,2014-10-28,HOU,@,LAL,1st,0:07.0,HOU up 9 (28-19),P. Beverley misses 2-pt shot from 3 ft (block by E. Davis),HOU up 9 (28-19)
6,2014-10-28,HOU,@,LAL,1st,0:04.0,HOU up 9 (28-19),J. Terry makes 3-pt shot from 26 ft (assist by K. Papanikolaou),HOU up 12 (31-19)
7,2014-10-28,HOU,@,LAL,2nd,2:48.0,HOU up 11 (49-38),J. Harden makes 2-pt shot from 2 ft (assist by J. Terry),HOU up 13 (51-38)
8,2014-10-28,HOU,@,LAL,2nd,2:11.0,HOU up 11 (51-40),J. Harden misses 2-pt shot from 18 ft,HOU up 11 (51-40)
9,2014-10-28,HOU,@,LAL,2nd,2:07.0,HOU up 11 (51-40),T. Jones misses 2-pt shot from 1 ft,HOU up 11 (51-40)
10,2014-10-28,HOU,@,LAL,2nd,2:06.0,HOU up 11 (51-40),T. Jones makes 2-pt shot from 1 ft,HOU up 13 (53-40)
11,2014-10-28,HOU,@,LAL,2nd,1:08.0,HOU up 14 (55-41),J. Harden misses 2-pt shot from 16 ft,HOU up 14 (55-41)
12,2014-10-28,HOU,@,LAL,2nd,0:46.0,HOU up 12 (55-43),T. Jones makes 2-pt shot from 1 ft (assist by J. Harden),HOU up 14 (57-43)
13,2014-10-28,HOU,@,LAL,2nd,0:29.0,HOU up 12 (57-45),T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),HOU up 15 (60-45)
14,2014-10-28,HOU,@,LAL,2nd,0:01.0,HOU up 15 (60-45),J. Harden misses 2-pt shot from 1 ft (block by J. Hill),HOU up 15 (60-45)
15,2014-10-28,HOU,@,LAL,2nd,0:01.0,HOU up 15 (60-45),T. Jones makes 2-pt shot from 2 ft,HOU up 17 (62-45)
16,2014-10-28,HOU,@,LAL,3rd,2:35.0,HOU up 11 (78-67),J. Harden makes 2-pt shot from 2 ft,HOU up 13 (80-67)
17,2014-10-28,HOU,@,LAL,3rd,1:32.0,HOU up 12 (81-69),K. Papanikolaou makes 2-pt shot from 7 ft (assist by J. Harden),HOU up 14 (83-69)
18,2014-10-28,HOU,@,LAL,3rd,0:32.0,HOU up 16 (85-69),J. Harden misses 3-pt shot from 25 ft,HOU up 16 (85-69)
19,2014-10-28,HOU,@,LAL,3rd,0:06.0,HOU up 16 (85-69),J. Terry misses 3-pt shot from 25 ft,HOU up 16 (85-69)
20,2014-10-28,HOU,@,LAL,4th,2:52.0,HOU up 21 (104-83),T. Daniels misses 3-pt shot from 24 ft,HOU up 21 (104-83)
