Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,IND,,PHI,1st,2:03.0,IND down 8 (16-24),L. Allen misses 2-pt shot from 16 ft,IND down 8 (16-24)
2,2014-10-29,IND,,PHI,1st,1:56.0,IND down 8 (16-24),C. Copeland misses 3-pt shot from 26 ft,IND down 8 (16-24)
3,2014-10-29,IND,,PHI,1st,1:44.0,IND down 8 (16-24),R. Stuckey makes 2-pt shot from 3 ft,IND down 6 (18-24)
4,2014-10-29,IND,,PHI,1st,1:44.0,IND down 6 (18-24),R. Stuckey misses 2-pt shot from 3 ft,IND down 6 (18-24)
5,2014-10-29,IND,,PHI,1st,1:26.0,IND down 6 (18-24),R. Stuckey makes 2-pt shot from 1 ft,IND down 4 (20-24)
6,2014-10-29,IND,,PHI,1st,1:00.0,IND down 3 (21-24),L. Allen misses 2-pt shot from 7 ft,IND down 3 (21-24)
7,2014-10-29,IND,,PHI,1st,0:50.0,IND down 3 (21-24),R. Hibbert misses 2-pt shot from 5 ft,IND down 3 (21-24)
8,2014-10-29,IND,,PHI,1st,0:27.0,IND down 3 (21-24),R. Hibbert makes 2-pt shot from 21 ft (assist by R. Stuckey),IND down 1 (23-24)
9,2014-10-29,IND,,PHI,1st,0:01.0,IND down 1 (23-24),C. Miles makes 2-pt shot at rim (assist by R. Stuckey),IND up 1 (25-24)
10,2014-10-29,IND,,PHI,2nd,2:31.0,IND down 4 (44-48),D. Sloan misses 2-pt shot from 21 ft,IND down 4 (44-48)
11,2014-10-29,IND,,PHI,2nd,1:33.0,IND down 4 (44-48),R. Hibbert makes 2-pt shot from 11 ft,IND down 2 (46-48)
12,2014-10-29,IND,,PHI,2nd,1:05.0,IND down 2 (46-48),S. Hill misses 3-pt shot from 24 ft,IND down 2 (46-48)
13,2014-10-29,IND,,PHI,2nd,0:52.0,IND tied (48-48),C. Miles misses 3-pt shot from 26 ft,IND tied (48-48)
14,2014-10-29,IND,,PHI,2nd,0:51.0,IND tied (48-48),L. Scola misses 2-pt shot from 1 ft,IND tied (48-48)
15,2014-10-29,IND,,PHI,2nd,0:30.0,IND down 1 (48-49),R. Stuckey misses 2-pt shot from 1 ft (block by K. McDaniels),IND down 1 (48-49)
16,2014-10-29,IND,,PHI,3rd,2:25.0,IND up 2 (68-66),R. Hibbert misses 2-pt shot from 8 ft (block by M. Thomas),IND up 2 (68-66)
17,2014-10-29,IND,,PHI,3rd,2:21.0,IND up 2 (68-66),D. Sloan makes 3-pt shot from 25 ft,IND up 5 (71-66)
18,2014-10-29,IND,,PHI,3rd,2:15.0,IND up 5 (71-66),C. Miles makes 2-pt shot from 19 ft (assist by C. Copeland),IND up 7 (73-66)
19,2014-10-29,IND,,PHI,3rd,1:50.0,IND up 7 (73-66),C. Miles makes 3-pt shot from 23 ft (assist by D. Sloan),IND up 10 (76-66)
20,2014-10-29,IND,,PHI,3rd,1:12.0,IND up 9 (76-67),C. Copeland makes 2-pt shot from 2 ft,IND up 11 (78-67)
21,2014-10-29,IND,,PHI,3rd,0:44.0,IND up 8 (78-70),D. Sloan misses 2-pt shot from 3 ft,IND up 8 (78-70)
22,2014-10-29,IND,,PHI,3rd,0:13.0,IND up 8 (78-70),D. Sloan misses 3-pt shot from 27 ft,IND up 8 (78-70)
23,2014-10-29,IND,,PHI,3rd,0:07.0,IND up 8 (78-70),C. Miles misses 3-pt shot from 26 ft,IND up 8 (78-70)
24,2014-10-29,IND,,PHI,4th,1:43.0,IND up 10 (99-89),S. Hill misses 2-pt shot from 13 ft,IND up 10 (99-89)
25,2014-10-29,IND,,PHI,4th,0:43.0,IND up 12 (101-89),D. Sloan misses 3-pt shot from 24 ft,IND up 12 (101-89)
26,2014-10-29,IND,,PHI,4th,0:23.0,IND up 12 (101-89),D. Sloan makes 2-pt shot at rim,IND up 14 (103-89)
27,2014-10-31,IND,,MEM,1st,2:31.0,IND down 9 (10-19),C. Miles misses 3-pt shot from 23 ft,IND down 9 (10-19)
28,2014-10-31,IND,,MEM,1st,1:59.0,IND down 11 (10-21),C. Copeland misses 2-pt shot from 4 ft,IND down 11 (10-21)
29,2014-10-31,IND,,MEM,1st,1:58.0,IND down 11 (10-21),C. Copeland makes 2-pt shot from 4 ft,IND down 9 (12-21)
30,2014-10-31,IND,,MEM,1st,1:16.0,IND down 9 (12-21),C. Copeland misses 3-pt shot from 24 ft,IND down 9 (12-21)
31,2014-10-31,IND,,MEM,1st,1:10.0,IND down 9 (12-21),C. Miles makes 2-pt shot from 7 ft,IND down 7 (14-21)
32,2014-10-31,IND,,MEM,1st,0:41.0,IND down 9 (14-23),C. Miles makes 3-pt shot from 26 ft,IND down 6 (17-23)
33,2014-10-31,IND,,MEM,1st,0:02.0,IND down 6 (17-23),D. Sloan misses 2-pt shot from 8 ft,IND down 6 (17-23)
34,2014-10-31,IND,,MEM,2nd,2:54.0,IND up 8 (44-36),D. Sloan makes 2-pt shot from 2 ft,IND up 10 (46-36)
35,2014-10-31,IND,,MEM,2nd,2:10.0,IND up 10 (46-36),S. Hill makes 3-pt shot from 25 ft (assist by D. Sloan),IND up 13 (49-36)
36,2014-10-31,IND,,MEM,2nd,1:34.0,IND up 11 (49-38),R. Hibbert makes 2-pt shot from 3 ft (assist by L. Allen),IND up 13 (51-38)
37,2014-10-31,IND,,MEM,2nd,1:04.0,IND up 11 (51-40),L. Allen misses 2-pt shot from 7 ft,IND up 11 (51-40)
38,2014-10-31,IND,,MEM,2nd,0:44.0,IND up 9 (51-42),R. Hibbert misses 2-pt shot from 18 ft,IND up 9 (51-42)
39,2014-10-31,IND,,MEM,2nd,0:02.0,IND up 6 (51-45),D. Sloan makes 2-pt shot from 2 ft (assist by R. Hibbert),IND up 8 (53-45)
40,2014-10-31,IND,,MEM,3rd,2:58.0,IND down 8 (63-71),I. Mahinmi misses 2-pt shot from 18 ft,IND down 8 (63-71)
41,2014-10-31,IND,,MEM,3rd,2:07.0,IND down 11 (63-74),R. Stuckey makes 2-pt shot from 13 ft,IND down 9 (65-74)
42,2014-10-31,IND,,MEM,3rd,1:26.0,IND down 11 (65-76),I. Mahinmi makes 2-pt shot from 2 ft (assist by C. Copeland),IND down 9 (67-76)
43,2014-10-31,IND,,MEM,3rd,1:02.0,IND down 9 (67-76),R. Stuckey misses 2-pt shot from 1 ft,IND down 9 (67-76)
44,2014-10-31,IND,,MEM,3rd,0:25.0,IND down 11 (67-78),R. Stuckey misses 2-pt shot from 12 ft,IND down 11 (67-78)
45,2014-10-31,IND,,MEM,4th,2:21.0,IND down 10 (83-93),R. Hibbert misses 2-pt shot from 5 ft,IND down 10 (83-93)
46,2014-10-31,IND,,MEM,4th,1:25.0,IND down 12 (85-97),D. Sloan makes 2-pt shot from 3 ft,IND down 10 (87-97)
47,2014-10-31,IND,,MEM,4th,0:53.0,IND down 10 (87-97),C. Copeland misses 3-pt shot from 28 ft,IND down 10 (87-97)
48,2014-11-01,IND,@,ATL,1st,2:36.0,IND down 9 (13-22),C. Miles misses 2-pt shot from 13 ft (block by T. Sefolosha),IND down 9 (13-22)
49,2014-11-01,IND,@,ATL,1st,1:53.0,IND down 9 (13-22),R. Hibbert misses 2-pt shot from 19 ft,IND down 9 (13-22)
50,2014-11-01,IND,@,ATL,1st,1:16.0,IND down 9 (13-22),R. Stuckey misses 3-pt shot from 25 ft,IND down 9 (13-22)
51,2014-11-01,IND,@,ATL,1st,0:47.0,IND down 12 (13-25),C. Miles misses 2-pt shot from 6 ft (block by A. Horford),IND down 12 (13-25)
52,2014-11-01,IND,@,ATL,1st,0:21.0,IND down 12 (13-25),C. Miles makes 2-pt shot from 20 ft (assist by R. Hibbert),IND down 10 (15-25)
53,2014-11-01,IND,@,ATL,1st,0:00.0,IND down 12 (15-27),S. Hill makes 3-pt shot from 33 ft (assist by C. Miles),IND down 9 (18-27)
54,2014-11-01,IND,@,ATL,2nd,2:51.0,IND down 14 (34-48),R. Hibbert makes 2-pt shot from 12 ft (assist by D. Sloan),IND down 12 (36-48)
55,2014-11-01,IND,@,ATL,2nd,2:32.0,IND down 12 (36-48),C. Copeland makes 3-pt shot from 23 ft (assist by D. Sloan),IND down 9 (39-48)
56,2014-11-01,IND,@,ATL,2nd,1:35.0,IND down 9 (39-48),C. Copeland misses 2-pt shot from 4 ft,IND down 9 (39-48)
57,2014-11-01,IND,@,ATL,2nd,1:00.0,IND down 7 (41-48),R. Hibbert misses 2-pt shot from 13 ft,IND down 7 (41-48)
58,2014-11-01,IND,@,ATL,2nd,0:46.0,IND down 8 (41-49),C. Copeland makes 3-pt shot from 26 ft (assist by D. Sloan),IND down 5 (44-49)
59,2014-11-01,IND,@,ATL,2nd,0:09.0,IND down 7 (44-51),D. Sloan misses 2-pt shot from 2 ft,IND down 7 (44-51)
60,2014-11-01,IND,@,ATL,3rd,2:30.0,IND down 8 (59-67),L. Scola misses 2-pt shot from 10 ft,IND down 8 (59-67)
61,2014-11-01,IND,@,ATL,3rd,1:17.0,IND down 10 (60-70),R. Hibbert misses 2-pt shot from 10 ft,IND down 10 (60-70)
62,2014-11-01,IND,@,ATL,3rd,1:16.0,IND down 10 (60-70),S. Hill misses 2-pt shot from 1 ft,IND down 10 (60-70)
63,2014-11-01,IND,@,ATL,3rd,1:03.0,IND down 10 (60-70),S. Hill misses 3-pt shot from 26 ft,IND down 10 (60-70)
64,2014-11-01,IND,@,ATL,3rd,0:22.0,IND down 10 (60-70),D. Rudez misses 3-pt shot from 24 ft,IND down 10 (60-70)
65,2014-11-01,IND,@,ATL,3rd,0:05.0,IND down 10 (60-70),C. Copeland makes 3-pt shot from 25 ft (assist by S. Hill),IND down 7 (63-70)
66,2014-11-01,IND,@,ATL,4th,2:27.0,IND down 10 (83-93),C. Copeland misses 3-pt shot from 25 ft,IND down 10 (83-93)
67,2014-11-01,IND,@,ATL,4th,2:17.0,IND down 9 (84-93),S. Hill misses 3-pt shot from 25 ft,IND down 9 (84-93)
68,2014-11-01,IND,@,ATL,4th,2:05.0,IND down 9 (84-93),L. Scola makes 2-pt shot from 7 ft (assist by C. Copeland),IND down 7 (86-93)
69,2014-11-01,IND,@,ATL,4th,1:42.0,IND down 7 (86-93),C. Copeland makes 3-pt shot from 25 ft (assist by S. Hill),IND down 4 (89-93)
70,2014-11-01,IND,@,ATL,4th,0:43.0,IND down 5 (92-97),D. Sloan misses 2-pt shot from 9 ft,IND down 5 (92-97)
71,2014-11-01,IND,@,ATL,4th,0:22.0,IND down 7 (92-99),C. Copeland misses 3-pt shot from 26 ft,IND down 7 (92-99)
72,2014-11-01,IND,@,ATL,4th,0:07.0,IND down 8 (92-100),D. Sloan misses 2-pt shot from 22 ft,IND down 8 (92-100)
73,2014-11-04,IND,,MIL,1st,2:21.0,IND up 1 (15-14),D. Sloan misses 2-pt shot from 2 ft,IND up 1 (15-14)
74,2014-11-04,IND,,MIL,1st,1:15.0,IND down 3 (15-18),R. Hibbert makes 2-pt shot from 19 ft (assist by R. Stuckey),IND down 1 (17-18)
75,2014-11-04,IND,,MIL,1st,0:39.0,IND down 3 (17-20),R. Stuckey misses 2-pt shot from 15 ft,IND down 3 (17-20)
76,2014-11-04,IND,,MIL,1st,0:02.0,IND down 5 (17-22),R. Stuckey makes 2-pt shot from 20 ft,IND down 3 (19-22)
77,2014-11-04,IND,,MIL,2nd,2:54.0,IND down 3 (34-37),R. Hibbert makes 2-pt shot from 1 ft (assist by D. Sloan),IND down 1 (36-37)
78,2014-11-04,IND,,MIL,2nd,2:09.0,IND down 3 (36-39),L. Scola misses 2-pt shot from 15 ft,IND down 3 (36-39)
79,2014-11-04,IND,,MIL,2nd,1:35.0,IND down 3 (36-39),C. Copeland misses 2-pt shot from 17 ft,IND down 3 (36-39)
80,2014-11-04,IND,,MIL,2nd,0:59.0,IND down 5 (36-41),C. Copeland misses 3-pt shot from 27 ft,IND down 5 (36-41)
81,2014-11-04,IND,,MIL,2nd,0:44.0,IND down 5 (36-41),C. Miles misses 2-pt shot from 10 ft,IND down 5 (36-41)
82,2014-11-04,IND,,MIL,2nd,0:11.0,IND down 7 (36-43),R. Hibbert makes 2-pt shot from 11 ft,IND down 5 (38-43)
83,2014-11-04,IND,,MIL,3rd,2:44.0,IND down 9 (53-62),C. Copeland misses 3-pt shot from 26 ft,IND down 9 (53-62)
84,2014-11-04,IND,,MIL,3rd,2:31.0,IND down 9 (53-62),C. Copeland makes 2-pt shot from 2 ft,IND down 7 (55-62)
85,2014-11-04,IND,,MIL,3rd,1:13.0,IND down 8 (56-64),C. Copeland makes 3-pt shot from 25 ft (assist by R. Stuckey),IND down 5 (59-64)
86,2014-11-04,IND,,MIL,3rd,0:29.0,IND down 8 (59-67),R. Stuckey misses 2-pt shot from 2 ft,IND down 8 (59-67)
87,2014-11-04,IND,,MIL,3rd,0:02.0,IND down 10 (59-69),R. Stuckey misses 2-pt shot from 13 ft,IND down 10 (59-69)
88,2014-11-04,IND,,MIL,3rd,0:00.0,IND down 10 (59-69),L. Allen makes 2-pt shot from 2 ft,IND down 8 (61-69)
89,2014-11-04,IND,,MIL,4th,2:36.0,IND down 11 (73-84),R. Hibbert makes 2-pt shot from 10 ft,IND down 9 (75-84)
90,2014-11-04,IND,,MIL,4th,0:43.0,IND down 6 (78-84),C. Copeland makes 3-pt shot from 26 ft (assist by L. Allen),IND down 3 (81-84)
91,2014-11-04,IND,,MIL,4th,0:16.0,IND down 5 (81-86),R. Stuckey misses 2-pt shot from 6 ft,IND down 5 (81-86)
92,2014-11-04,IND,,MIL,4th,0:08.0,IND down 5 (81-86),R. Stuckey misses 3-pt shot from 27 ft,IND down 5 (81-86)
