Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-30,LAC,,OKC,1st,2:01.0,LAC down 4 (20-24),J. Crawford misses 2-pt shot from 18 ft,LAC down 4 (20-24)
2,2014-10-30,LAC,,OKC,1st,1:30.0,LAC down 6 (20-26),C. Douglas-Roberts misses 2-pt shot from 13 ft,LAC down 6 (20-26)
3,2014-10-30,LAC,,OKC,1st,1:08.0,LAC down 6 (20-26),J. Crawford misses 2-pt shot from 15 ft,LAC down 6 (20-26)
4,2014-10-30,LAC,,OKC,1st,0:32.0,LAC down 8 (20-28),S. Hawes misses 3-pt shot from 27 ft,LAC down 8 (20-28)
5,2014-10-30,LAC,,OKC,1st,0:11.0,LAC down 8 (20-28),S. Hawes makes 2-pt shot from 2 ft (assist by J. Farmar),LAC down 6 (22-28)
6,2014-10-30,LAC,,OKC,2nd,1:48.0,LAC down 1 (38-39),J. Redick misses 2-pt shot from 5 ft,LAC down 1 (38-39)
7,2014-10-30,LAC,,OKC,2nd,1:45.0,LAC down 1 (38-39),D. Jordan makes 2-pt shot at rim,LAC up 1 (40-39)
8,2014-10-30,LAC,,OKC,2nd,1:14.0,LAC up 1 (40-39),B. Griffin makes 2-pt shot from 8 ft (assist by C. Paul),LAC up 3 (42-39)
9,2014-10-30,LAC,,OKC,2nd,0:45.0,LAC up 1 (42-41),B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul),LAC up 3 (44-41)
10,2014-10-30,LAC,,OKC,2nd,0:27.0,LAC up 3 (44-41),C. Paul makes 2-pt shot from 3 ft,LAC up 5 (46-41)
11,2014-10-30,LAC,,OKC,3rd,2:41.0,LAC up 4 (62-58),C. Paul makes 2-pt shot from 14 ft,LAC up 6 (64-58)
12,2014-10-30,LAC,,OKC,3rd,2:00.0,LAC up 7 (65-58),C. Douglas-Roberts misses 3-pt shot from 24 ft,LAC up 7 (65-58)
13,2014-10-30,LAC,,OKC,3rd,1:41.0,LAC up 5 (65-60),J. Crawford misses 3-pt shot from 24 ft,LAC up 5 (65-60)
14,2014-10-30,LAC,,OKC,3rd,0:46.0,LAC up 5 (65-60),S. Hawes misses 3-pt shot from 26 ft,LAC up 5 (65-60)
15,2014-10-30,LAC,,OKC,3rd,0:14.0,LAC up 3 (65-62),J. Farmar makes 3-pt shot from 24 ft (assist by J. Crawford),LAC up 6 (68-62)
16,2014-10-30,LAC,,OKC,3rd,0:02.0,LAC up 6 (68-62),J. Crawford makes 2-pt shot from 1 ft,LAC up 8 (70-62)
17,2014-10-30,LAC,,OKC,4th,2:23.0,LAC up 7 (89-82),C. Paul misses 2-pt shot from 15 ft,LAC up 7 (89-82)
18,2014-10-30,LAC,,OKC,4th,1:53.0,LAC up 4 (89-85),B. Griffin misses 2-pt shot from 20 ft,LAC up 4 (89-85)
19,2014-10-30,LAC,,OKC,4th,1:23.0,LAC up 1 (89-88),J. Crawford misses 2-pt shot from 13 ft,LAC up 1 (89-88)
20,2014-10-30,LAC,,OKC,4th,1:03.0,LAC up 1 (89-88),J. Redick misses 3-pt shot from 25 ft,LAC up 1 (89-88)
21,2014-10-30,LAC,,OKC,4th,0:44.0,LAC up 1 (89-88),J. Redick misses 3-pt shot from 24 ft,LAC up 1 (89-88)
22,2014-10-31,LAC,@,LAL,1st,2:52.0,LAC up 11 (27-16),J. Crawford misses 3-pt shot from 25 ft,LAC up 11 (27-16)
23,2014-10-31,LAC,@,LAL,1st,2:20.0,LAC up 9 (27-18),C. Paul misses 2-pt shot from 11 ft,LAC up 9 (27-18)
24,2014-10-31,LAC,@,LAL,1st,1:47.0,LAC up 7 (27-20),C. Douglas-Roberts misses 3-pt shot from 24 ft,LAC up 7 (27-20)
25,2014-10-31,LAC,@,LAL,1st,1:19.0,LAC up 7 (27-20),C. Paul makes 3-pt shot from 24 ft (assist by J. Crawford),LAC up 10 (30-20)
26,2014-10-31,LAC,@,LAL,1st,0:51.0,LAC up 10 (30-20),B. Griffin misses 2-pt shot from 20 ft,LAC up 10 (30-20)
27,2014-10-31,LAC,@,LAL,2nd,2:26.0,LAC up 5 (53-48),C. Paul misses 3-pt shot from 26 ft,LAC up 5 (53-48)
28,2014-10-31,LAC,@,LAL,2nd,2:22.0,LAC up 5 (53-48),D. Jordan makes 2-pt shot from 1 ft,LAC up 7 (55-48)
29,2014-10-31,LAC,@,LAL,2nd,1:58.0,LAC up 5 (55-50),B. Griffin makes 2-pt shot from 2 ft,LAC up 7 (57-50)
30,2014-10-31,LAC,@,LAL,2nd,1:38.0,LAC up 7 (57-50),B. Griffin misses 2-pt shot from 4 ft,LAC up 7 (57-50)
31,2014-10-31,LAC,@,LAL,2nd,0:50.0,LAC up 5 (58-53),J. Redick misses 3-pt shot from 26 ft,LAC up 5 (58-53)
32,2014-10-31,LAC,@,LAL,2nd,0:09.0,LAC up 3 (58-55),B. Griffin makes 3-pt shot from 23 ft (assist by C. Paul),LAC up 6 (61-55)
33,2014-10-31,LAC,@,LAL,3rd,2:41.0,LAC down 5 (78-83),J. Crawford misses 2-pt shot from 15 ft,LAC down 5 (78-83)
34,2014-10-31,LAC,@,LAL,3rd,1:57.0,LAC down 7 (78-85),S. Hawes makes 3-pt shot from 25 ft (assist by J. Crawford),LAC down 4 (81-85)
35,2014-10-31,LAC,@,LAL,3rd,1:02.0,LAC down 7 (81-88),B. Griffin makes 2-pt shot from 7 ft,LAC down 5 (83-88)
36,2014-10-31,LAC,@,LAL,3rd,0:01.0,LAC down 7 (83-90),J. Crawford makes 3-pt shot from 32 ft,LAC down 4 (86-90)
