Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,MEM,,MIN,1st,2:29.0,MEM up 2 (22-20),V. Carter misses 3-pt shot from 26 ft,MEM up 2 (22-20)
2,2014-10-29,MEM,,MIN,1st,1:33.0,MEM tied (23-23),B. Udrih misses 2-pt shot from 17 ft,MEM tied (23-23)
3,2014-10-29,MEM,,MIN,1st,1:07.0,MEM down 2 (23-25),M. Gasol misses 2-pt shot from 7 ft,MEM down 2 (23-25)
4,2014-10-29,MEM,,MIN,1st,0:39.0,MEM down 2 (23-25),T. Allen makes 2-pt shot from 1 ft,MEM tied (25-25)
5,2014-10-29,MEM,,MIN,1st,0:00.0,MEM down 2 (25-27),V. Carter misses 3-pt shot from 28 ft,MEM down 2 (25-27)
6,2014-10-29,MEM,,MIN,2nd,2:29.0,MEM up 1 (42-41),Z. Randolph makes 2-pt shot from 4 ft (assist by C. Lee),MEM up 3 (44-41)
7,2014-10-29,MEM,,MIN,2nd,1:38.0,MEM up 5 (46-41),C. Lee misses 2-pt shot from 17 ft,MEM up 5 (46-41)
8,2014-10-29,MEM,,MIN,2nd,1:04.0,MEM up 3 (46-43),M. Gasol misses 2-pt shot from 19 ft,MEM up 3 (46-43)
9,2014-10-29,MEM,,MIN,2nd,0:29.0,MEM up 3 (48-45),M. Conley misses 2-pt shot from 1 ft (block by N. Pekovic),MEM up 3 (48-45)
10,2014-10-29,MEM,,MIN,2nd,0:29.0,MEM up 3 (48-45),M. Gasol makes 2-pt shot from 1 ft,MEM up 5 (50-45)
11,2014-10-29,MEM,,MIN,2nd,0:02.0,MEM up 3 (50-47),Q. Pondexter makes 3-pt shot from 23 ft (assist by C. Lee),MEM up 6 (53-47)
12,2014-10-29,MEM,,MIN,3rd,1:57.0,MEM up 5 (77-72),T. Allen misses 2-pt shot from 9 ft (block by G. Dieng),MEM up 5 (77-72)
13,2014-10-29,MEM,,MIN,3rd,1:33.0,MEM up 5 (77-72),M. Gasol makes 2-pt shot from 1 ft (assist by T. Allen),MEM up 7 (79-72)
14,2014-10-29,MEM,,MIN,3rd,1:12.0,MEM up 7 (79-72),M. Conley misses 3-pt shot from 23 ft,MEM up 7 (79-72)
15,2014-10-29,MEM,,MIN,3rd,0:46.0,MEM up 5 (79-74),M. Gasol makes 2-pt shot from 7 ft,MEM up 7 (81-74)
16,2014-10-29,MEM,,MIN,3rd,0:02.0,MEM up 7 (81-74),T. Allen misses 2-pt shot from 1 ft,MEM up 7 (81-74)
17,2014-10-29,MEM,,MIN,4th,2:36.0,MEM down 2 (94-96),M. Conley makes 2-pt shot from 1 ft,MEM tied (96-96)
18,2014-10-29,MEM,,MIN,4th,1:58.0,MEM tied (96-96),M. Conley misses 3-pt shot from 26 ft,MEM tied (96-96)
19,2014-10-29,MEM,,MIN,4th,1:57.0,MEM tied (96-96),Z. Randolph makes 2-pt shot from 1 ft,MEM up 2 (98-96)
20,2014-10-29,MEM,,MIN,4th,1:23.0,MEM up 3 (99-96),M. Gasol makes 2-pt shot from 21 ft (assist by M. Conley),MEM up 5 (101-96)
21,2014-10-31,MEM,@,IND,1st,2:52.0,MEM up 6 (16-10),C. Lee makes 3-pt shot from 26 ft (assist by B. Udrih),MEM up 9 (19-10)
