Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,MIL,@,CHO,1st,2:50.0,MIL tied (20-20),Z. Pachulia misses 2-pt shot from 18 ft,MIL tied (20-20)
2,2014-10-29,MIL,@,CHO,1st,2:20.0,MIL tied (20-20),G. Antetokounmpo misses 2-pt shot from 15 ft,MIL tied (20-20)
3,2014-10-29,MIL,@,CHO,1st,1:59.0,MIL tied (20-20),B. Knight misses 3-pt shot from 23 ft,MIL tied (20-20)
4,2014-10-29,MIL,@,CHO,1st,1:29.0,MIL tied (20-20),J. Parker misses 2-pt shot from 19 ft,MIL tied (20-20)
5,2014-10-29,MIL,@,CHO,1st,0:59.0,MIL down 2 (20-22),Z. Pachulia misses 2-pt shot from 18 ft,MIL down 2 (20-22)
6,2014-10-29,MIL,@,CHO,1st,0:37.0,MIL down 4 (20-24),O. Mayo makes 2-pt shot from 19 ft (assist by B. Knight),MIL down 2 (22-24)
7,2014-10-29,MIL,@,CHO,1st,0:21.0,MIL down 3 (22-25),E. Ilyasova makes 2-pt shot from 18 ft (assist by B. Knight),MIL down 1 (24-25)
8,2014-10-29,MIL,@,CHO,2nd,2:32.0,MIL up 11 (48-37),K. Middleton makes 2-pt shot from 2 ft,MIL up 13 (50-37)
9,2014-10-29,MIL,@,CHO,2nd,2:01.0,MIL up 14 (51-37),B. Knight misses 2-pt shot from 3 ft,MIL up 14 (51-37)
10,2014-10-29,MIL,@,CHO,2nd,1:24.0,MIL up 11 (51-40),L. Sanders makes 2-pt shot from 1 ft (assist by K. Middleton),MIL up 13 (53-40)
11,2014-10-29,MIL,@,CHO,2nd,0:53.0,MIL up 10 (53-43),B. Knight misses 2-pt shot from 22 ft,MIL up 10 (53-43)
12,2014-10-29,MIL,@,CHO,2nd,0:35.0,MIL up 8 (53-45),K. Middleton makes 2-pt shot from 19 ft,MIL up 10 (55-45)
13,2014-10-29,MIL,@,CHO,3rd,2:51.0,MIL up 15 (76-61),G. Antetokounmpo makes 3-pt shot from 25 ft (assist by B. Knight),MIL up 18 (79-61)
14,2014-10-29,MIL,@,CHO,3rd,1:50.0,MIL up 16 (79-63),Z. Pachulia makes 2-pt shot from 18 ft (assist by B. Knight),MIL up 18 (81-63)
15,2014-10-29,MIL,@,CHO,3rd,1:19.0,MIL up 16 (81-65),G. Antetokounmpo misses 2-pt shot from 2 ft,MIL up 16 (81-65)
16,2014-10-29,MIL,@,CHO,3rd,0:14.0,MIL up 16 (81-65),B. Knight makes 2-pt shot from 16 ft,MIL up 18 (83-65)
17,2014-10-29,MIL,@,CHO,3rd,0:00.0,MIL up 15 (83-68),O. Mayo misses 3-pt shot from 33 ft,MIL up 15 (83-68)
18,2014-10-29,MIL,@,CHO,4th,1:54.0,MIL up 6 (95-89),B. Knight misses 2-pt shot from 2 ft (block by A. Jefferson),MIL up 6 (95-89)
19,2014-10-29,MIL,@,CHO,4th,0:56.0,MIL up 3 (97-94),J. Parker misses 2-pt shot from 7 ft (block by K. Walker),MIL up 3 (97-94)
20,2014-10-29,MIL,@,CHO,4th,0:20.0,MIL up 3 (97-94),B. Knight misses 2-pt shot from 6 ft,MIL up 3 (97-94)
21,2014-10-29,MIL,@,CHO,OT,2:55.0,MIL tied (102-102),L. Sanders misses 2-pt shot from 7 ft (block by A. Jefferson),MIL tied (102-102)
22,2014-10-29,MIL,@,CHO,OT,2:19.0,MIL tied (102-102),K. Middleton makes 2-pt shot from 17 ft (assist by B. Knight),MIL up 2 (104-102)
23,2014-10-29,MIL,@,CHO,OT,1:45.0,MIL tied (104-104),K. Middleton makes 2-pt shot from 10 ft,MIL up 2 (106-104)
