Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,MIN,@,MEM,1st,2:40.0,MIN down 2 (20-22),T. Young misses 2-pt shot from 7 ft (block by J. Leuer),MIN down 2 (20-22)
2,2014-10-29,MIN,@,MEM,1st,2:20.0,MIN down 1 (21-22),R. Rubio misses 2-pt shot from 20 ft,MIN down 1 (21-22)
3,2014-10-29,MIN,@,MEM,1st,1:24.0,MIN tied (23-23),S. Muhammad makes 2-pt shot from 1 ft (assist by M. Williams),MIN up 2 (25-23)
4,2014-10-29,MIN,@,MEM,1st,0:59.0,MIN up 2 (25-23),A. Bennett misses 2-pt shot from 22 ft,MIN up 2 (25-23)
5,2014-10-29,MIN,@,MEM,1st,0:46.0,MIN up 2 (25-23),S. Muhammad misses 2-pt shot at rim,MIN up 2 (25-23)
6,2014-10-29,MIN,@,MEM,1st,0:16.0,MIN tied (25-25),G. Dieng makes 2-pt shot from 11 ft,MIN up 2 (27-25)
7,2014-10-29,MIN,@,MEM,2nd,2:55.0,MIN down 2 (40-42),C. Brewer misses 3-pt shot from 23 ft,MIN down 2 (40-42)
8,2014-10-29,MIN,@,MEM,2nd,1:45.0,MIN down 5 (41-46),T. Young misses 2-pt shot from 9 ft,MIN down 5 (41-46)
9,2014-10-29,MIN,@,MEM,2nd,1:31.0,MIN down 5 (41-46),C. Brewer misses 2-pt shot from 1 ft,MIN down 5 (41-46)
10,2014-10-29,MIN,@,MEM,2nd,1:28.0,MIN down 5 (41-46),N. Pekovic misses 2-pt shot from 1 ft,MIN down 5 (41-46)
11,2014-10-29,MIN,@,MEM,2nd,1:26.0,MIN down 5 (41-46),T. Young makes 2-pt shot from 1 ft,MIN down 3 (43-46)
12,2014-10-29,MIN,@,MEM,2nd,0:56.0,MIN down 3 (43-46),C. Brewer misses 2-pt shot from 8 ft,MIN down 3 (43-46)
13,2014-10-29,MIN,@,MEM,2nd,0:53.0,MIN down 3 (43-46),N. Pekovic misses 2-pt shot from 2 ft,MIN down 3 (43-46)
14,2014-10-29,MIN,@,MEM,2nd,0:47.0,MIN down 3 (43-46),S. Muhammad misses 2-pt shot from 2 ft,MIN down 3 (43-46)
15,2014-10-29,MIN,@,MEM,2nd,0:36.0,MIN down 5 (43-48),R. Rubio makes 2-pt shot from 15 ft,MIN down 3 (45-48)
16,2014-10-29,MIN,@,MEM,2nd,0:07.0,MIN down 5 (45-50),S. Muhammad makes 2-pt shot from 16 ft (assist by T. Young),MIN down 3 (47-50)
17,2014-10-29,MIN,@,MEM,2nd,0:00.0,MIN down 6 (47-53),C. Brewer misses 3-pt shot from 48 ft,MIN down 6 (47-53)
18,2014-10-29,MIN,@,MEM,3rd,2:42.0,MIN down 9 (68-77),G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio),MIN down 7 (70-77)
19,2014-10-29,MIN,@,MEM,3rd,2:17.0,MIN down 7 (70-77),T. Young makes 2-pt shot from 1 ft,MIN down 5 (72-77)
20,2014-10-29,MIN,@,MEM,3rd,1:46.0,MIN down 5 (72-77),R. Rubio misses 2-pt shot from 14 ft,MIN down 5 (72-77)
21,2014-10-29,MIN,@,MEM,3rd,1:05.0,MIN down 7 (72-79),M. Williams makes 2-pt shot from 17 ft (assist by T. Young),MIN down 5 (74-79)
22,2014-10-29,MIN,@,MEM,3rd,0:30.0,MIN down 7 (74-81),T. Young misses 2-pt shot from 20 ft,MIN down 7 (74-81)
