Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,PHO,,LAL,1st,2:43.0,PHO up 11 (26-15),M. Morris misses 3-pt shot from 25 ft,PHO up 11 (26-15)
2,2014-10-29,PHO,,LAL,1st,2:42.0,PHO up 11 (26-15),M. Morris makes 2-pt shot from 2 ft,PHO up 13 (28-15)
3,2014-10-29,PHO,,LAL,1st,2:19.0,PHO up 13 (28-15),I. Thomas makes 2-pt shot from 3 ft (assist by G. Green),PHO up 15 (30-15)
4,2014-10-29,PHO,,LAL,1st,1:48.0,PHO up 15 (30-15),A. Len misses 2-pt shot from 15 ft,PHO up 15 (30-15)
5,2014-10-29,PHO,,LAL,1st,1:23.0,PHO up 15 (30-15),G. Green misses 2-pt shot from 18 ft,PHO up 15 (30-15)
6,2014-10-29,PHO,,LAL,1st,0:58.0,PHO up 15 (30-15),I. Thomas makes 3-pt shot from 25 ft (assist by A. Goodwin),PHO up 18 (33-15)
7,2014-10-29,PHO,,LAL,1st,0:00.0,PHO up 14 (33-19),A. Goodwin misses 2-pt shot from 19 ft,PHO up 14 (33-19)
8,2014-10-29,PHO,,LAL,2nd,1:45.0,PHO up 8 (54-46),M. Morris misses 2-pt shot from 15 ft,PHO up 8 (54-46)
9,2014-10-29,PHO,,LAL,2nd,1:28.0,PHO up 8 (54-46),G. Dragic misses 2-pt shot from 16 ft,PHO up 8 (54-46)
10,2014-10-29,PHO,,LAL,2nd,1:12.0,PHO up 8 (54-46),I. Thomas makes 3-pt shot from 23 ft (assist by M. Morris),PHO up 11 (57-46)
11,2014-10-29,PHO,,LAL,2nd,0:46.0,PHO up 9 (57-48),M. Morris makes 2-pt shot from 9 ft,PHO up 11 (59-48)
12,2014-10-29,PHO,,LAL,3rd,2:34.0,PHO up 26 (92-66),M. Morris makes 3-pt shot from 23 ft (assist by I. Thomas),PHO up 29 (95-66)
13,2014-10-29,PHO,,LAL,3rd,2:02.0,PHO up 27 (95-68),A. Len misses 2-pt shot from 3 ft (block by E. Davis),PHO up 27 (95-68)
14,2014-10-29,PHO,,LAL,3rd,1:18.0,PHO up 26 (95-69),I. Thomas makes 2-pt shot from 18 ft (assist by E. Bledsoe),PHO up 28 (97-69)
15,2014-10-29,PHO,,LAL,3rd,0:01.0,PHO up 25 (98-73),M. Morris misses 3-pt shot from 24 ft,PHO up 25 (98-73)
16,2014-10-29,PHO,,LAL,4th,2:57.0,PHO up 23 (114-91),A. Tolliver makes 3-pt shot from 25 ft (assist by T. Ennis),PHO up 26 (117-91)
17,2014-10-29,PHO,,LAL,4th,2:19.0,PHO up 25 (117-92),T. Ennis misses 2-pt shot from 9 ft,PHO up 25 (117-92)
18,2014-10-29,PHO,,LAL,4th,1:55.0,PHO up 24 (117-93),A. Goodwin misses 2-pt shot at rim (block by E. Davis),PHO up 24 (117-93)
19,2014-10-29,PHO,,LAL,4th,1:30.0,PHO up 22 (117-95),S. Randolph makes 2-pt shot from 13 ft,PHO up 24 (119-95)
20,2014-10-29,PHO,,LAL,4th,1:01.0,PHO up 22 (119-97),G. Green misses 2-pt shot from 19 ft,PHO up 22 (119-97)
21,2014-10-31,PHO,,SAS,1st,2:53.0,PHO down 10 (8-18),A. Tolliver misses 3-pt shot from 26 ft,PHO down 10 (8-18)
22,2014-10-31,PHO,,SAS,1st,2:25.0,PHO down 10 (8-18),G. Dragic misses 2-pt shot from 13 ft,PHO down 10 (8-18)
23,2014-10-31,PHO,,SAS,1st,1:47.0,PHO down 11 (8-19),G. Green misses 2-pt shot from 17 ft,PHO down 11 (8-19)
24,2014-10-31,PHO,,SAS,1st,0:47.0,PHO down 12 (9-21),I. Thomas misses 2-pt shot from 8 ft,PHO down 12 (9-21)
25,2014-10-31,PHO,,SAS,1st,0:03.0,PHO down 15 (9-24),G. Dragic misses 2-pt shot from 1 ft,PHO down 15 (9-24)
26,2014-10-31,PHO,,SAS,1st,0:02.0,PHO down 15 (9-24),A. Len makes 2-pt shot from 3 ft,PHO down 13 (11-24)
27,2014-10-31,PHO,,SAS,2nd,2:32.0,PHO down 6 (34-40),A. Len misses 2-pt shot from 15 ft,PHO down 6 (34-40)
28,2014-10-31,PHO,,SAS,2nd,1:38.0,PHO down 6 (36-42),M. Morris misses 2-pt shot from 3 ft,PHO down 6 (36-42)
29,2014-10-31,PHO,,SAS,2nd,1:35.0,PHO down 6 (36-42),M. Morris misses 2-pt shot from 3 ft,PHO down 6 (36-42)
30,2014-10-31,PHO,,SAS,2nd,0:50.0,PHO down 9 (36-45),E. Bledsoe misses 2-pt shot from 12 ft,PHO down 9 (36-45)
31,2014-10-31,PHO,,SAS,2nd,0:13.0,PHO down 9 (36-45),G. Dragic misses 3-pt shot from 25 ft,PHO down 9 (36-45)
32,2014-10-31,PHO,,SAS,3rd,2:42.0,PHO down 5 (57-62),I. Thomas misses 3-pt shot from 25 ft,PHO down 5 (57-62)
33,2014-10-31,PHO,,SAS,3rd,1:34.0,PHO down 4 (61-65),I. Thomas makes 2-pt shot from 1 ft,PHO down 2 (63-65)
34,2014-10-31,PHO,,SAS,3rd,1:11.0,PHO down 4 (63-67),G. Green makes 2-pt shot from 10 ft,PHO down 2 (65-67)
35,2014-10-31,PHO,,SAS,3rd,0:48.0,PHO down 4 (65-69),I. Thomas makes 2-pt shot from 11 ft,PHO down 2 (67-69)
36,2014-10-31,PHO,,SAS,3rd,0:06.0,PHO down 2 (67-69),I. Thomas misses 3-pt shot from 26 ft,PHO down 2 (67-69)
37,2014-10-31,PHO,,SAS,4th,2:47.0,PHO up 1 (88-87),I. Thomas misses 3-pt shot from 25 ft,PHO up 1 (88-87)
38,2014-10-31,PHO,,SAS,4th,1:26.0,PHO up 3 (90-87),M. Morris misses 2-pt shot from 17 ft,PHO up 3 (90-87)
39,2014-10-31,PHO,,SAS,4th,1:09.0,PHO up 3 (90-87),M. Morris makes 2-pt shot at rim (assist by A. Len),PHO up 5 (92-87)
40,2014-10-31,PHO,,SAS,4th,0:39.0,PHO up 3 (92-89),E. Bledsoe misses 2-pt shot from 20 ft,PHO up 3 (92-89)
41,2014-10-31,PHO,,SAS,4th,0:20.0,PHO up 3 (92-89),I. Thomas misses 2-pt shot from 11 ft,PHO up 3 (92-89)
42,2014-11-01,PHO,@,UTA,1st,2:02.0,PHO down 10 (18-28),G. Dragic misses 2-pt shot from 19 ft,PHO down 10 (18-28)
43,2014-11-01,PHO,@,UTA,1st,1:37.0,PHO down 10 (18-28),I. Thomas misses 2-pt shot from 6 ft (block by T. Burke),PHO down 10 (18-28)
44,2014-11-01,PHO,@,UTA,1st,1:26.0,PHO down 10 (18-28),G. Green makes 2-pt shot from 15 ft,PHO down 8 (20-28)
45,2014-11-01,PHO,@,UTA,1st,0:56.0,PHO down 11 (20-31),A. Tolliver misses 3-pt shot from 24 ft,PHO down 11 (20-31)
46,2014-11-01,PHO,@,UTA,1st,0:34.0,PHO down 11 (20-31),A. Tolliver makes 2-pt shot from 1 ft (assist by I. Thomas),PHO down 9 (22-31)
47,2014-11-01,PHO,@,UTA,2nd,2:12.0,PHO down 4 (50-54),G. Green misses 2-pt shot from 12 ft,PHO down 4 (50-54)
48,2014-11-01,PHO,@,UTA,2nd,1:36.0,PHO down 6 (50-56),E. Bledsoe makes 2-pt shot from 18 ft,PHO down 4 (52-56)
49,2014-11-01,PHO,@,UTA,2nd,0:50.0,PHO down 5 (52-57),E. Bledsoe misses 2-pt shot from 3 ft (block by D. Favors),PHO down 5 (52-57)
50,2014-11-01,PHO,@,UTA,2nd,0:35.0,PHO down 7 (52-59),E. Bledsoe makes 2-pt shot from 2 ft,PHO down 5 (54-59)
51,2014-11-01,PHO,@,UTA,3rd,2:40.0,PHO down 11 (69-80),E. Bledsoe misses 3-pt shot from 24 ft,PHO down 11 (69-80)
52,2014-11-01,PHO,@,UTA,3rd,1:39.0,PHO down 13 (71-84),A. Len makes 2-pt shot from 2 ft (assist by E. Bledsoe),PHO down 11 (73-84)
53,2014-11-01,PHO,@,UTA,3rd,1:07.0,PHO down 13 (73-86),E. Bledsoe makes 2-pt shot from 3 ft,PHO down 11 (75-86)
54,2014-11-01,PHO,@,UTA,3rd,0:42.0,PHO down 11 (75-86),G. Green misses 3-pt shot from 25 ft,PHO down 11 (75-86)
55,2014-11-01,PHO,@,UTA,3rd,0:12.0,PHO down 14 (75-89),E. Bledsoe misses 2-pt shot from 15 ft,PHO down 14 (75-89)
56,2014-11-01,PHO,@,UTA,3rd,0:00.0,PHO down 14 (75-89),G. Green misses 3-pt shot from 49 ft,PHO down 14 (75-89)
57,2014-11-01,PHO,@,UTA,4th,2:57.0,PHO down 25 (86-111),A. Goodwin makes 2-pt shot at rim,PHO down 23 (88-111)
58,2014-11-01,PHO,@,UTA,4th,2:21.0,PHO down 23 (88-111),G. Green misses 3-pt shot from 26 ft,PHO down 23 (88-111)
59,2014-11-01,PHO,@,UTA,4th,1:58.0,PHO down 25 (88-113),T. Ennis misses 3-pt shot from 25 ft,PHO down 25 (88-113)
60,2014-11-01,PHO,@,UTA,4th,1:46.0,PHO down 25 (88-113),A. Goodwin misses 2-pt shot from 9 ft (block by R. Gobert),PHO down 25 (88-113)
61,2014-11-04,PHO,@,LAL,1st,2:40.0,PHO up 2 (19-17),G. Dragic makes 2-pt shot from 3 ft,PHO up 4 (21-17)
62,2014-11-04,PHO,@,LAL,1st,2:09.0,PHO up 2 (22-20),I. Thomas makes 2-pt shot from 1 ft (assist by A. Len),PHO up 4 (24-20)
63,2014-11-04,PHO,@,LAL,1st,1:41.0,PHO up 4 (24-20),M. Morris misses 3-pt shot from 25 ft,PHO up 4 (24-20)
64,2014-11-04,PHO,@,LAL,1st,1:14.0,PHO up 4 (24-20),I. Thomas misses 2-pt shot from 12 ft,PHO up 4 (24-20)
65,2014-11-04,PHO,@,LAL,1st,0:59.0,PHO up 4 (24-20),P. Tucker misses 3-pt shot from 23 ft,PHO up 4 (24-20)
66,2014-11-04,PHO,@,LAL,1st,0:39.0,PHO up 2 (24-22),I. Thomas misses 2-pt shot from 2 ft (block by K. Bryant),PHO up 2 (24-22)
67,2014-11-04,PHO,@,LAL,1st,0:12.0,PHO up 2 (24-22),G. Dragic misses 2-pt shot from 4 ft (block by E. Davis),PHO up 2 (24-22)
68,2014-11-04,PHO,@,LAL,1st,0:02.0,PHO up 2 (26-24),I. Thomas misses 2-pt shot from 15 ft,PHO up 2 (26-24)
69,2014-11-04,PHO,@,LAL,2nd,2:57.0,PHO up 5 (44-39),I. Thomas makes 2-pt shot from 2 ft (assist by M. Morris),PHO up 7 (46-39)
70,2014-11-04,PHO,@,LAL,2nd,2:27.0,PHO up 4 (46-42),M. Morris misses 2-pt shot from 6 ft,PHO up 4 (46-42)
71,2014-11-04,PHO,@,LAL,2nd,2:18.0,PHO up 4 (46-42),M. Morris misses 2-pt shot from 13 ft,PHO up 4 (46-42)
72,2014-11-04,PHO,@,LAL,2nd,2:14.0,PHO up 4 (46-42),G. Green makes 2-pt shot from 12 ft,PHO up 6 (48-42)
73,2014-11-04,PHO,@,LAL,2nd,1:48.0,PHO up 6 (48-42),I. Thomas makes 2-pt shot from 1 ft,PHO up 8 (50-42)
74,2014-11-04,PHO,@,LAL,2nd,1:19.0,PHO up 7 (50-43),G. Green makes 2-pt shot from 2 ft (assist by M. Morris),PHO up 9 (52-43)
75,2014-11-04,PHO,@,LAL,2nd,0:51.0,PHO up 7 (52-45),G. Green makes 2-pt shot from 10 ft,PHO up 9 (54-45)
76,2014-11-04,PHO,@,LAL,2nd,0:18.0,PHO up 10 (56-46),I. Thomas makes 2-pt shot at rim (assist by G. Green),PHO up 12 (58-46)
77,2014-11-04,PHO,@,LAL,3rd,1:54.0,PHO up 6 (75-69),M. Morris misses 3-pt shot from 26 ft,PHO up 6 (75-69)
78,2014-11-04,PHO,@,LAL,3rd,1:05.0,PHO up 4 (76-72),I. Thomas misses 2-pt shot from 2 ft,PHO up 4 (76-72)
79,2014-11-04,PHO,@,LAL,3rd,0:02.0,PHO up 4 (79-75),M. Morris misses 3-pt shot from 27 ft,PHO up 4 (79-75)
80,2014-11-04,PHO,@,LAL,4th,2:43.0,PHO up 3 (100-97),E. Bledsoe makes 2-pt shot from 1 ft,PHO up 5 (102-97)
81,2014-11-04,PHO,@,LAL,4th,2:05.0,PHO up 3 (102-99),M. Morris makes 2-pt shot from 1 ft (assist by M. Morris),PHO up 5 (104-99)
82,2014-11-04,PHO,@,LAL,4th,1:21.0,PHO up 3 (104-101),M. Morris makes 2-pt shot from 16 ft,PHO up 5 (106-101)
83,2014-11-04,PHO,@,LAL,4th,0:20.0,PHO up 4 (108-104),P. Tucker makes 3-pt shot from 23 ft (assist by M. Morris),PHO up 7 (111-104)
84,2014-11-05,PHO,,MEM,1st,2:41.0,PHO down 1 (21-22),E. Bledsoe makes 2-pt shot from 1 ft,PHO up 1 (23-22)
85,2014-11-05,PHO,,MEM,1st,1:38.0,PHO up 1 (23-22),I. Thomas misses 3-pt shot from 25 ft,PHO up 1 (23-22)
86,2014-11-05,PHO,,MEM,1st,1:12.0,PHO up 1 (23-22),E. Bledsoe makes 2-pt shot from 20 ft,PHO up 3 (25-22)
87,2014-11-05,PHO,,MEM,2nd,2:37.0,PHO up 4 (46-42),M. Morris makes 2-pt shot from 17 ft,PHO up 6 (48-42)
88,2014-11-05,PHO,,MEM,2nd,2:00.0,PHO up 4 (48-44),G. Dragic misses 2-pt shot from 12 ft (block by C. Lee),PHO up 4 (48-44)
89,2014-11-05,PHO,,MEM,2nd,1:46.0,PHO up 4 (48-44),E. Bledsoe makes 2-pt shot from 1 ft (assist by I. Thomas),PHO up 6 (50-44)
90,2014-11-05,PHO,,MEM,2nd,1:12.0,PHO up 6 (50-44),A. Len misses 2-pt shot from 2 ft,PHO up 6 (50-44)
91,2014-11-05,PHO,,MEM,2nd,0:38.0,PHO up 6 (50-44),A. Len misses 2-pt shot from 18 ft,PHO up 6 (50-44)
92,2014-11-05,PHO,,MEM,2nd,0:05.0,PHO up 4 (50-46),G. Dragic misses 2-pt shot from 1 ft,PHO up 4 (50-46)
93,2014-11-05,PHO,,MEM,3rd,2:28.0,PHO down 5 (67-72),M. Morris misses 2-pt shot from 16 ft,PHO down 5 (67-72)
94,2014-11-05,PHO,,MEM,3rd,2:05.0,PHO down 8 (67-75),M. Morris misses 2-pt shot from 22 ft,PHO down 8 (67-75)
95,2014-11-05,PHO,,MEM,3rd,1:14.0,PHO down 6 (69-75),G. Green misses 3-pt shot from 24 ft,PHO down 6 (69-75)
96,2014-11-05,PHO,,MEM,3rd,0:47.0,PHO down 6 (69-75),I. Thomas misses 2-pt shot from 2 ft,PHO down 6 (69-75)
97,2014-11-05,PHO,,MEM,4th,2:24.0,PHO down 8 (85-93),E. Bledsoe misses 2-pt shot from 1 ft,PHO down 8 (85-93)
98,2014-11-05,PHO,,MEM,4th,1:35.0,PHO down 14 (85-99),G. Dragic makes 2-pt shot from 2 ft,PHO down 12 (87-99)
99,2014-11-05,PHO,,MEM,4th,1:02.0,PHO down 15 (87-102),E. Bledsoe misses 2-pt shot from 4 ft,PHO down 15 (87-102)
100,2014-11-05,PHO,,MEM,4th,1:01.0,PHO down 15 (87-102),E. Bledsoe makes 2-pt shot from 4 ft,PHO down 13 (89-102)
101,2014-11-05,PHO,,MEM,4th,0:46.0,PHO down 13 (89-102),G. Dragic makes 2-pt shot from 1 ft (assist by P. Tucker),PHO down 11 (91-102)
102,2014-11-05,PHO,,MEM,4th,0:17.0,PHO down 11 (91-102),G. Green misses 3-pt shot from 23 ft,PHO down 11 (91-102)
103,2014-11-07,PHO,,SAC,1st,1:42.0,PHO up 6 (26-20),A. Len makes 2-pt shot from 2 ft (assist by M. Morris),PHO up 8 (28-20)
104,2014-11-07,PHO,,SAC,1st,1:22.0,PHO up 6 (29-23),G. Green makes 3-pt shot from 23 ft (assist by G. Dragic),PHO up 9 (32-23)
105,2014-11-07,PHO,,SAC,1st,0:59.0,PHO up 9 (32-23),G. Dragic makes 2-pt shot from 1 ft,PHO up 11 (34-23)
106,2014-11-07,PHO,,SAC,1st,0:31.0,PHO up 9 (34-25),G. Dragic makes 2-pt shot from 1 ft,PHO up 11 (36-25)
107,2014-11-07,PHO,,SAC,1st,0:01.0,PHO up 11 (36-25),G. Dragic misses 3-pt shot from 23 ft,PHO up 11 (36-25)
108,2014-11-07,PHO,,SAC,2nd,2:59.0,PHO up 8 (52-44),E. Bledsoe misses 3-pt shot from 24 ft,PHO up 8 (52-44)
109,2014-11-07,PHO,,SAC,2nd,2:05.0,PHO up 6 (52-46),M. Morris misses 2-pt shot from 8 ft,PHO up 6 (52-46)
110,2014-11-07,PHO,,SAC,2nd,1:42.0,PHO up 3 (52-49),A. Len misses 2-pt shot from 2 ft,PHO up 3 (52-49)
111,2014-11-07,PHO,,SAC,2nd,1:25.0,PHO up 1 (52-51),P. Tucker makes 2-pt shot from 4 ft,PHO up 3 (54-51)
112,2014-11-07,PHO,,SAC,2nd,0:58.0,PHO up 4 (55-51),M. Morris misses 2-pt shot from 13 ft,PHO up 4 (55-51)
113,2014-11-07,PHO,,SAC,2nd,0:56.0,PHO up 4 (55-51),M. Morris makes 2-pt shot at rim,PHO up 6 (57-51)
114,2014-11-07,PHO,,SAC,2nd,0:00.0,PHO up 3 (58-55),M. Morris misses 2-pt shot from 23 ft,PHO up 3 (58-55)
