Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,POR,,OKC,1st,2:27.0,POR down 8 (20-28),L. Aldridge makes 2-pt shot from 18 ft,POR down 6 (22-28)
2,2014-10-29,POR,,OKC,1st,1:02.0,POR down 7 (25-32),L. Aldridge makes 2-pt shot from 20 ft,POR down 5 (27-32)
3,2014-10-29,POR,,OKC,1st,0:24.0,POR down 7 (27-34),L. Aldridge makes 2-pt shot from 19 ft,POR down 5 (29-34)
4,2014-10-29,POR,,OKC,2nd,2:57.0,POR down 1 (47-48),N. Batum misses 3-pt shot from 24 ft,POR down 1 (47-48)
5,2014-10-29,POR,,OKC,2nd,2:55.0,POR down 1 (47-48),R. Lopez misses 2-pt shot from 1 ft,POR down 1 (47-48)
6,2014-10-29,POR,,OKC,2nd,2:27.0,POR down 3 (47-50),L. Aldridge misses 2-pt shot from 19 ft,POR down 3 (47-50)
7,2014-10-29,POR,,OKC,2nd,1:51.0,POR down 5 (47-52),R. Lopez misses 2-pt shot from 20 ft,POR down 5 (47-52)
8,2014-10-29,POR,,OKC,2nd,0:50.0,POR down 5 (47-52),W. Matthews misses 3-pt shot from 23 ft,POR down 5 (47-52)
9,2014-10-29,POR,,OKC,2nd,0:29.0,POR down 5 (47-52),S. Blake misses 3-pt shot from 24 ft,POR down 5 (47-52)
10,2014-10-29,POR,,OKC,2nd,0:03.0,POR down 5 (47-52),W. Matthews makes 2-pt shot at rim (assist by N. Batum),POR down 3 (49-52)
11,2014-10-29,POR,,OKC,3rd,2:41.0,POR tied (73-73),N. Batum makes 2-pt shot from 1 ft (assist by L. Aldridge),POR up 2 (75-73)
12,2014-10-29,POR,,OKC,3rd,2:10.0,POR up 2 (75-73),L. Aldridge misses 2-pt shot from 14 ft,POR up 2 (75-73)
13,2014-10-29,POR,,OKC,3rd,0:26.0,POR down 2 (75-77),C. Kaman misses 2-pt shot from 3 ft,POR down 2 (75-77)
14,2014-10-29,POR,,OKC,4th,1:31.0,POR up 16 (101-85),T. Robinson makes 2-pt shot from 17 ft,POR up 18 (103-85)
15,2014-10-29,POR,,OKC,4th,0:54.0,POR up 16 (103-87),T. Robinson misses 2-pt shot from 22 ft,POR up 16 (103-87)
16,2014-10-29,POR,,OKC,4th,0:33.0,POR up 14 (103-89),C. McCollum misses 2-pt shot from 7 ft,POR up 14 (103-89)
17,2014-10-29,POR,,OKC,4th,0:31.0,POR up 14 (103-89),J. Freeland misses 2-pt shot from 2 ft,POR up 14 (103-89)
18,2014-10-29,POR,,OKC,4th,0:27.0,POR up 14 (103-89),A. Crabbe makes 3-pt shot from 23 ft (assist by C. McCollum),POR up 17 (106-89)
19,2014-10-31,POR,@,SAC,1st,2:34.0,POR down 3 (17-20),S. Blake misses 2-pt shot from 3 ft,POR down 3 (17-20)
20,2014-10-31,POR,@,SAC,1st,0:49.0,POR down 4 (20-24),L. Aldridge makes 2-pt shot from 19 ft,POR down 2 (22-24)
21,2014-10-31,POR,@,SAC,1st,0:13.0,POR down 4 (22-26),S. Blake misses 3-pt shot from 25 ft,POR down 4 (22-26)
22,2014-10-31,POR,@,SAC,1st,0:13.0,POR down 4 (22-26),L. Aldridge makes 2-pt shot from 1 ft,POR down 2 (24-26)
23,2014-10-31,POR,@,SAC,2nd,2:58.0,POR down 1 (42-43),N. Batum misses 3-pt shot from 25 ft,POR down 1 (42-43)
24,2014-10-31,POR,@,SAC,2nd,2:55.0,POR down 1 (42-43),W. Matthews makes 2-pt shot from 3 ft,POR up 1 (44-43)
25,2014-10-31,POR,@,SAC,2nd,2:13.0,POR up 1 (44-43),N. Batum misses 2-pt shot from 19 ft,POR up 1 (44-43)
26,2014-10-31,POR,@,SAC,2nd,1:27.0,POR tied (44-44),C. Kaman misses 2-pt shot from 6 ft,POR tied (44-44)
27,2014-10-31,POR,@,SAC,2nd,1:00.0,POR down 2 (44-46),C. Kaman makes 2-pt shot at rim (assist by L. Aldridge),POR tied (46-46)
28,2014-10-31,POR,@,SAC,2nd,0:29.0,POR down 2 (46-48),C. Kaman makes 2-pt shot from 1 ft (assist by L. Aldridge),POR tied (48-48)
29,2014-10-31,POR,@,SAC,3rd,2:22.0,POR down 4 (65-69),L. Aldridge makes 2-pt shot from 17 ft,POR down 2 (67-69)
30,2014-10-31,POR,@,SAC,3rd,1:00.0,POR down 2 (69-71),L. Aldridge misses 2-pt shot from 17 ft,POR down 2 (69-71)
31,2014-10-31,POR,@,SAC,3rd,0:30.0,POR down 2 (69-71),C. Kaman makes 2-pt shot from 2 ft (assist by S. Blake),POR tied (71-71)
32,2014-10-31,POR,@,SAC,3rd,0:00.0,POR tied (71-71),S. Blake misses 3-pt shot from 33 ft,POR tied (71-71)
33,2014-10-31,POR,@,SAC,4th,2:54.0,POR down 9 (81-90),L. Aldridge misses 2-pt shot from 6 ft (block by D. Cousins),POR down 9 (81-90)
34,2014-10-31,POR,@,SAC,4th,2:51.0,POR down 9 (81-90),D. Lillard misses 3-pt shot from 24 ft,POR down 9 (81-90)
35,2014-10-31,POR,@,SAC,4th,2:03.0,POR down 11 (83-94),D. Lillard makes 3-pt shot from 25 ft,POR down 8 (86-94)
36,2014-10-31,POR,@,SAC,4th,1:35.0,POR down 9 (86-95),W. Matthews misses 3-pt shot from 25 ft,POR down 9 (86-95)
37,2014-10-31,POR,@,SAC,4th,1:11.0,POR down 8 (87-95),D. Lillard misses 3-pt shot from 24 ft,POR down 8 (87-95)
