Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,TOR,,ATL,1st,2:34.0,TOR up 5 (21-16),J. Johnson misses 2-pt shot from 21 ft,TOR up 5 (21-16)
2,2014-10-29,TOR,,ATL,1st,1:52.0,TOR up 1 (21-20),K. Lowry misses 3-pt shot from 25 ft,TOR up 1 (21-20)
3,2014-10-29,TOR,,ATL,1st,1:38.0,TOR up 1 (21-20),P. Patterson misses 3-pt shot from 24 ft,TOR up 1 (21-20)
4,2014-10-29,TOR,,ATL,1st,1:23.0,TOR up 1 (21-20),K. Lowry misses 2-pt shot from 12 ft,TOR up 1 (21-20)
5,2014-10-29,TOR,,ATL,1st,0:44.0,TOR up 1 (21-20),L. Williams makes 3-pt shot from 25 ft (assist by P. Patterson),TOR up 4 (24-20)
6,2014-10-29,TOR,,ATL,1st,0:00.0,TOR up 2 (24-22),L. Williams misses 3-pt shot from 25 ft,TOR up 2 (24-22)
7,2014-10-29,TOR,,ATL,2nd,2:43.0,TOR up 4 (51-47),T. Ross misses 2-pt shot from 18 ft,TOR up 4 (51-47)
8,2014-10-29,TOR,,ATL,2nd,2:11.0,TOR up 1 (51-50),K. Lowry makes 2-pt shot from 2 ft,TOR up 3 (53-50)
9,2014-10-29,TOR,,ATL,2nd,1:47.0,TOR up 3 (53-50),K. Lowry misses 2-pt shot from 2 ft,TOR up 3 (53-50)
10,2014-10-29,TOR,,ATL,2nd,1:43.0,TOR up 3 (53-50),A. Johnson makes 2-pt shot at rim,TOR up 5 (55-50)
11,2014-10-29,TOR,,ATL,2nd,1:28.0,TOR up 5 (55-50),P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),TOR up 8 (58-50)
12,2014-10-29,TOR,,ATL,2nd,0:08.0,TOR up 10 (60-50),A. Johnson misses 2-pt shot from 2 ft (block by K. Korver),TOR up 10 (60-50)
13,2014-10-29,TOR,,ATL,3rd,2:19.0,TOR up 13 (80-67),G. Vasquez misses 3-pt shot from 24 ft,TOR up 13 (80-67)
14,2014-10-29,TOR,,ATL,3rd,1:41.0,TOR up 11 (80-69),P. Patterson makes 2-pt shot from 12 ft,TOR up 13 (82-69)
15,2014-10-29,TOR,,ATL,3rd,1:00.0,TOR up 11 (82-71),P. Patterson misses 3-pt shot from 25 ft,TOR up 11 (82-71)
16,2014-10-29,TOR,,ATL,3rd,0:54.0,TOR up 11 (82-71),G. Vasquez misses 3-pt shot from 25 ft,TOR up 11 (82-71)
17,2014-10-29,TOR,,ATL,3rd,0:26.0,TOR up 13 (84-71),G. Vasquez misses 2-pt shot from 7 ft,TOR up 13 (84-71)
18,2014-10-29,TOR,,ATL,3rd,0:00.0,TOR up 13 (84-71),L. Williams makes 2-pt shot from 16 ft (assist by G. Vasquez),TOR up 15 (86-71)
19,2014-10-29,TOR,,ATL,4th,2:37.0,TOR up 11 (102-91),D. DeRozan misses 2-pt shot from 2 ft (block by A. Horford),TOR up 11 (102-91)
20,2014-10-29,TOR,,ATL,4th,1:34.0,TOR up 7 (103-96),K. Lowry misses 2-pt shot from 2 ft,TOR up 7 (103-96)
21,2014-10-29,TOR,,ATL,4th,1:07.0,TOR up 4 (103-99),P. Patterson misses 3-pt shot from 24 ft,TOR up 4 (103-99)
22,2014-10-29,TOR,,ATL,4th,0:20.0,TOR up 5 (107-102),P. Patterson makes 2-pt shot at rim (assist by T. Ross),TOR up 7 (109-102)
23,2014-11-01,TOR,@,ORL,1st,2:55.0,TOR up 2 (21-19),K. Lowry misses 2-pt shot from 19 ft,TOR up 2 (21-19)
24,2014-11-01,TOR,@,ORL,1st,1:39.0,TOR up 5 (27-22),T. Hansbrough misses 2-pt shot from 3 ft,TOR up 5 (27-22)
25,2014-11-01,TOR,@,ORL,1st,1:18.0,TOR up 3 (27-24),G. Vasquez makes 2-pt shot from 5 ft (assist by L. Williams),TOR up 5 (29-24)
26,2014-11-01,TOR,@,ORL,1st,0:57.0,TOR up 5 (29-24),L. Williams misses 2-pt shot from 17 ft,TOR up 5 (29-24)
27,2014-11-01,TOR,@,ORL,1st,0:37.0,TOR up 5 (29-24),G. Vasquez misses 3-pt shot from 27 ft,TOR up 5 (29-24)
28,2014-11-01,TOR,@,ORL,1st,0:01.0,TOR up 3 (29-26),L. Williams misses 2-pt shot from 11 ft (block by D. Dedmon),TOR up 3 (29-26)
29,2014-11-01,TOR,@,ORL,2nd,2:50.0,TOR down 3 (42-45),K. Lowry makes 3-pt shot from 26 ft,TOR tied (45-45)
30,2014-11-01,TOR,@,ORL,2nd,2:28.0,TOR down 2 (45-47),K. Lowry makes 2-pt shot from 1 ft,TOR tied (47-47)
31,2014-11-01,TOR,@,ORL,2nd,1:31.0,TOR up 2 (49-47),J. Valanciunas misses 2-pt shot from 20 ft,TOR up 2 (49-47)
32,2014-11-01,TOR,@,ORL,2nd,0:53.0,TOR up 2 (49-47),J. Valanciunas misses 2-pt shot from 6 ft,TOR up 2 (49-47)
33,2014-11-01,TOR,@,ORL,2nd,0:08.0,TOR down 1 (49-50),K. Lowry misses 2-pt shot from 17 ft,TOR down 1 (49-50)
