Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,WAS,@,MIA,1st,2:27.0,WAS down 1 (19-20),J. Wall makes 2-pt shot from 2 ft,WAS up 1 (21-20)
2,2014-10-29,WAS,@,MIA,1st,1:43.0,WAS down 1 (21-22),J. Wall makes 2-pt shot from 16 ft,WAS up 1 (23-22)
3,2014-10-29,WAS,@,MIA,1st,1:12.0,WAS up 1 (23-22),O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),WAS up 4 (26-22)
4,2014-10-29,WAS,@,MIA,1st,0:14.0,WAS up 4 (26-22),M. Gortat makes 2-pt shot from 12 ft,WAS up 6 (28-22)
5,2014-10-29,WAS,@,MIA,2nd,2:10.0,WAS tied (43-43),J. Wall misses 2-pt shot from 1 ft (block by C. Andersen),WAS tied (43-43)
6,2014-10-29,WAS,@,MIA,2nd,2:02.0,WAS tied (43-43),M. Gortat misses 2-pt shot from 9 ft,WAS tied (43-43)
7,2014-10-29,WAS,@,MIA,2nd,1:35.0,WAS down 3 (43-46),D. Gooden makes 2-pt shot from 20 ft (assist by P. Pierce),WAS down 1 (45-46)
8,2014-10-29,WAS,@,MIA,2nd,0:56.0,WAS down 3 (45-48),P. Pierce makes 2-pt shot from 12 ft (assist by J. Wall),WAS down 1 (47-48)
9,2014-10-29,WAS,@,MIA,2nd,0:34.0,WAS down 3 (47-50),M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),WAS down 1 (49-50)
10,2014-10-29,WAS,@,MIA,2nd,0:03.0,WAS down 4 (49-53),G. Temple makes 3-pt shot from 24 ft (assist by J. Wall),WAS down 1 (52-53)
11,2014-10-29,WAS,@,MIA,3rd,2:29.0,WAS tied (68-68),K. Humphries misses 2-pt shot from 17 ft,WAS tied (68-68)
12,2014-10-29,WAS,@,MIA,3rd,2:21.0,WAS tied (68-68),G. Temple misses 3-pt shot from 25 ft,WAS tied (68-68)
13,2014-10-29,WAS,@,MIA,3rd,0:51.0,WAS tied (68-68),J. Wall misses 2-pt shot from 18 ft,WAS tied (68-68)
14,2014-10-29,WAS,@,MIA,3rd,0:00.0,WAS down 2 (70-72),G. Temple misses 3-pt shot from 54 ft,WAS down 2 (70-72)
15,2014-10-29,WAS,@,MIA,4th,2:20.0,WAS down 7 (90-97),D. Gooden makes 2-pt shot from 19 ft (assist by J. Wall),WAS down 5 (92-97)
16,2014-10-29,WAS,@,MIA,4th,1:19.0,WAS down 8 (93-101),J. Wall misses 3-pt shot from 26 ft,WAS down 8 (93-101)
17,2014-10-29,WAS,@,MIA,4th,0:56.0,WAS down 11 (93-104),P. Pierce misses 3-pt shot from 25 ft,WAS down 11 (93-104)
18,2014-10-30,WAS,@,ORL,1st,1:52.0,WAS up 4 (24-20),M. Gortat makes 2-pt shot from 12 ft (assist by G. Temple),WAS up 6 (26-20)
19,2014-10-30,WAS,@,ORL,1st,1:14.0,WAS up 6 (26-20),K. Humphries misses 2-pt shot from 6 ft,WAS up 6 (26-20)
20,2014-10-30,WAS,@,ORL,1st,0:40.0,WAS up 5 (28-23),D. Gooden misses 2-pt shot from 21 ft,WAS up 5 (28-23)
21,2014-10-30,WAS,@,ORL,1st,0:04.0,WAS up 5 (28-23),G. Rice misses 3-pt shot from 25 ft,WAS up 5 (28-23)
22,2014-10-30,WAS,@,ORL,1st,0:00.0,WAS up 5 (28-23),D. Gooden misses 2-pt shot from 20 ft (block by D. Dedmon),WAS up 5 (28-23)
23,2014-10-30,WAS,@,ORL,2nd,2:22.0,WAS down 3 (41-44),J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat),WAS tied (44-44)
24,2014-10-30,WAS,@,ORL,2nd,2:06.0,WAS down 1 (44-45),M. Gortat misses 2-pt shot at rim,WAS down 1 (44-45)
25,2014-10-30,WAS,@,ORL,2nd,1:35.0,WAS down 4 (44-48),P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),WAS down 1 (47-48)
26,2014-10-30,WAS,@,ORL,2nd,0:48.0,WAS down 3 (47-50),M. Gortat makes 2-pt shot at rim (assist by J. Wall),WAS down 1 (49-50)
27,2014-10-30,WAS,@,ORL,2nd,0:28.0,WAS down 2 (49-51),G. Temple misses 3-pt shot from 25 ft,WAS down 2 (49-51)
28,2014-10-30,WAS,@,ORL,2nd,0:27.0,WAS down 2 (49-51),M. Gortat makes 2-pt shot at rim,WAS tied (51-51)
29,2014-10-30,WAS,@,ORL,2nd,0:00.0,WAS tied (51-51),J. Wall makes 3-pt shot from 26 ft,WAS up 3 (54-51)
30,2014-10-30,WAS,@,ORL,3rd,2:25.0,WAS up 15 (76-61),M. Gortat makes 2-pt shot from 15 ft (assist by J. Wall),WAS up 17 (78-61)
31,2014-10-30,WAS,@,ORL,3rd,1:50.0,WAS up 15 (78-63),M. Gortat makes 2-pt shot from 2 ft,WAS up 17 (80-63)
32,2014-10-30,WAS,@,ORL,3rd,1:11.0,WAS up 14 (80-66),J. Wall makes 2-pt shot from 12 ft,WAS up 16 (82-66)
33,2014-10-30,WAS,@,ORL,3rd,0:27.0,WAS up 16 (82-66),D. Gooden misses 3-pt shot from 25 ft,WAS up 16 (82-66)
34,2014-10-30,WAS,@,ORL,4th,2:22.0,WAS up 3 (96-93),P. Pierce makes 2-pt shot from 14 ft,WAS up 5 (98-93)
35,2014-10-30,WAS,@,ORL,4th,1:53.0,WAS up 3 (98-95),P. Pierce makes 2-pt shot from 16 ft,WAS up 5 (100-95)
36,2014-10-30,WAS,@,ORL,4th,1:21.0,WAS up 5 (100-95),P. Pierce misses 2-pt shot from 2 ft,WAS up 5 (100-95)
37,2014-10-30,WAS,@,ORL,4th,1:20.0,WAS up 5 (100-95),P. Pierce misses 2-pt shot from 2 ft,WAS up 5 (100-95)
38,2014-10-30,WAS,@,ORL,4th,0:50.0,WAS up 5 (100-95),J. Wall misses 2-pt shot from 17 ft,WAS up 5 (100-95)
39,2014-10-30,WAS,@,ORL,4th,0:28.0,WAS up 2 (100-98),J. Wall makes 2-pt shot from 3 ft,WAS up 4 (102-98)
40,2014-11-01,WAS,,MIL,1st,2:58.0,WAS up 10 (21-11),G. Temple makes 2-pt shot from 20 ft (assist by K. Humphries),WAS up 12 (23-11)
41,2014-11-01,WAS,,MIL,1st,1:36.0,WAS up 16 (27-11),K. Humphries misses 2-pt shot from 1 ft (block by G. Antetokounmpo),WAS up 16 (27-11)
42,2014-11-01,WAS,,MIL,1st,0:43.0,WAS up 12 (27-15),D. Gooden makes 2-pt shot from 20 ft (assist by A. Miller),WAS up 14 (29-15)
43,2014-11-01,WAS,,MIL,1st,0:16.0,WAS up 12 (29-17),G. Rice misses 2-pt shot from 8 ft,WAS up 12 (29-17)
44,2014-11-01,WAS,,MIL,1st,0:03.0,WAS up 12 (29-17),D. Gooden misses 2-pt shot from 18 ft,WAS up 12 (29-17)
45,2014-11-01,WAS,,MIL,1st,0:01.0,WAS up 12 (29-17),K. Humphries misses 2-pt shot from 1 ft,WAS up 12 (29-17)
46,2014-11-01,WAS,,MIL,2nd,1:35.0,WAS up 4 (45-41),M. Gortat makes 2-pt shot from 6 ft,WAS up 6 (47-41)
