Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,BRK,@,BOS,1st,2:19.0,BRK down 9 (19-28),A. Kirilenko misses 2-pt shot at rim (block by J. Sullinger),BRK down 9 (19-28)
2,2014-10-29,BRK,@,BOS,1st,1:55.0,BRK down 9 (19-28),J. Jack misses 2-pt shot from 15 ft,BRK down 9 (19-28)
3,2014-10-29,BRK,@,BOS,1st,1:31.0,BRK down 11 (19-30),A. Anderson makes 2-pt shot from 1 ft,BRK down 9 (21-30)
4,2014-10-29,BRK,@,BOS,1st,1:07.0,BRK down 9 (21-30),J. Johnson makes 2-pt shot at rim,BRK down 7 (23-30)
5,2014-10-29,BRK,@,BOS,1st,0:24.0,BRK down 9 (23-32),J. Johnson misses 2-pt shot from 4 ft,BRK down 9 (23-32)
6,2014-10-29,BRK,@,BOS,1st,0:21.0,BRK down 9 (23-32),A. Kirilenko misses 2-pt shot from 1 ft,BRK down 9 (23-32)
7,2014-10-29,BRK,@,BOS,1st,0:01.0,BRK down 9 (23-32),A. Anderson misses 3-pt shot from 40 ft (block by E. Turner),BRK down 9 (23-32)
8,2014-10-29,BRK,@,BOS,2nd,2:49.0,BRK down 15 (40-55),D. Williams misses 2-pt shot from 1 ft (block by J. Sullinger),BRK down 15 (40-55)
9,2014-10-29,BRK,@,BOS,2nd,0:45.0,BRK down 21 (41-62),D. Williams misses 2-pt shot at rim,BRK down 21 (41-62)
10,2014-10-29,BRK,@,BOS,2nd,0:01.0,BRK down 24 (41-65),J. Johnson misses 2-pt shot at rim,BRK down 24 (41-65)
11,2014-10-29,BRK,@,BOS,3rd,2:51.0,BRK down 26 (65-91),D. Williams misses 3-pt shot from 26 ft,BRK down 26 (65-91)
12,2014-10-29,BRK,@,BOS,3rd,2:10.0,BRK down 28 (65-93),M. Teletovic makes 2-pt shot from 7 ft,BRK down 26 (67-93)
13,2014-10-29,BRK,@,BOS,3rd,1:48.0,BRK down 28 (67-95),J. Jack misses 2-pt shot from 7 ft,BRK down 28 (67-95)
14,2014-10-29,BRK,@,BOS,3rd,1:11.0,BRK down 28 (67-95),J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack),BRK down 25 (70-95)
15,2014-10-29,BRK,@,BOS,4th,2:34.0,BRK down 19 (98-117),J. Jack misses 2-pt shot from 20 ft,BRK down 19 (98-117)
16,2014-10-29,BRK,@,BOS,4th,2:10.0,BRK down 19 (98-117),A. Anderson misses 3-pt shot from 24 ft,BRK down 19 (98-117)
17,2014-10-29,BRK,@,BOS,4th,0:40.0,BRK down 20 (101-121),C. Jefferson makes 2-pt shot at rim (assist by J. Jack),BRK down 18 (103-121)
18,2014-10-29,BRK,@,BOS,4th,0:12.0,BRK down 18 (103-121),J. Jack makes 2-pt shot at rim,BRK down 16 (105-121)
19,2014-11-01,BRK,@,DET,1st,2:55.0,BRK up 2 (23-21),J. Johnson makes 2-pt shot from 7 ft,BRK up 4 (25-21)
20,2014-11-01,BRK,@,DET,1st,2:26.0,BRK up 4 (25-21),M. Plumlee makes 2-pt shot from 4 ft (assist by J. Jack),BRK up 6 (27-21)
21,2014-11-01,BRK,@,DET,1st,1:47.0,BRK up 4 (27-23),J. Jack misses 2-pt shot from 19 ft,BRK up 4 (27-23)
22,2014-11-01,BRK,@,DET,1st,1:07.0,BRK up 2 (27-25),J. Johnson makes 3-pt shot from 29 ft,BRK up 5 (30-25)
23,2014-11-01,BRK,@,DET,1st,0:19.0,BRK up 6 (31-25),B. Bogdanovic misses 3-pt shot from 26 ft,BRK up 6 (31-25)
24,2014-11-01,BRK,@,DET,2nd,2:40.0,BRK up 3 (49-46),K. Garnett makes 2-pt shot from 17 ft (assist by A. Anderson),BRK up 5 (51-46)
25,2014-11-01,BRK,@,DET,2nd,2:05.0,BRK up 5 (51-46),A. Anderson makes 3-pt shot from 26 ft (assist by J. Johnson),BRK up 8 (54-46)
26,2014-11-01,BRK,@,DET,2nd,1:41.0,BRK up 8 (54-46),J. Johnson makes 3-pt shot from 28 ft,BRK up 11 (57-46)
27,2014-11-01,BRK,@,DET,2nd,0:31.0,BRK up 11 (57-46),J. Johnson makes 2-pt shot from 6 ft,BRK up 13 (59-46)
28,2014-11-01,BRK,@,DET,2nd,0:05.0,BRK up 12 (59-47),K. Garnett misses 2-pt shot from 20 ft,BRK up 12 (59-47)
29,2014-11-01,BRK,@,DET,3rd,2:24.0,BRK up 9 (79-70),D. Williams misses 2-pt shot from 8 ft,BRK up 9 (79-70)
30,2014-11-01,BRK,@,DET,3rd,2:22.0,BRK up 9 (79-70),J. Jordan makes 2-pt shot at rim,BRK up 11 (81-70)
31,2014-11-01,BRK,@,DET,3rd,1:39.0,BRK up 9 (81-72),J. Johnson misses 3-pt shot from 26 ft,BRK up 9 (81-72)
32,2014-11-01,BRK,@,DET,3rd,1:16.0,BRK up 9 (81-72),B. Bogdanovic misses 3-pt shot from 23 ft,BRK up 9 (81-72)
33,2014-11-01,BRK,@,DET,3rd,0:16.0,BRK up 6 (81-75),J. Johnson misses 2-pt shot from 16 ft,BRK up 6 (81-75)
34,2014-11-01,BRK,@,DET,3rd,0:01.0,BRK up 6 (81-75),M. Plumlee misses 3-pt shot from 49 ft,BRK up 6 (81-75)
35,2014-11-01,BRK,@,DET,4th,2:35.0,BRK up 12 (98-86),J. Johnson makes 2-pt shot from 18 ft,BRK up 14 (100-86)
36,2014-11-01,BRK,@,DET,4th,1:59.0,BRK up 12 (100-88),M. Teletovic misses 3-pt shot from 26 ft,BRK up 12 (100-88)
37,2014-11-01,BRK,@,DET,4th,1:00.0,BRK up 12 (100-88),K. Garnett makes 2-pt shot from 1 ft (assist by M. Teletovic),BRK up 14 (102-88)
38,2014-11-01,BRK,@,DET,4th,0:23.0,BRK up 12 (102-90),J. Johnson misses 3-pt shot from 27 ft,BRK up 12 (102-90)
39,2014-11-03,BRK,,OKC,1st,2:21.0,BRK up 13 (26-13),M. Plumlee misses 2-pt shot from 11 ft,BRK up 13 (26-13)
40,2014-11-03,BRK,,OKC,1st,1:48.0,BRK up 11 (26-15),B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson),BRK up 14 (29-15)
41,2014-11-03,BRK,,OKC,1st,1:16.0,BRK up 14 (29-15),B. Bogdanovic misses 3-pt shot from 24 ft,BRK up 14 (29-15)
42,2014-11-03,BRK,,OKC,1st,0:41.0,BRK up 14 (29-15),J. Johnson misses 2-pt shot from 7 ft,BRK up 14 (29-15)
43,2014-11-03,BRK,,OKC,1st,0:15.0,BRK up 14 (30-16),J. Jack makes 2-pt shot from 2 ft,BRK up 16 (32-16)
44,2014-11-03,BRK,,OKC,2nd,2:43.0,BRK up 19 (52-33),B. Lopez makes 2-pt shot at rim (assist by K. Garnett),BRK up 21 (54-33)
45,2014-11-03,BRK,,OKC,2nd,2:01.0,BRK up 19 (55-36),J. Johnson misses 2-pt shot from 15 ft,BRK up 19 (55-36)
46,2014-11-03,BRK,,OKC,2nd,1:32.0,BRK up 19 (55-36),D. Williams misses 3-pt shot from 23 ft,BRK up 19 (55-36)
47,2014-11-03,BRK,,OKC,2nd,0:38.0,BRK up 15 (55-40),B. Bogdanovic misses 2-pt shot from 14 ft (block by S. Ibaka),BRK up 15 (55-40)
48,2014-11-03,BRK,,OKC,2nd,0:32.0,BRK up 15 (55-40),B. Lopez makes 2-pt shot from 16 ft (assist by D. Williams),BRK up 17 (57-40)
49,2014-11-03,BRK,,OKC,2nd,0:00.0,BRK up 17 (57-40),M. Plumlee makes 2-pt shot at rim (assist by B. Bogdanovic),BRK up 19 (59-40)
50,2014-11-03,BRK,,OKC,3rd,2:49.0,BRK up 17 (77-60),J. Johnson makes 2-pt shot from 5 ft,BRK up 19 (79-60)
51,2014-11-03,BRK,,OKC,3rd,2:37.0,BRK up 19 (79-60),M. Teletovic makes 2-pt shot at rim,BRK up 21 (81-60)
52,2014-11-03,BRK,,OKC,3rd,1:58.0,BRK up 21 (81-60),M. Teletovic misses 3-pt shot from 23 ft,BRK up 21 (81-60)
53,2014-11-03,BRK,,OKC,3rd,1:23.0,BRK up 19 (81-62),M. Plumlee makes 2-pt shot at rim (assist by M. Teletovic),BRK up 21 (83-62)
54,2014-11-03,BRK,,OKC,3rd,0:43.0,BRK up 21 (83-62),D. Williams misses 3-pt shot from 23 ft,BRK up 21 (83-62)
55,2014-11-03,BRK,,OKC,3rd,0:37.0,BRK up 21 (83-62),D. Williams makes 2-pt shot from 2 ft,BRK up 23 (85-62)
56,2014-11-03,BRK,,OKC,3rd,0:08.0,BRK up 23 (85-62),M. Plumlee misses 2-pt shot at rim (block by S. Ibaka),BRK up 23 (85-62)
57,2014-11-03,BRK,,OKC,4th,2:41.0,BRK up 34 (112-78),S. Karasev misses 3-pt shot from 24 ft,BRK up 34 (112-78)
58,2014-11-03,BRK,,OKC,4th,2:01.0,BRK up 32 (112-80),B. Bogdanovic misses 3-pt shot from 22 ft,BRK up 32 (112-80)
59,2014-11-03,BRK,,OKC,4th,1:59.0,BRK up 32 (112-80),J. Jordan makes 2-pt shot from 2 ft,BRK up 34 (114-80)
60,2014-11-03,BRK,,OKC,4th,0:57.0,BRK up 32 (114-82),J. Gutierrez makes 2-pt shot from 7 ft,BRK up 34 (116-82)
61,2014-11-05,BRK,,MIN,1st,2:46.0,BRK down 11 (10-21),B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Johnson),BRK down 9 (12-21)
62,2014-11-05,BRK,,MIN,1st,2:09.0,BRK down 9 (12-21),B. Lopez makes 2-pt shot from 5 ft,BRK down 7 (14-21)
63,2014-11-05,BRK,,MIN,1st,1:52.0,BRK down 7 (14-21),B. Lopez makes 2-pt shot from 10 ft,BRK down 5 (16-21)
64,2014-11-05,BRK,,MIN,1st,0:59.0,BRK down 5 (16-21),B. Bogdanovic makes 3-pt shot from 23 ft (assist by A. Anderson),BRK down 2 (19-21)
65,2014-11-05,BRK,,MIN,1st,0:34.0,BRK down 5 (19-24),M. Plumlee makes 2-pt shot at rim (assist by J. Jack),BRK down 3 (21-24)
66,2014-11-05,BRK,,MIN,1st,0:01.0,BRK down 3 (21-24),B. Bogdanovic misses 3-pt shot from 23 ft,BRK down 3 (21-24)
67,2014-11-05,BRK,,MIN,2nd,2:43.0,BRK up 2 (43-41),B. Bogdanovic misses 2-pt shot from 3 ft (block by T. Young),BRK up 2 (43-41)
68,2014-11-05,BRK,,MIN,2nd,2:01.0,BRK down 1 (43-44),B. Bogdanovic misses 2-pt shot from 19 ft,BRK down 1 (43-44)
69,2014-11-05,BRK,,MIN,2nd,1:36.0,BRK down 1 (43-44),K. Garnett misses 2-pt shot from 18 ft,BRK down 1 (43-44)
