Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,CHI,@,NYK,1st,1:42.0,CHI down 4 (14-18),T. Gibson makes 2-pt shot from 13 ft (assist by M. Dunleavy),CHI down 2 (16-18)
2,2014-10-29,CHI,@,NYK,1st,1:08.0,CHI down 4 (16-20),A. Brooks makes 2-pt shot from 2 ft,CHI down 2 (18-20)
3,2014-10-29,CHI,@,NYK,1st,0:44.0,CHI down 2 (18-20),A. Brooks makes 3-pt shot from 25 ft (assist by D. McDermott),CHI up 1 (21-20)
4,2014-10-29,CHI,@,NYK,1st,0:18.0,CHI up 1 (21-20),T. Gibson misses 2-pt shot from 3 ft,CHI up 1 (21-20)
5,2014-10-29,CHI,@,NYK,1st,0:16.0,CHI up 1 (21-20),P. Gasol makes 2-pt shot from 2 ft,CHI up 3 (23-20)
6,2014-10-29,CHI,@,NYK,2nd,2:44.0,CHI up 15 (49-34),K. Hinrich misses 3-pt shot from 22 ft,CHI up 15 (49-34)
7,2014-10-29,CHI,@,NYK,2nd,2:41.0,CHI up 15 (49-34),T. Gibson misses 2-pt shot from 5 ft (block by S. Dalembert),CHI up 15 (49-34)
8,2014-10-29,CHI,@,NYK,2nd,2:13.0,CHI up 12 (49-37),D. Rose misses 3-pt shot from 25 ft,CHI up 12 (49-37)
9,2014-10-29,CHI,@,NYK,2nd,2:11.0,CHI up 12 (49-37),J. Noah misses 2-pt shot from 2 ft,CHI up 12 (49-37)
10,2014-10-29,CHI,@,NYK,2nd,1:26.0,CHI up 10 (51-41),M. Dunleavy misses 3-pt shot from 25 ft,CHI up 10 (51-41)
11,2014-10-29,CHI,@,NYK,2nd,1:01.0,CHI up 10 (51-41),D. Rose misses 2-pt shot from 2 ft,CHI up 10 (51-41)
12,2014-10-29,CHI,@,NYK,2nd,0:33.0,CHI up 8 (51-43),P. Gasol misses 2-pt shot from 8 ft (block by A. Stoudemire),CHI up 8 (51-43)
13,2014-10-29,CHI,@,NYK,2nd,0:04.0,CHI up 8 (51-43),K. Hinrich misses 2-pt shot from 4 ft,CHI up 8 (51-43)
14,2014-10-29,CHI,@,NYK,2nd,0:03.0,CHI up 8 (51-43),J. Noah misses 2-pt shot from 2 ft,CHI up 8 (51-43)
15,2014-10-29,CHI,@,NYK,2nd,0:00.0,CHI up 8 (51-43),P. Gasol makes 2-pt shot from 10 ft,CHI up 10 (53-43)
16,2014-10-29,CHI,@,NYK,3rd,2:18.0,CHI up 21 (78-57),K. Hinrich makes 3-pt shot from 26 ft (assist by M. Dunleavy),CHI up 24 (81-57)
