Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,CHO,,MIL,1st,2:29.0,CHO tied (20-20),G. Henderson misses 2-pt shot from 10 ft,CHO tied (20-20)
2,2014-10-29,CHO,,MIL,1st,2:08.0,CHO tied (20-20),K. Walker misses 2-pt shot from 2 ft (block by O. Mayo),CHO tied (20-20)
3,2014-10-29,CHO,,MIL,1st,1:16.0,CHO tied (20-20),K. Walker makes 2-pt shot from 19 ft (assist by G. Neal),CHO up 2 (22-20)
4,2014-10-29,CHO,,MIL,1st,0:02.0,CHO up 1 (25-24),K. Walker misses 3-pt shot from 26 ft,CHO up 1 (25-24)
5,2014-10-29,CHO,,MIL,2nd,2:55.0,CHO down 13 (35-48),A. Jefferson makes 2-pt shot from 15 ft (assist by M. Williams),CHO down 11 (37-48)
6,2014-10-29,CHO,,MIL,2nd,2:17.0,CHO down 14 (37-51),A. Jefferson misses 2-pt shot from 16 ft,CHO down 14 (37-51)
7,2014-10-29,CHO,,MIL,2nd,1:44.0,CHO down 14 (37-51),A. Jefferson makes 2-pt shot from 2 ft,CHO down 12 (39-51)
8,2014-10-29,CHO,,MIL,2nd,1:05.0,CHO down 13 (40-53),K. Walker makes 3-pt shot from 26 ft (assist by M. Williams),CHO down 10 (43-53)
9,2014-10-29,CHO,,MIL,2nd,0:48.0,CHO down 10 (43-53),M. Kidd-Gilchrist makes 2-pt shot at rim (assist by L. Stephenson),CHO down 8 (45-53)
10,2014-10-29,CHO,,MIL,2nd,0:00.0,CHO down 11 (46-57),K. Walker misses 2-pt shot from 11 ft,CHO down 11 (46-57)
11,2014-10-29,CHO,,MIL,3rd,2:35.0,CHO down 18 (61-79),A. Jefferson misses 2-pt shot from 12 ft,CHO down 18 (61-79)
12,2014-10-29,CHO,,MIL,3rd,2:07.0,CHO down 18 (61-79),A. Jefferson makes 2-pt shot from 7 ft,CHO down 16 (63-79)
13,2014-10-29,CHO,,MIL,3rd,1:33.0,CHO down 18 (63-81),G. Neal misses 2-pt shot from 18 ft,CHO down 18 (63-81)
14,2014-10-29,CHO,,MIL,3rd,1:00.0,CHO down 16 (65-81),L. Stephenson misses 2-pt shot from 16 ft,CHO down 16 (65-81)
15,2014-10-29,CHO,,MIL,3rd,0:36.0,CHO down 16 (65-81),C. Zeller misses 2-pt shot from 19 ft,CHO down 16 (65-81)
16,2014-10-29,CHO,,MIL,3rd,0:03.0,CHO down 18 (65-83),K. Walker makes 2-pt shot from 2 ft,CHO down 16 (67-83)
17,2014-10-29,CHO,,MIL,4th,2:58.0,CHO down 7 (88-95),K. Walker misses 2-pt shot from 1 ft (block by L. Sanders),CHO down 7 (88-95)
18,2014-10-29,CHO,,MIL,4th,2:26.0,CHO down 7 (88-95),G. Neal misses 3-pt shot from 24 ft,CHO down 7 (88-95)
19,2014-10-29,CHO,,MIL,4th,1:47.0,CHO down 6 (89-95),A. Jefferson makes 2-pt shot from 5 ft,CHO down 4 (91-95)
20,2014-10-29,CHO,,MIL,4th,1:08.0,CHO down 6 (91-97),L. Stephenson misses 2-pt shot from 11 ft,CHO down 6 (91-97)
21,2014-10-29,CHO,,MIL,4th,1:04.0,CHO down 6 (91-97),M. Williams makes 3-pt shot from 26 ft (assist by K. Walker),CHO down 3 (94-97)
22,2014-10-29,CHO,,MIL,4th,0:44.0,CHO down 3 (94-97),G. Neal misses 2-pt shot from 9 ft,CHO down 3 (94-97)
23,2014-10-29,CHO,,MIL,4th,0:09.0,CHO down 4 (95-99),K. Walker makes 2-pt shot from 1 ft,CHO down 2 (97-99)
24,2014-10-29,CHO,,MIL,4th,0:02.0,CHO down 3 (97-100),K. Walker makes 3-pt shot from 26 ft,CHO tied (100-100)
25,2014-10-29,CHO,,MIL,4th,0:00.0,CHO tied (100-100),M. Williams misses 3-pt shot from 56 ft,CHO tied (100-100)
26,2014-10-29,CHO,,MIL,OT,2:30.0,CHO tied (102-102),K. Walker misses 2-pt shot from 18 ft (block by B. Knight),CHO tied (102-102)
27,2014-10-29,CHO,,MIL,OT,2:03.0,CHO down 2 (102-104),M. Williams makes 2-pt shot from 20 ft (assist by K. Walker),CHO tied (104-104)
28,2014-10-29,CHO,,MIL,OT,1:23.0,CHO down 2 (104-106),K. Walker misses 2-pt shot from 21 ft,CHO down 2 (104-106)
29,2014-10-29,CHO,,MIL,OT,0:45.0,CHO down 2 (104-106),G. Neal makes 2-pt shot from 2 ft,CHO tied (106-106)
30,2014-10-29,CHO,,MIL,OT,0:05.0,CHO tied (106-106),K. Walker makes 2-pt shot from 21 ft,CHO up 2 (108-106)
31,2014-11-01,CHO,,MEM,1st,2:46.0,CHO down 6 (11-17),C. Zeller misses 2-pt shot from 16 ft,CHO down 6 (11-17)
32,2014-11-01,CHO,,MEM,1st,2:25.0,CHO down 6 (11-17),K. Walker misses 2-pt shot from 14 ft,CHO down 6 (11-17)
33,2014-11-01,CHO,,MEM,1st,2:17.0,CHO down 6 (11-17),G. Neal misses 2-pt shot from 17 ft,CHO down 6 (11-17)
34,2014-11-01,CHO,,MEM,1st,1:12.0,CHO down 8 (11-19),C. Zeller misses 2-pt shot from 2 ft,CHO down 8 (11-19)
