Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,DEN,,DET,1st,2:56.0,DEN up 1 (18-17),J. Nurkic misses 2-pt shot from 3 ft,DEN up 1 (18-17)
2,2014-10-29,DEN,,DET,1st,2:35.0,DEN up 1 (18-17),W. Chandler makes 3-pt shot from 26 ft,DEN up 4 (21-17)
3,2014-10-29,DEN,,DET,1st,2:00.0,DEN up 2 (21-19),D. Arthur misses 2-pt shot from 20 ft,DEN up 2 (21-19)
4,2014-10-29,DEN,,DET,1st,1:49.0,DEN up 2 (21-19),A. Afflalo makes 2-pt shot from 2 ft,DEN up 4 (23-19)
5,2014-10-29,DEN,,DET,1st,0:42.0,DEN up 4 (23-19),D. Arthur misses 3-pt shot from 25 ft,DEN up 4 (23-19)
6,2014-10-29,DEN,,DET,1st,0:05.0,DEN up 2 (23-21),R. Foye misses 2-pt shot from 18 ft,DEN up 2 (23-21)
7,2014-10-29,DEN,,DET,2nd,2:50.0,DEN down 3 (35-38),T. Mozgov makes 2-pt shot at rim (assist by K. Faried),DEN down 1 (37-38)
8,2014-10-29,DEN,,DET,2nd,1:49.0,DEN down 1 (37-38),A. Afflalo misses 3-pt shot from 26 ft,DEN down 1 (37-38)
9,2014-10-29,DEN,,DET,2nd,1:00.0,DEN tied (38-38),K. Faried makes 2-pt shot from 19 ft,DEN up 2 (40-38)
10,2014-10-29,DEN,,DET,2nd,0:31.0,DEN up 2 (40-38),D. Gallinari misses 2-pt shot from 18 ft,DEN up 2 (40-38)
11,2014-10-29,DEN,,DET,2nd,0:07.0,DEN tied (40-40),T. Lawson makes 2-pt shot from 17 ft,DEN up 2 (42-40)
12,2014-10-29,DEN,,DET,3rd,2:46.0,DEN up 1 (60-59),A. Afflalo makes 2-pt shot from 21 ft (assist by T. Lawson),DEN up 3 (62-59)
13,2014-10-29,DEN,,DET,3rd,1:31.0,DEN up 5 (64-59),T. Lawson misses 3-pt shot from 26 ft,DEN up 5 (64-59)
14,2014-10-29,DEN,,DET,3rd,1:08.0,DEN up 3 (64-61),A. Afflalo misses 3-pt shot from 26 ft,DEN up 3 (64-61)
15,2014-10-29,DEN,,DET,3rd,0:52.0,DEN up 3 (64-61),A. Afflalo misses 2-pt shot from 3 ft (block by J. Anthony),DEN up 3 (64-61)
16,2014-10-29,DEN,,DET,3rd,0:02.0,DEN up 1 (64-63),D. Arthur misses 2-pt shot from 19 ft,DEN up 1 (64-63)
17,2014-10-29,DEN,,DET,4th,2:17.0,DEN up 4 (81-77),T. Mozgov misses 2-pt shot from 14 ft,DEN up 4 (81-77)
18,2014-10-29,DEN,,DET,4th,1:25.0,DEN up 5 (82-77),A. Afflalo misses 2-pt shot from 3 ft,DEN up 5 (82-77)
19,2014-10-29,DEN,,DET,4th,1:25.0,DEN up 5 (82-77),T. Mozgov makes 2-pt shot from 2 ft,DEN up 7 (84-77)
20,2014-10-29,DEN,,DET,4th,1:12.0,DEN up 7 (84-77),A. Gee misses 2-pt shot from 3 ft (block by J. Smith),DEN up 7 (84-77)
21,2014-11-01,DEN,@,OKC,1st,2:52.0,DEN down 9 (15-24),W. Chandler misses 2-pt shot from 20 ft,DEN down 9 (15-24)
22,2014-11-01,DEN,@,OKC,1st,2:16.0,DEN down 9 (15-24),T. Lawson misses 2-pt shot from 17 ft,DEN down 9 (15-24)
23,2014-11-01,DEN,@,OKC,1st,1:40.0,DEN down 9 (15-24),J. Nurkic makes 2-pt shot from 1 ft,DEN down 7 (17-24)
24,2014-11-01,DEN,@,OKC,1st,1:16.0,DEN down 8 (17-25),D. Arthur misses 3-pt shot from 23 ft,DEN down 8 (17-25)
25,2014-11-01,DEN,@,OKC,1st,0:59.0,DEN down 10 (17-27),W. Chandler misses 2-pt shot from 4 ft,DEN down 10 (17-27)
26,2014-11-01,DEN,@,OKC,1st,0:36.0,DEN down 11 (17-28),R. Foye misses 2-pt shot from 18 ft,DEN down 11 (17-28)
27,2014-11-01,DEN,@,OKC,1st,0:02.0,DEN down 12 (17-29),J. Nurkic misses 2-pt shot from 4 ft,DEN down 12 (17-29)
28,2014-11-01,DEN,@,OKC,2nd,2:28.0,DEN down 24 (28-52),A. Afflalo misses 2-pt shot from 3 ft (block by S. Ibaka),DEN down 24 (28-52)
29,2014-11-01,DEN,@,OKC,2nd,1:43.0,DEN down 26 (28-54),D. Gallinari misses 2-pt shot from 16 ft,DEN down 26 (28-54)
30,2014-11-01,DEN,@,OKC,2nd,0:46.0,DEN down 25 (29-54),K. Faried makes 2-pt shot at rim (assist by D. Gallinari),DEN down 23 (31-54)
31,2014-11-01,DEN,@,OKC,2nd,0:28.0,DEN down 24 (31-55),T. Lawson makes 2-pt shot from 15 ft,DEN down 22 (33-55)
32,2014-11-01,DEN,@,OKC,3rd,2:59.0,DEN down 19 (49-68),A. Afflalo misses 3-pt shot from 23 ft,DEN down 19 (49-68)
33,2014-11-01,DEN,@,OKC,3rd,2:26.0,DEN down 22 (49-71),R. Foye makes 3-pt shot from 25 ft (assist by W. Chandler),DEN down 19 (52-71)
34,2014-11-01,DEN,@,OKC,3rd,1:34.0,DEN down 19 (52-71),W. Chandler misses 3-pt shot from 25 ft,DEN down 19 (52-71)
35,2014-11-01,DEN,@,OKC,3rd,1:24.0,DEN down 19 (52-71),A. Afflalo makes 3-pt shot from 24 ft (assist by W. Chandler),DEN down 16 (55-71)
36,2014-11-01,DEN,@,OKC,3rd,0:54.0,DEN down 18 (55-73),J. McGee misses 2-pt shot from 14 ft,DEN down 18 (55-73)
37,2014-11-01,DEN,@,OKC,3rd,0:19.0,DEN down 19 (56-75),R. Foye misses 3-pt shot from 25 ft,DEN down 19 (56-75)
38,2014-11-01,DEN,@,OKC,4th,2:53.0,DEN down 5 (83-88),R. Foye makes 2-pt shot at rim,DEN down 3 (85-88)
39,2014-11-01,DEN,@,OKC,4th,2:14.0,DEN down 6 (85-91),T. Lawson makes 2-pt shot from 15 ft,DEN down 4 (87-91)
40,2014-11-01,DEN,@,OKC,4th,1:36.0,DEN down 7 (87-94),A. Afflalo misses 3-pt shot from 23 ft,DEN down 7 (87-94)
41,2014-11-01,DEN,@,OKC,4th,1:21.0,DEN down 9 (87-96),W. Chandler makes 2-pt shot from 2 ft,DEN down 7 (89-96)
42,2014-11-01,DEN,@,OKC,4th,0:56.0,DEN down 9 (89-98),W. Chandler misses 3-pt shot from 25 ft,DEN down 9 (89-98)
43,2014-11-01,DEN,@,OKC,4th,0:27.0,DEN down 9 (89-98),J. McGee makes 2-pt shot at rim (assist by A. Afflalo),DEN down 7 (91-98)
44,2014-11-01,DEN,@,OKC,4th,0:14.0,DEN down 9 (91-100),A. Afflalo misses 3-pt shot from 25 ft,DEN down 9 (91-100)
45,2014-11-01,DEN,@,OKC,4th,0:05.0,DEN down 11 (91-102),T. Lawson misses 3-pt shot from 25 ft,DEN down 11 (91-102)
46,2014-11-03,DEN,,SAC,1st,2:24.0,DEN down 4 (13-17),A. Afflalo makes 2-pt shot from 4 ft (assist by T. Lawson),DEN down 2 (15-17)
47,2014-11-03,DEN,,SAC,1st,1:57.0,DEN down 3 (16-19),A. Afflalo misses 2-pt shot from 13 ft,DEN down 3 (16-19)
48,2014-11-03,DEN,,SAC,1st,1:33.0,DEN down 3 (16-19),J. Nurkic misses 2-pt shot from 6 ft,DEN down 3 (16-19)
49,2014-11-03,DEN,,SAC,1st,1:27.0,DEN down 3 (16-19),J. Nurkic makes 2-pt shot from 1 ft,DEN down 1 (18-19)
50,2014-11-03,DEN,,SAC,1st,0:45.0,DEN up 1 (20-19),D. Arthur makes 2-pt shot from 7 ft (assist by T. Lawson),DEN up 3 (22-19)
51,2014-11-03,DEN,,SAC,1st,0:21.0,DEN up 3 (22-19),D. Gallinari misses 2-pt shot from 17 ft,DEN up 3 (22-19)
52,2014-11-03,DEN,,SAC,2nd,2:42.0,DEN down 5 (38-43),T. Mozgov makes 2-pt shot from 16 ft (assist by T. Lawson),DEN down 3 (40-43)
53,2014-11-03,DEN,,SAC,2nd,1:22.0,DEN down 5 (42-47),A. Gee misses 2-pt shot from 4 ft (block by O. Casspi),DEN down 5 (42-47)
54,2014-11-03,DEN,,SAC,2nd,1:16.0,DEN down 5 (42-47),A. Gee makes 2-pt shot at rim,DEN down 3 (44-47)
55,2014-11-03,DEN,,SAC,2nd,1:09.0,DEN down 3 (44-47),J. Nurkic misses 2-pt shot from 3 ft (block by D. Cousins),DEN down 3 (44-47)
56,2014-11-03,DEN,,SAC,2nd,0:01.0,DEN down 5 (46-51),K. Faried misses 2-pt shot from 5 ft,DEN down 5 (46-51)
57,2014-11-03,DEN,,SAC,3rd,2:58.0,DEN down 1 (72-73),R. Foye misses 2-pt shot from 14 ft,DEN down 1 (72-73)
58,2014-11-03,DEN,,SAC,3rd,1:39.0,DEN up 2 (75-73),K. Faried misses 2-pt shot from 2 ft,DEN up 2 (75-73)
59,2014-11-03,DEN,,SAC,3rd,1:13.0,DEN tied (75-75),D. Gallinari misses 3-pt shot from 23 ft,DEN tied (75-75)
60,2014-11-03,DEN,,SAC,3rd,1:00.0,DEN tied (75-75),D. Gallinari misses 3-pt shot from 26 ft,DEN tied (75-75)
61,2014-11-03,DEN,,SAC,3rd,0:24.0,DEN down 4 (75-79),T. Lawson makes 2-pt shot from 2 ft,DEN down 2 (77-79)
