Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-28,LAL,,HOU,1st,2:50.0,LAL down 8 (14-22),R. Price misses 2-pt shot from 22 ft,LAL down 8 (14-22)
2,2014-10-28,LAL,,HOU,1st,1:00.0,LAL down 6 (19-25),J. Randle misses 2-pt shot from 2 ft,LAL down 6 (19-25)
3,2014-10-28,LAL,,HOU,1st,0:30.0,LAL down 9 (19-28),J. Clarkson misses 2-pt shot from 18 ft,LAL down 9 (19-28)
4,2014-10-28,LAL,,HOU,1st,0:00.0,LAL down 12 (19-31),R. Price misses 2-pt shot from 2 ft (block by D. Howard),LAL down 12 (19-31)
5,2014-10-28,LAL,,HOU,2nd,1:51.0,LAL down 13 (40-53),W. Johnson misses 2-pt shot from 17 ft,LAL down 13 (40-53)
6,2014-10-28,LAL,,HOU,2nd,1:46.0,LAL down 13 (40-53),J. Hill misses 2-pt shot from 5 ft,LAL down 13 (40-53)
7,2014-10-28,LAL,,HOU,2nd,0:37.0,LAL down 14 (43-57),K. Bryant makes 2-pt shot from 8 ft,LAL down 12 (45-57)
8,2014-10-28,LAL,,HOU,2nd,0:07.0,LAL down 15 (45-60),K. Bryant misses 2-pt shot from 9 ft (block by T. Jones),LAL down 15 (45-60)
9,2014-10-28,LAL,,HOU,3rd,2:43.0,LAL down 11 (67-78),E. Davis misses 2-pt shot from 6 ft,LAL down 11 (67-78)
10,2014-10-28,LAL,,HOU,3rd,1:18.0,LAL down 14 (69-83),J. Lin misses 2-pt shot from 1 ft,LAL down 14 (69-83)
11,2014-10-28,LAL,,HOU,3rd,0:48.0,LAL down 16 (69-85),X. Henry misses 2-pt shot from 19 ft,LAL down 16 (69-85)
12,2014-10-28,LAL,,HOU,3rd,0:01.0,LAL down 16 (69-85),X. Henry misses 2-pt shot from 1 ft,LAL down 16 (69-85)
13,2014-10-28,LAL,,HOU,4th,2:26.0,LAL down 23 (83-106),W. Johnson misses 2-pt shot from 18 ft,LAL down 23 (83-106)
14,2014-10-28,LAL,,HOU,4th,2:09.0,LAL down 25 (83-108),R. Sacre misses 2-pt shot from 19 ft,LAL down 25 (83-108)
15,2014-10-28,LAL,,HOU,4th,0:36.0,LAL down 20 (88-108),W. Johnson makes 2-pt shot from 22 ft,LAL down 18 (90-108)
16,2014-10-28,LAL,,HOU,4th,0:08.0,LAL down 18 (90-108),W. Johnson misses 3-pt shot from 26 ft,LAL down 18 (90-108)
17,2014-10-29,LAL,@,PHO,1st,1:03.0,LAL down 15 (15-30),R. Price misses 3-pt shot from 24 ft,LAL down 15 (15-30)
18,2014-10-29,LAL,@,PHO,1st,0:40.0,LAL down 18 (15-33),C. Boozer makes 2-pt shot from 17 ft (assist by E. Davis),LAL down 16 (17-33)
19,2014-10-29,LAL,@,PHO,1st,0:20.0,LAL down 16 (17-33),W. Johnson misses 2-pt shot from 12 ft,LAL down 16 (17-33)
20,2014-10-29,LAL,@,PHO,1st,0:17.0,LAL down 16 (17-33),E. Davis makes 2-pt shot from 2 ft,LAL down 14 (19-33)
21,2014-10-29,LAL,@,PHO,2nd,2:22.0,LAL down 10 (44-54),K. Bryant misses 2-pt shot from 21 ft,LAL down 10 (44-54)
22,2014-10-29,LAL,@,PHO,2nd,2:05.0,LAL down 10 (44-54),K. Bryant makes 2-pt shot from 1 ft,LAL down 8 (46-54)
23,2014-10-29,LAL,@,PHO,2nd,0:55.0,LAL down 11 (46-57),K. Bryant misses 2-pt shot from 1 ft,LAL down 11 (46-57)
24,2014-10-29,LAL,@,PHO,2nd,0:54.0,LAL down 11 (46-57),E. Davis makes 2-pt shot at rim,LAL down 9 (48-57)
25,2014-10-29,LAL,@,PHO,2nd,0:23.0,LAL down 11 (48-59),J. Lin makes 2-pt shot from 1 ft,LAL down 9 (50-59)
26,2014-10-29,LAL,@,PHO,2nd,0:00.0,LAL down 9 (50-59),J. Lin misses 3-pt shot from 26 ft,LAL down 9 (50-59)
27,2014-10-29,LAL,@,PHO,3rd,2:56.0,LAL down 25 (66-91),K. Bryant misses 2-pt shot from 11 ft,LAL down 25 (66-91)
28,2014-10-29,LAL,@,PHO,3rd,2:18.0,LAL down 29 (66-95),W. Johnson makes 2-pt shot from 22 ft (assist by K. Bryant),LAL down 27 (68-95)
29,2014-10-29,LAL,@,PHO,3rd,1:39.0,LAL down 26 (69-95),E. Davis misses 2-pt shot from 7 ft,LAL down 26 (69-95)
30,2014-10-29,LAL,@,PHO,3rd,0:54.0,LAL down 28 (69-97),K. Bryant makes 2-pt shot from 6 ft,LAL down 26 (71-97)
31,2014-10-29,LAL,@,PHO,3rd,0:33.0,LAL down 26 (72-98),K. Bryant misses 2-pt shot from 9 ft,LAL down 26 (72-98)
32,2014-10-29,LAL,@,PHO,3rd,0:23.0,LAL down 25 (73-98),W. Johnson misses 3-pt shot from 24 ft,LAL down 25 (73-98)
33,2014-10-29,LAL,@,PHO,4th,1:48.0,LAL down 24 (93-117),R. Sacre makes 2-pt shot from 12 ft (assist by J. Clarkson),LAL down 22 (95-117)
34,2014-10-29,LAL,@,PHO,4th,1:17.0,LAL down 24 (95-119),W. Ellington makes 2-pt shot from 15 ft (assist by R. Sacre),LAL down 22 (97-119)
35,2014-10-29,LAL,@,PHO,4th,0:51.0,LAL down 22 (97-119),E. Davis makes 2-pt shot from 5 ft (assist by R. Price),LAL down 20 (99-119)
