Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-28,NOP,,ORL,1st,2:31.0,NOP down 3 (18-21),J. Fredette misses 3-pt shot from 25 ft,NOP down 3 (18-21)
2,2014-10-28,NOP,,ORL,1st,2:09.0,NOP down 5 (18-23),R. Anderson misses 2-pt shot from 16 ft,NOP down 5 (18-23)
3,2014-10-28,NOP,,ORL,1st,1:52.0,NOP down 5 (18-23),O. Asik makes 2-pt shot from 1 ft (assist by J. Fredette),NOP down 3 (20-23)
4,2014-10-28,NOP,,ORL,1st,1:20.0,NOP down 5 (20-25),J. Fredette misses 2-pt shot from 20 ft (block by A. Gordon),NOP down 5 (20-25)
5,2014-10-28,NOP,,ORL,1st,1:15.0,NOP down 5 (20-25),R. Anderson misses 2-pt shot from 16 ft,NOP down 5 (20-25)
6,2014-10-28,NOP,,ORL,1st,1:13.0,NOP down 5 (20-25),O. Asik makes 2-pt shot at rim,NOP down 3 (22-25)
7,2014-10-28,NOP,,ORL,1st,0:00.0,NOP down 3 (22-25),A. Rivers makes 2-pt shot from 5 ft (assist by T. Evans),NOP down 1 (24-25)
8,2014-10-28,NOP,,ORL,2nd,2:31.0,NOP up 4 (42-38),E. Gordon misses 2-pt shot from 20 ft,NOP up 4 (42-38)
9,2014-10-28,NOP,,ORL,2nd,2:30.0,NOP up 4 (42-38),R. Anderson makes 2-pt shot from 2 ft,NOP up 6 (44-38)
10,2014-10-28,NOP,,ORL,2nd,1:57.0,NOP up 6 (44-38),R. Anderson misses 3-pt shot from 24 ft,NOP up 6 (44-38)
11,2014-10-28,NOP,,ORL,2nd,0:55.0,NOP up 5 (44-39),T. Evans makes 2-pt shot from 2 ft,NOP up 7 (46-39)
12,2014-10-28,NOP,,ORL,2nd,0:02.0,NOP up 5 (46-41),T. Evans misses 2-pt shot from 8 ft,NOP up 5 (46-41)
13,2014-10-28,NOP,,ORL,2nd,0:02.0,NOP up 5 (46-41),A. Davis makes 2-pt shot at rim,NOP up 7 (48-41)
14,2014-10-28,NOP,,ORL,3rd,2:37.0,NOP up 2 (63-61),J. Fredette misses 3-pt shot from 27 ft,NOP up 2 (63-61)
15,2014-10-28,NOP,,ORL,3rd,2:07.0,NOP up 2 (63-61),J. Fredette misses 2-pt shot from 7 ft,NOP up 2 (63-61)
16,2014-10-28,NOP,,ORL,3rd,1:39.0,NOP up 3 (64-61),R. Anderson makes 2-pt shot from 2 ft (assist by J. Fredette),NOP up 5 (66-61)
17,2014-10-28,NOP,,ORL,3rd,1:11.0,NOP up 3 (67-64),A. Davis makes 2-pt shot from 20 ft,NOP up 5 (69-64)
18,2014-10-28,NOP,,ORL,3rd,0:45.0,NOP up 5 (69-64),R. Anderson makes 3-pt shot from 24 ft (assist by A. Rivers),NOP up 8 (72-64)
19,2014-10-28,NOP,,ORL,3rd,0:27.0,NOP up 8 (72-64),R. Anderson makes 3-pt shot from 25 ft (assist by J. Salmons),NOP up 11 (75-64)
20,2014-10-28,NOP,,ORL,3rd,0:01.0,NOP up 11 (75-64),R. Anderson makes 3-pt shot from 25 ft (assist by A. Rivers),NOP up 14 (78-64)
21,2014-10-28,NOP,,ORL,4th,2:59.0,NOP up 19 (93-74),J. Holiday makes 2-pt shot from 3 ft (assist by T. Evans),NOP up 21 (95-74)
22,2014-10-28,NOP,,ORL,4th,2:38.0,NOP up 21 (95-74),T. Evans misses 2-pt shot from 2 ft,NOP up 21 (95-74)
23,2014-10-28,NOP,,ORL,4th,2:36.0,NOP up 21 (95-74),O. Asik makes 2-pt shot from 3 ft,NOP up 23 (97-74)
24,2014-10-28,NOP,,ORL,4th,1:36.0,NOP up 19 (97-78),A. Ajinca makes 2-pt shot from 14 ft (assist by A. Rivers),NOP up 21 (99-78)
