Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,NYK,,CHI,1st,2:35.0,NYK up 3 (16-13),J. Smith makes 2-pt shot from 20 ft,NYK up 5 (18-13)
2,2014-10-29,NYK,,CHI,1st,1:56.0,NYK up 4 (18-14),J. Smith misses 2-pt shot from 19 ft,NYK up 4 (18-14)
3,2014-10-29,NYK,,CHI,1st,1:22.0,NYK up 2 (18-16),Q. Acy makes 2-pt shot from 19 ft (assist by T. Hardaway),NYK up 4 (20-16)
4,2014-10-29,NYK,,CHI,1st,0:54.0,NYK up 2 (20-18),T. Hardaway misses 2-pt shot from 20 ft,NYK up 2 (20-18)
5,2014-10-29,NYK,,CHI,1st,0:32.0,NYK down 1 (20-21),Q. Acy misses 2-pt shot from 16 ft,NYK down 1 (20-21)
6,2014-10-29,NYK,,CHI,1st,0:00.0,NYK down 4 (20-24),J. Smith misses 3-pt shot from 25 ft,NYK down 4 (20-24)
7,2014-10-29,NYK,,CHI,2nd,2:30.0,NYK down 15 (34-49),I. Shumpert makes 3-pt shot from 25 ft (assist by S. Larkin),NYK down 12 (37-49)
8,2014-10-29,NYK,,CHI,2nd,2:02.0,NYK down 12 (37-49),S. Dalembert makes 2-pt shot at rim (assist by C. Anthony),NYK down 10 (39-49)
9,2014-10-29,NYK,,CHI,2nd,1:08.0,NYK down 10 (41-51),I. Shumpert misses 2-pt shot from 19 ft,NYK down 10 (41-51)
10,2014-10-29,NYK,,CHI,2nd,0:44.0,NYK down 10 (41-51),I. Shumpert misses 2-pt shot from 5 ft,NYK down 10 (41-51)
11,2014-10-29,NYK,,CHI,3rd,2:28.0,NYK down 21 (57-78),C. Anthony misses 2-pt shot from 11 ft,NYK down 21 (57-78)
12,2014-10-29,NYK,,CHI,3rd,1:35.0,NYK down 23 (58-81),P. Prigioni misses 3-pt shot from 25 ft,NYK down 23 (58-81)
13,2014-10-29,NYK,,CHI,3rd,1:16.0,NYK down 23 (58-81),J. Smith makes 2-pt shot from 13 ft,NYK down 21 (60-81)
14,2014-10-29,NYK,,CHI,3rd,0:23.0,NYK down 23 (60-83),J. Smith misses 2-pt shot from 15 ft,NYK down 23 (60-83)
15,2014-10-29,NYK,,CHI,3rd,0:18.0,NYK down 23 (60-83),P. Prigioni misses 3-pt shot from 24 ft,NYK down 23 (60-83)
16,2014-10-29,NYK,,CHI,3rd,0:00.0,NYK down 24 (60-84),J. Smith misses 2-pt shot from 5 ft,NYK down 24 (60-84)
17,2014-10-29,NYK,,CHI,4th,2:27.0,NYK down 29 (73-102),T. Hardaway misses 3-pt shot from 29 ft,NYK down 29 (73-102)
18,2014-10-29,NYK,,CHI,4th,2:21.0,NYK down 29 (73-102),I. Shumpert misses 2-pt shot from 17 ft,NYK down 29 (73-102)
19,2014-10-29,NYK,,CHI,4th,1:49.0,NYK down 31 (73-104),T. Hardaway makes 3-pt shot from 25 ft (assist by C. Aldrich),NYK down 28 (76-104)
20,2014-10-29,NYK,,CHI,4th,1:27.0,NYK down 28 (76-104),C. Early makes 2-pt shot from 2 ft,NYK down 26 (78-104)
21,2014-10-29,NYK,,CHI,4th,1:01.0,NYK down 26 (78-104),T. Hardaway misses 3-pt shot from 25 ft,NYK down 26 (78-104)
22,2014-10-29,NYK,,CHI,4th,0:23.0,NYK down 26 (78-104),T. Wear makes 2-pt shot from 20 ft,NYK down 24 (80-104)
23,2014-10-30,NYK,@,CLE,1st,2:49.0,NYK down 9 (12-21),C. Anthony misses 2-pt shot from 15 ft,NYK down 9 (12-21)
24,2014-10-30,NYK,@,CLE,1st,2:14.0,NYK down 9 (12-21),J. Smith makes 2-pt shot from 19 ft (assist by J. Smith),NYK down 7 (14-21)
25,2014-10-30,NYK,@,CLE,1st,1:40.0,NYK down 7 (14-21),J. Smith makes 2-pt shot from 19 ft (assist by J. Smith),NYK down 5 (16-21)
26,2014-10-30,NYK,@,CLE,1st,0:13.0,NYK down 7 (18-25),P. Prigioni misses 3-pt shot from 24 ft,NYK down 7 (18-25)
27,2014-10-30,NYK,@,CLE,2nd,2:47.0,NYK down 3 (35-38),J. Smith makes 3-pt shot from 25 ft (assist by T. Wear),NYK tied (38-38)
28,2014-10-30,NYK,@,CLE,2nd,2:08.0,NYK down 2 (38-40),S. Larkin makes 2-pt shot from 18 ft (assist by J. Smith),NYK tied (40-40)
29,2014-10-30,NYK,@,CLE,2nd,1:36.0,NYK tied (40-40),A. Stoudemire misses 2-pt shot from 2 ft,NYK tied (40-40)
30,2014-10-30,NYK,@,CLE,2nd,0:55.0,NYK tied (40-40),A. Stoudemire makes 2-pt shot from 19 ft (assist by J. Smith),NYK up 2 (42-40)
31,2014-10-30,NYK,@,CLE,3rd,2:39.0,NYK up 3 (63-60),J. Smith makes 2-pt shot from 19 ft (assist by J. Smith),NYK up 5 (65-60)
32,2014-10-30,NYK,@,CLE,3rd,2:12.0,NYK up 5 (65-60),C. Anthony makes 2-pt shot at rim (assist by A. Stoudemire),NYK up 7 (67-60)
33,2014-10-30,NYK,@,CLE,3rd,0:47.0,NYK up 5 (67-62),P. Prigioni misses 2-pt shot from 19 ft,NYK up 5 (67-62)
34,2014-10-30,NYK,@,CLE,4th,2:31.0,NYK up 6 (86-80),I. Shumpert makes 2-pt shot from 19 ft (assist by S. Larkin),NYK up 8 (88-80)
35,2014-10-30,NYK,@,CLE,4th,1:18.0,NYK up 3 (88-85),J. Smith misses 2-pt shot from 15 ft,NYK up 3 (88-85)
36,2014-10-30,NYK,@,CLE,4th,0:48.0,NYK up 3 (88-85),J. Smith makes 2-pt shot from 7 ft (assist by P. Prigioni),NYK up 5 (90-85)
37,2014-10-30,NYK,@,CLE,4th,0:26.0,NYK up 3 (90-87),C. Anthony makes 2-pt shot from 17 ft,NYK up 5 (92-87)
38,2014-11-02,NYK,,CHO,1st,2:43.0,NYK up 8 (24-16),J. Smith misses 3-pt shot from 25 ft,NYK up 8 (24-16)
39,2014-11-02,NYK,,CHO,1st,1:54.0,NYK up 9 (25-16),A. Stoudemire misses 2-pt shot from 4 ft,NYK up 9 (25-16)
40,2014-11-02,NYK,,CHO,1st,1:52.0,NYK up 9 (25-16),A. Stoudemire makes 2-pt shot from 4 ft,NYK up 11 (27-16)
41,2014-11-02,NYK,,CHO,1st,1:10.0,NYK up 9 (27-18),T. Hardaway misses 3-pt shot from 29 ft,NYK up 9 (27-18)
42,2014-11-02,NYK,,CHO,1st,0:38.0,NYK up 9 (27-18),J. Smith makes 2-pt shot from 20 ft (assist by J. Smith),NYK up 11 (29-18)
43,2014-11-02,NYK,,CHO,1st,0:08.0,NYK up 8 (29-21),A. Stoudemire misses 2-pt shot from 1 ft (block by C. Zeller),NYK up 8 (29-21)
44,2014-11-02,NYK,,CHO,2nd,2:08.0,NYK up 9 (48-39),S. Larkin makes 2-pt shot from 15 ft,NYK up 11 (50-39)
45,2014-11-02,NYK,,CHO,2nd,1:16.0,NYK up 7 (50-43),S. Larkin misses 2-pt shot from 21 ft,NYK up 7 (50-43)
46,2014-11-02,NYK,,CHO,2nd,0:50.0,NYK up 4 (50-46),J. Smith makes 2-pt shot from 15 ft (assist by S. Larkin),NYK up 6 (52-46)
47,2014-11-02,NYK,,CHO,2nd,0:36.0,NYK up 4 (52-48),J. Smith misses 2-pt shot from 22 ft,NYK up 4 (52-48)
48,2014-11-02,NYK,,CHO,2nd,0:03.0,NYK up 2 (52-50),J. Smith misses 2-pt shot from 11 ft,NYK up 2 (52-50)
49,2014-11-02,NYK,,CHO,3rd,1:41.0,NYK down 2 (71-73),A. Stoudemire makes 2-pt shot from 2 ft (assist by P. Prigioni),NYK tied (73-73)
50,2014-11-02,NYK,,CHO,3rd,1:09.0,NYK down 3 (73-76),T. Hardaway makes 2-pt shot from 20 ft (assist by J. Smith),NYK down 1 (75-76)
51,2014-11-02,NYK,,CHO,3rd,0:05.0,NYK down 1 (77-78),J. Smith makes 2-pt shot from 21 ft (assist by P. Prigioni),NYK up 1 (79-78)
52,2014-11-02,NYK,,CHO,4th,2:37.0,NYK down 3 (90-93),C. Anthony misses 2-pt shot from 16 ft,NYK down 3 (90-93)
53,2014-11-02,NYK,,CHO,4th,2:06.0,NYK down 3 (90-93),I. Shumpert makes 3-pt shot from 25 ft (assist by P. Prigioni),NYK tied (93-93)
54,2014-11-02,NYK,,CHO,4th,1:24.0,NYK tied (93-93),C. Anthony makes 2-pt shot from 15 ft,NYK up 2 (95-93)
55,2014-11-02,NYK,,CHO,4th,0:38.0,NYK up 2 (95-93),C. Anthony misses 2-pt shot from 14 ft,NYK up 2 (95-93)
56,2014-11-02,NYK,,CHO,4th,0:21.0,NYK up 2 (95-93),I. Shumpert misses 2-pt shot from 22 ft,NYK up 2 (95-93)
57,2014-11-04,NYK,,WAS,1st,2:54.0,NYK up 3 (13-10),J. Smith makes 2-pt shot from 20 ft (assist by J. Smith),NYK up 5 (15-10)
58,2014-11-04,NYK,,WAS,1st,2:20.0,NYK up 5 (15-10),J. Smith misses 3-pt shot from 26 ft,NYK up 5 (15-10)
59,2014-11-04,NYK,,WAS,1st,1:33.0,NYK up 3 (15-12),C. Anthony makes 2-pt shot from 18 ft,NYK up 5 (17-12)
60,2014-11-04,NYK,,WAS,1st,1:16.0,NYK up 3 (17-14),J. Smith makes 2-pt shot from 3 ft (assist by J. Smith),NYK up 5 (19-14)
61,2014-11-04,NYK,,WAS,1st,0:51.0,NYK up 2 (19-17),C. Aldrich makes 2-pt shot at rim (assist by C. Anthony),NYK up 4 (21-17)
62,2014-11-04,NYK,,WAS,1st,0:03.0,NYK up 6 (23-17),J. Smith misses 2-pt shot from 20 ft,NYK up 6 (23-17)
63,2014-11-04,NYK,,WAS,2nd,2:59.0,NYK up 4 (39-35),A. Stoudemire makes 2-pt shot from 4 ft,NYK up 6 (41-35)
