Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,OKC,@,POR,1st,2:46.0,OKC up 6 (26-20),K. Perkins makes 2-pt shot from 8 ft (assist by S. Telfair),OKC up 8 (28-20)
2,2014-10-29,OKC,@,POR,1st,1:59.0,OKC up 6 (28-22),S. Telfair misses 3-pt shot from 23 ft,OKC up 6 (28-22)
3,2014-10-29,OKC,@,POR,1st,1:43.0,OKC up 4 (28-24),L. Thomas makes 2-pt shot at rim (assist by S. Telfair),OKC up 6 (30-24)
4,2014-10-29,OKC,@,POR,1st,1:14.0,OKC up 5 (30-25),L. Thomas makes 2-pt shot from 4 ft (assist by N. Collison),OKC up 7 (32-25)
5,2014-10-29,OKC,@,POR,1st,0:39.0,OKC up 5 (32-27),K. Perkins misses 2-pt shot from 4 ft,OKC up 5 (32-27)
6,2014-10-29,OKC,@,POR,1st,0:38.0,OKC up 5 (32-27),L. Thomas makes 2-pt shot at rim,OKC up 7 (34-27)
7,2014-10-29,OKC,@,POR,1st,0:01.0,OKC up 5 (34-29),S. Telfair misses 2-pt shot from 8 ft (block by J. Freeland),OKC up 5 (34-29)
8,2014-10-29,OKC,@,POR,2nd,2:49.0,OKC up 1 (48-47),N. Collison makes 2-pt shot from 2 ft (assist by R. Westbrook),OKC up 3 (50-47)
9,2014-10-29,OKC,@,POR,2nd,2:45.0,OKC up 3 (50-47),A. Roberson misses 2-pt shot from 2 ft (block by L. Aldridge),OKC up 3 (50-47)
10,2014-10-29,OKC,@,POR,2nd,2:12.0,OKC up 3 (50-47),R. Westbrook makes 2-pt shot from 2 ft (assist by N. Collison),OKC up 5 (52-47)
11,2014-10-29,OKC,@,POR,2nd,1:29.0,OKC up 5 (52-47),P. Jones misses 2-pt shot from 6 ft,OKC up 5 (52-47)
12,2014-10-29,OKC,@,POR,2nd,0:00.0,OKC up 3 (52-49),R. Westbrook makes 2-pt shot at rim (assist by N. Collison),OKC up 5 (54-49)
13,2014-10-29,OKC,@,POR,3rd,2:51.0,OKC tied (73-73),L. Thomas misses 2-pt shot from 15 ft,OKC tied (73-73)
14,2014-10-29,OKC,@,POR,3rd,2:22.0,OKC down 2 (73-75),N. Collison misses 3-pt shot from 24 ft,OKC down 2 (73-75)
15,2014-10-29,OKC,@,POR,3rd,1:53.0,OKC down 2 (73-75),S. Telfair makes 2-pt shot from 19 ft,OKC tied (75-75)
16,2014-10-29,OKC,@,POR,3rd,1:29.0,OKC tied (75-75),P. Jones misses 2-pt shot from 2 ft,OKC tied (75-75)
17,2014-10-29,OKC,@,POR,3rd,1:27.0,OKC tied (75-75),K. Perkins makes 2-pt shot from 1 ft,OKC up 2 (77-75)
18,2014-10-29,OKC,@,POR,3rd,1:00.0,OKC up 2 (77-75),P. Jones misses 2-pt shot from 3 ft,OKC up 2 (77-75)
19,2014-10-29,OKC,@,POR,3rd,0:40.0,OKC up 2 (77-75),N. Collison misses 3-pt shot from 23 ft,OKC up 2 (77-75)
20,2014-10-29,OKC,@,POR,3rd,0:04.0,OKC up 2 (77-75),S. Telfair misses 3-pt shot from 26 ft,OKC up 2 (77-75)
21,2014-10-29,OKC,@,POR,4th,2:45.0,OKC down 16 (85-101),R. Westbrook misses 2-pt shot from 2 ft (block by R. Lopez),OKC down 16 (85-101)
22,2014-10-29,OKC,@,POR,4th,2:42.0,OKC down 16 (85-101),N. Collison misses 2-pt shot from 13 ft,OKC down 16 (85-101)
23,2014-10-29,OKC,@,POR,4th,2:33.0,OKC down 16 (85-101),P. Jones misses 3-pt shot from 24 ft,OKC down 16 (85-101)
24,2014-10-29,OKC,@,POR,4th,1:53.0,OKC down 16 (85-101),S. Telfair misses 2-pt shot from 2 ft,OKC down 16 (85-101)
25,2014-10-29,OKC,@,POR,4th,1:18.0,OKC down 18 (85-103),S. Adams makes 2-pt shot from 14 ft,OKC down 16 (87-103)
26,2014-10-29,OKC,@,POR,4th,0:16.0,OKC down 17 (89-106),P. Jones misses 3-pt shot from 24 ft,OKC down 17 (89-106)
27,2014-10-30,OKC,@,LAC,1st,2:49.0,OKC up 4 (22-18),N. Collison misses 2-pt shot from 3 ft,OKC up 4 (22-18)
28,2014-10-30,OKC,@,LAC,1st,0:51.0,OKC up 6 (26-20),N. Collison makes 2-pt shot from 9 ft (assist by S. Telfair),OKC up 8 (28-20)
29,2014-10-30,OKC,@,LAC,1st,0:01.0,OKC up 6 (28-22),P. Jones misses 3-pt shot from 25 ft,OKC up 6 (28-22)
