Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-28,ORL,@,NOP,1st,2:00.0,ORL up 5 (23-18),B. Gordon misses 2-pt shot from 11 ft,ORL up 5 (23-18)
2,2014-10-28,ORL,@,NOP,1st,1:03.0,ORL up 3 (25-22),L. Ridnour misses 2-pt shot from 3 ft,ORL up 3 (25-22)
3,2014-10-28,ORL,@,NOP,1st,0:33.0,ORL up 3 (25-22),W. Green misses 2-pt shot from 5 ft,ORL up 3 (25-22)
4,2014-10-28,ORL,@,NOP,1st,0:26.0,ORL up 3 (25-22),B. Gordon misses 3-pt shot from 24 ft,ORL up 3 (25-22)
5,2014-10-28,ORL,@,NOP,2nd,2:55.0,ORL down 4 (38-42),A. Gordon misses 3-pt shot from 23 ft,ORL down 4 (38-42)
6,2014-10-28,ORL,@,NOP,2nd,2:11.0,ORL down 6 (38-44),N. Vucevic misses 2-pt shot from 4 ft,ORL down 6 (38-44)
7,2014-10-28,ORL,@,NOP,2nd,0:37.0,ORL down 7 (39-46),T. Harris misses 2-pt shot from 6 ft,ORL down 7 (39-46)
8,2014-10-28,ORL,@,NOP,2nd,0:27.0,ORL down 7 (39-46),B. Gordon misses 2-pt shot from 21 ft (block by E. Gordon),ORL down 7 (39-46)
9,2014-10-28,ORL,@,NOP,2nd,0:18.0,ORL down 7 (39-46),E. Payton misses 2-pt shot from 5 ft (block by A. Davis),ORL down 7 (39-46)
10,2014-10-28,ORL,@,NOP,2nd,0:14.0,ORL down 7 (39-46),E. Payton misses 2-pt shot from 3 ft (block by A. Davis),ORL down 7 (39-46)
11,2014-10-28,ORL,@,NOP,2nd,0:00.0,ORL down 7 (41-48),E. Fournier misses 3-pt shot from 47 ft,ORL down 7 (41-48)
12,2014-10-28,ORL,@,NOP,3rd,2:22.0,ORL down 2 (61-63),B. Gordon misses 2-pt shot from 3 ft,ORL down 2 (61-63)
13,2014-10-28,ORL,@,NOP,3rd,1:54.0,ORL down 3 (61-64),L. Ridnour misses 2-pt shot from 4 ft,ORL down 3 (61-64)
14,2014-10-28,ORL,@,NOP,3rd,1:24.0,ORL down 6 (61-67),E. Fournier makes 2-pt shot from 2 ft (assist by K. O'Quinn),ORL down 4 (63-67)
15,2014-10-28,ORL,@,NOP,3rd,0:53.0,ORL down 5 (64-69),K. O'Quinn misses 2-pt shot from 6 ft,ORL down 5 (64-69)
16,2014-10-28,ORL,@,NOP,3rd,0:36.0,ORL down 8 (64-72),E. Fournier misses 2-pt shot from 2 ft (block by A. Davis),ORL down 8 (64-72)
17,2014-10-28,ORL,@,NOP,4th,2:19.0,ORL down 23 (74-97),A. Gordon makes 2-pt shot from 3 ft (assist by E. Fournier),ORL down 21 (76-97)
18,2014-10-28,ORL,@,NOP,4th,1:53.0,ORL down 21 (76-97),A. Gordon misses 2-pt shot from 2 ft,ORL down 21 (76-97)
