Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,SAC,,GSW,1st,2:40.0,SAC down 1 (16-17),D. Cousins misses 2-pt shot from 19 ft,SAC down 1 (16-17)
2,2014-10-29,SAC,,GSW,1st,1:37.0,SAC down 5 (16-21),D. Williams misses 2-pt shot from 7 ft,SAC down 5 (16-21)
3,2014-10-29,SAC,,GSW,1st,1:11.0,SAC down 7 (16-23),C. Landry misses 2-pt shot from 15 ft,SAC down 7 (16-23)
4,2014-10-29,SAC,,GSW,1st,1:05.0,SAC down 7 (16-23),R. Evans misses 2-pt shot from 4 ft (block by J. Holiday),SAC down 7 (16-23)
5,2014-10-29,SAC,,GSW,1st,0:36.0,SAC down 7 (18-25),N. Stauskas makes 3-pt shot from 23 ft (assist by R. Sessions),SAC down 4 (21-25)
6,2014-10-29,SAC,,GSW,1st,0:03.0,SAC down 4 (21-25),R. Sessions misses 2-pt shot from 6 ft (block by O. Kuzmic),SAC down 4 (21-25)
7,2014-10-29,SAC,,GSW,1st,0:01.0,SAC down 4 (21-25),C. Landry makes 2-pt shot at rim,SAC down 2 (23-25)
8,2014-10-29,SAC,,GSW,2nd,2:51.0,SAC down 1 (38-39),R. Gay makes 2-pt shot from 4 ft,SAC up 1 (40-39)
9,2014-10-29,SAC,,GSW,2nd,1:38.0,SAC up 2 (43-41),N. Stauskas makes 3-pt shot from 25 ft (assist by D. Cousins),SAC up 5 (46-41)
10,2014-10-29,SAC,,GSW,2nd,0:59.0,SAC up 4 (47-43),R. Gay misses 3-pt shot from 26 ft,SAC up 4 (47-43)
11,2014-10-29,SAC,,GSW,3rd,0:49.0,SAC down 15 (58-73),D. Collison misses 2-pt shot from 4 ft (block by L. Barbosa),SAC down 15 (58-73)
12,2014-10-29,SAC,,GSW,3rd,0:35.0,SAC down 15 (58-73),D. Collison makes 3-pt shot from 24 ft (assist by B. McLemore),SAC down 12 (61-73)
13,2014-10-29,SAC,,GSW,3rd,0:05.0,SAC down 12 (61-73),O. Casspi makes 2-pt shot at rim (assist by D. Collison),SAC down 10 (63-73)
14,2014-10-29,SAC,,GSW,3rd,0:01.0,SAC down 10 (63-73),D. Collison misses 3-pt shot from 34 ft,SAC down 10 (63-73)
15,2014-10-29,SAC,,GSW,4th,2:59.0,SAC down 16 (73-89),D. Cousins makes 2-pt shot from 18 ft,SAC down 14 (75-89)
16,2014-10-29,SAC,,GSW,4th,1:15.0,SAC down 17 (75-92),R. Hollins makes 2-pt shot at rim (assist by O. Casspi),SAC down 15 (77-92)
17,2014-10-29,SAC,,GSW,4th,0:46.0,SAC down 18 (77-95),O. Casspi misses 2-pt shot from 5 ft (block by A. Bogut),SAC down 18 (77-95)
18,2014-10-29,SAC,,GSW,4th,0:24.0,SAC down 18 (77-95),N. Stauskas misses 3-pt shot from 26 ft,SAC down 18 (77-95)
19,2014-10-31,SAC,,POR,1st,2:47.0,SAC up 1 (18-17),R. Gay makes 2-pt shot from 15 ft,SAC up 3 (20-17)
20,2014-10-31,SAC,,POR,1st,2:20.0,SAC up 3 (20-17),J. Thompson misses 2-pt shot from 17 ft,SAC up 3 (20-17)
21,2014-10-31,SAC,,POR,1st,1:01.0,SAC up 4 (24-20),R. Sessions misses 2-pt shot from 7 ft,SAC up 4 (24-20)
22,2014-10-31,SAC,,POR,1st,0:36.0,SAC up 2 (24-22),N. Stauskas misses 2-pt shot from 13 ft (block by D. Lillard),SAC up 2 (24-22)
23,2014-10-31,SAC,,POR,1st,0:33.0,SAC up 2 (24-22),O. Casspi makes 2-pt shot from 8 ft,SAC up 4 (26-22)
24,2014-10-31,SAC,,POR,1st,0:01.0,SAC up 2 (26-24),C. Landry misses 2-pt shot from 18 ft,SAC up 2 (26-24)
25,2014-10-31,SAC,,POR,2nd,1:54.0,SAC down 1 (43-44),D. Collison misses 2-pt shot from 3 ft,SAC down 1 (43-44)
26,2014-10-31,SAC,,POR,2nd,1:46.0,SAC down 1 (43-44),D. Collison misses 3-pt shot from 25 ft,SAC down 1 (43-44)
27,2014-10-31,SAC,,POR,2nd,0:47.0,SAC tied (46-46),D. Collison makes 2-pt shot from 17 ft,SAC up 2 (48-46)
28,2014-10-31,SAC,,POR,3rd,2:42.0,SAC up 4 (69-65),J. Thompson misses 2-pt shot from 7 ft,SAC up 4 (69-65)
29,2014-10-31,SAC,,POR,3rd,2:00.0,SAC up 2 (69-67),D. Collison makes 2-pt shot from 19 ft,SAC up 4 (71-67)
30,2014-10-31,SAC,,POR,3rd,1:22.0,SAC up 2 (71-69),O. Casspi misses 2-pt shot from 3 ft (block by C. Kaman),SAC up 2 (71-69)
31,2014-10-31,SAC,,POR,3rd,1:16.0,SAC up 2 (71-69),R. Evans misses 2-pt shot from 12 ft,SAC up 2 (71-69)
32,2014-10-31,SAC,,POR,3rd,0:42.0,SAC up 2 (71-69),D. Collison misses 2-pt shot from 19 ft,SAC up 2 (71-69)
33,2014-10-31,SAC,,POR,3rd,0:04.0,SAC tied (71-71),J. Thompson misses 2-pt shot from 10 ft,SAC tied (71-71)
34,2014-10-31,SAC,,POR,4th,2:16.0,SAC up 9 (92-83),R. Gay misses 2-pt shot from 12 ft,SAC up 9 (92-83)
35,2014-10-31,SAC,,POR,4th,2:16.0,SAC up 9 (92-83),C. Landry makes 2-pt shot from 2 ft,SAC up 11 (94-83)
36,2014-10-31,SAC,,POR,4th,1:16.0,SAC up 9 (95-86),D. Collison misses 3-pt shot from 25 ft,SAC up 9 (95-86)
37,2014-10-31,SAC,,POR,4th,0:49.0,SAC up 6 (95-89),D. Collison misses 2-pt shot from 16 ft,SAC up 6 (95-89)
38,2014-11-02,SAC,@,LAC,1st,2:50.0,SAC up 6 (19-13),J. Thompson makes 2-pt shot at rim (assist by D. Cousins),SAC up 8 (21-13)
39,2014-11-02,SAC,@,LAC,1st,2:07.0,SAC up 6 (21-15),R. Gay makes 2-pt shot from 10 ft (assist by J. Thompson),SAC up 8 (23-15)
40,2014-11-02,SAC,@,LAC,1st,1:35.0,SAC up 6 (23-17),R. Gay makes 2-pt shot from 8 ft,SAC up 8 (25-17)
