Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-28,SAS,,DAL,1st,2:51.0,SAS up 1 (14-13),M. Belinelli makes 3-pt shot from 24 ft (assist by T. Parker),SAS up 4 (17-13)
2,2014-10-28,SAS,,DAL,1st,2:20.0,SAS up 1 (17-16),A. Baynes makes 2-pt shot from 3 ft (assist by T. Parker),SAS up 3 (19-16)
3,2014-10-28,SAS,,DAL,1st,1:47.0,SAS up 1 (19-18),B. Diaw makes 2-pt shot from 3 ft (assist by M. Ginobili),SAS up 3 (21-18)
4,2014-10-28,SAS,,DAL,1st,0:30.0,SAS up 1 (23-22),D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili),SAS up 4 (26-22)
5,2014-10-28,SAS,,DAL,2nd,2:38.0,SAS down 7 (40-47),M. Ginobili makes 2-pt shot from 6 ft,SAS down 5 (42-47)
6,2014-10-28,SAS,,DAL,2nd,2:00.0,SAS down 7 (42-49),C. Joseph makes 3-pt shot from 22 ft (assist by B. Diaw),SAS down 4 (45-49)
7,2014-10-28,SAS,,DAL,2nd,1:10.0,SAS down 7 (45-52),M. Ginobili misses 2-pt shot from 2 ft,SAS down 7 (45-52)
8,2014-10-28,SAS,,DAL,2nd,1:04.0,SAS down 7 (45-52),M. Ginobili misses 2-pt shot from 4 ft,SAS down 7 (45-52)
9,2014-10-28,SAS,,DAL,2nd,0:14.0,SAS down 8 (45-53),M. Belinelli misses 3-pt shot from 25 ft,SAS down 8 (45-53)
10,2014-10-28,SAS,,DAL,3rd,2:48.0,SAS tied (69-69),M. Ginobili makes 3-pt shot from 26 ft (assist by T. Parker),SAS up 3 (72-69)
11,2014-10-28,SAS,,DAL,3rd,1:59.0,SAS up 1 (72-71),C. Joseph misses 3-pt shot from 23 ft,SAS up 1 (72-71)
12,2014-10-28,SAS,,DAL,3rd,1:01.0,SAS up 1 (74-73),B. Diaw misses 2-pt shot from 10 ft,SAS up 1 (74-73)
13,2014-10-28,SAS,,DAL,3rd,0:35.0,SAS up 1 (74-73),M. Ginobili misses 3-pt shot from 25 ft,SAS up 1 (74-73)
14,2014-10-28,SAS,,DAL,3rd,0:02.0,SAS up 1 (74-73),M. Ginobili makes 2-pt shot from 15 ft,SAS up 3 (76-73)
15,2014-10-28,SAS,,DAL,4th,2:31.0,SAS up 2 (96-94),M. Ginobili makes 2-pt shot from 1 ft (assist by T. Duncan),SAS up 4 (98-94)
16,2014-10-28,SAS,,DAL,4th,1:56.0,SAS up 2 (98-96),B. Diaw misses 3-pt shot from 26 ft,SAS up 2 (98-96)
17,2014-10-28,SAS,,DAL,4th,1:37.0,SAS tied (98-98),T. Duncan misses 2-pt shot from 1 ft,SAS tied (98-98)
18,2014-10-28,SAS,,DAL,4th,1:07.0,SAS down 2 (98-100),T. Parker makes 3-pt shot from 24 ft (assist by B. Diaw),SAS up 1 (101-100)
19,2014-10-28,SAS,,DAL,4th,0:28.0,SAS up 1 (101-100),M. Ginobili misses 2-pt shot from 17 ft,SAS up 1 (101-100)
20,2014-10-31,SAS,@,PHO,1st,2:11.0,SAS up 10 (18-8),M. Belinelli misses 2-pt shot from 4 ft,SAS up 10 (18-8)
21,2014-10-31,SAS,@,PHO,1st,1:29.0,SAS up 11 (19-8),B. Diaw misses 2-pt shot from 7 ft,SAS up 11 (19-8)
22,2014-10-31,SAS,@,PHO,1st,1:28.0,SAS up 11 (19-8),A. Baynes makes 2-pt shot from 1 ft,SAS up 13 (21-8)
23,2014-10-31,SAS,@,PHO,1st,0:59.0,SAS up 12 (21-9),B. Diaw misses 3-pt shot from 25 ft,SAS up 12 (21-9)
24,2014-10-31,SAS,@,PHO,1st,0:38.0,SAS up 12 (21-9),C. Joseph misses 3-pt shot from 23 ft,SAS up 12 (21-9)
25,2014-10-31,SAS,@,PHO,1st,0:20.0,SAS up 12 (21-9),B. Diaw makes 3-pt shot from 23 ft (assist by M. Ginobili),SAS up 15 (24-9)
26,2014-10-31,SAS,@,PHO,1st,0:00.0,SAS up 13 (24-11),C. Joseph misses 3-pt shot from 46 ft,SAS up 13 (24-11)
27,2014-10-31,SAS,@,PHO,2nd,2:49.0,SAS up 4 (38-34),T. Parker makes 2-pt shot from 19 ft,SAS up 6 (40-34)
28,2014-10-31,SAS,@,PHO,2nd,2:16.0,SAS up 4 (40-36),A. Daye misses 3-pt shot from 25 ft,SAS up 4 (40-36)
29,2014-10-31,SAS,@,PHO,2nd,1:12.0,SAS up 6 (42-36),A. Daye makes 3-pt shot from 25 ft (assist by T. Duncan),SAS up 9 (45-36)
30,2014-10-31,SAS,@,PHO,2nd,0:31.0,SAS up 9 (45-36),K. Leonard misses 3-pt shot from 25 ft,SAS up 9 (45-36)
31,2014-10-31,SAS,@,PHO,2nd,0:02.0,SAS up 9 (45-36),T. Parker misses 2-pt shot from 1 ft,SAS up 9 (45-36)
32,2014-10-31,SAS,@,PHO,3rd,2:54.0,SAS up 5 (62-57),T. Duncan misses 2-pt shot from 10 ft,SAS up 5 (62-57)
33,2014-10-31,SAS,@,PHO,3rd,2:36.0,SAS up 5 (62-57),C. Joseph makes 2-pt shot from 4 ft,SAS up 7 (64-57)
34,2014-10-31,SAS,@,PHO,3rd,2:06.0,SAS up 6 (65-59),B. Diaw misses 3-pt shot from 25 ft,SAS up 6 (65-59)
35,2014-10-31,SAS,@,PHO,3rd,0:54.0,SAS up 2 (67-65),B. Diaw makes 2-pt shot from 6 ft,SAS up 4 (69-65)
36,2014-10-31,SAS,@,PHO,3rd,0:30.0,SAS up 2 (69-67),T. Parker misses 2-pt shot from 12 ft,SAS up 2 (69-67)
37,2014-10-31,SAS,@,PHO,3rd,0:01.0,SAS up 2 (69-67),B. Diaw makes 2-pt shot from 1 ft (assist by M. Belinelli),SAS up 4 (71-67)
38,2014-10-31,SAS,@,PHO,4th,2:23.0,SAS down 1 (87-88),M. Ginobili misses 3-pt shot from 26 ft,SAS down 1 (87-88)
39,2014-10-31,SAS,@,PHO,4th,1:49.0,SAS down 3 (87-90),T. Duncan misses 2-pt shot from 14 ft,SAS down 3 (87-90)
40,2014-10-31,SAS,@,PHO,4th,0:01.0,SAS down 5 (89-94),D. Green misses 3-pt shot from 25 ft (block by E. Bledsoe),SAS down 5 (89-94)
41,2014-11-05,SAS,,ATL,1st,2:37.0,SAS up 13 (24-11),M. Ginobili misses 2-pt shot from 16 ft,SAS up 13 (24-11)
42,2014-11-05,SAS,,ATL,1st,1:21.0,SAS up 9 (24-15),M. Belinelli misses 2-pt shot from 2 ft,SAS up 9 (24-15)
43,2014-11-05,SAS,,ATL,1st,0:39.0,SAS up 9 (24-15),D. Green makes 3-pt shot from 26 ft (assist by M. Ginobili),SAS up 12 (27-15)
44,2014-11-05,SAS,,ATL,1st,0:02.0,SAS up 12 (27-15),C. Joseph misses 3-pt shot from 25 ft,SAS up 12 (27-15)
45,2014-11-05,SAS,,ATL,2nd,2:10.0,SAS up 14 (44-30),K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan),SAS up 16 (46-30)
46,2014-11-05,SAS,,ATL,2nd,1:34.0,SAS up 14 (46-32),T. Parker makes 2-pt shot from 21 ft (assist by B. Diaw),SAS up 16 (48-32)
