Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2014-10-29,UTA,,HOU,1st,2:53.0,UTA down 1 (22-23),T. Booker misses 2-pt shot from 16 ft,UTA down 1 (22-23)
2,2014-10-29,UTA,,HOU,1st,1:56.0,UTA down 4 (22-26),R. Hood makes 3-pt shot from 23 ft (assist by D. Favors),UTA down 1 (25-26)
3,2014-10-29,UTA,,HOU,1st,0:58.0,UTA down 2 (25-27),G. Hayward makes 2-pt shot at rim,UTA tied (27-27)
4,2014-10-29,UTA,,HOU,1st,0:23.0,UTA tied (27-27),T. Booker misses 2-pt shot from 10 ft,UTA tied (27-27)
5,2014-10-29,UTA,,HOU,2nd,2:31.0,UTA down 1 (46-47),A. Burks misses 2-pt shot from 4 ft (block by D. Howard),UTA down 1 (46-47)
6,2014-10-29,UTA,,HOU,2nd,2:26.0,UTA down 1 (46-47),G. Hayward misses 3-pt shot from 25 ft,UTA down 1 (46-47)
7,2014-10-29,UTA,,HOU,2nd,1:58.0,UTA down 4 (46-50),R. Hood makes 2-pt shot at rim (assist by G. Hayward),UTA down 2 (48-50)
8,2014-10-29,UTA,,HOU,2nd,0:56.0,UTA down 2 (50-52),G. Hayward misses 2-pt shot from 8 ft,UTA down 2 (50-52)
9,2014-10-29,UTA,,HOU,2nd,0:24.0,UTA down 5 (50-55),T. Burke misses 3-pt shot from 25 ft,UTA down 5 (50-55)
10,2014-10-29,UTA,,HOU,3rd,2:57.0,UTA down 13 (62-75),R. Hood misses 3-pt shot from 23 ft,UTA down 13 (62-75)
11,2014-10-29,UTA,,HOU,3rd,2:52.0,UTA down 13 (62-75),T. Booker makes 2-pt shot from 1 ft (assist by G. Hayward),UTA down 11 (64-75)
12,2014-10-29,UTA,,HOU,3rd,2:32.0,UTA down 11 (64-75),T. Burke makes 2-pt shot from 1 ft (assist by G. Hayward),UTA down 9 (66-75)
13,2014-10-29,UTA,,HOU,3rd,1:54.0,UTA down 9 (66-75),D. Favors misses 2-pt shot from 12 ft,UTA down 9 (66-75)
14,2014-10-29,UTA,,HOU,3rd,1:30.0,UTA down 9 (66-75),T. Booker misses 2-pt shot from 2 ft (block by K. Papanikolaou),UTA down 9 (66-75)
15,2014-10-29,UTA,,HOU,3rd,1:22.0,UTA down 9 (66-75),T. Booker makes 2-pt shot from 3 ft (assist by T. Burke),UTA down 7 (68-75)
16,2014-10-29,UTA,,HOU,3rd,0:54.0,UTA down 7 (68-75),T. Burke makes 2-pt shot from 3 ft,UTA down 5 (70-75)
17,2014-10-29,UTA,,HOU,3rd,0:11.0,UTA down 5 (70-75),T. Burke makes 2-pt shot from 3 ft,UTA down 3 (72-75)
18,2014-10-29,UTA,,HOU,4th,2:47.0,UTA down 15 (85-100),A. Burks misses 3-pt shot from 25 ft,UTA down 15 (85-100)
19,2014-10-29,UTA,,HOU,4th,2:25.0,UTA down 15 (85-100),T. Burke makes 2-pt shot from 2 ft (assist by D. Favors),UTA down 13 (87-100)
20,2014-10-29,UTA,,HOU,4th,1:23.0,UTA down 13 (89-102),A. Burks makes 2-pt shot from 6 ft,UTA down 11 (91-102)
21,2014-10-29,UTA,,HOU,4th,0:47.0,UTA down 11 (91-102),G. Hayward misses 2-pt shot from 3 ft,UTA down 11 (91-102)
22,2014-10-29,UTA,,HOU,4th,0:46.0,UTA down 11 (91-102),D. Favors makes 2-pt shot at rim,UTA down 9 (93-102)
23,2014-10-30,UTA,@,DAL,1st,2:37.0,UTA down 8 (20-28),R. Hood misses 3-pt shot from 25 ft,UTA down 8 (20-28)
