Rnk,Name,OffEff,DefEff,efg_own,efg_opp,ftr_Own,ftr_opp,tor_own,tor_opp,orr_own,orr_opp
1,OKC,110.2,99.2,52.66,46.92,33.8,25.4,14.36,13.52,26.65,26.59
2,MIA,110.3,100.5,55.24,48.71,29.7,26.2,13.74,14.75,22.2,27
3,LAC,107.7,101,52.57,49.2,28.6,30.6,13.86,15.38,28.83,26.47
4,SAS,105.9,99.2,53.06,47.97,25.8,23.5,13.96,13.72,20.54,25.1
5,DEN,107.6,102,51.55,49.32,30.8,26.4,13.65,14.27,31.35,28.17
6,NYK,108.6,103.5,51.45,50.83,25.8,28.6,11.71,14.77,25.57,25.28
7,IND,101.6,96.6,47.85,45.32,29.3,26,14.28,12.87,30.28,25.39
8,MEM,101.7,97.4,47.24,47.53,26.1,27.9,13.32,15.19,30.98,25.68
9,HOU,106.7,103.5,52.46,50.16,30.8,25.3,14.9,13.45,26.36,24.83
10,LAL,105.6,103.6,51.18,49.58,34.5,22.2,13.88,11.86,26.97,25.74
11,GSW,104.2,102.6,50.57,48.6,25.5,28.2,13.99,12.44,25.42,24.46
12,BKN,105,103.6,49.76,50.27,29.9,23.8,14,13.11,30.95,26.3
13,ATL,102.7,101.8,51.73,49.58,24.4,23.7,14.22,14.22,22.18,26.36
14,BOS,101.1,100.4,50.32,48.22,26.3,29.2,14.08,14.19,20.08,26.75
15,CHI,100.4,100.3,47.01,47.72,25.9,27.8,13.56,13.23,29.36,26.38
16,DAL,103.6,104,50.57,49.17,24.2,30.2,13.04,13.35,21.8,26.95
17,UTH,103.6,104.3,49.17,50.12,28.1,29.8,13.83,14,28.79,26.83
18,MIL,100.9,102.3,47.64,49.19,23.6,26.5,12.7,14.45,27.92,28.66
19,TOR,102.9,104.7,48.83,49.96,27.4,33.1,13.05,13.58,25.51,26.55
20,WAS,97.8,100.6,47.55,48.34,26.1,27.9,14.23,13.69,24.6,25.4
21,MIN,100.1,102.9,47.27,51.09,30.5,24.8,13.77,14.99,27.36,26.05
22,PHI,99.5,103,48.12,49.55,20,26.4,12.49,13.68,24.89,26.59
23,POR,102.7,106.9,49.82,51.19,25,24.8,13.9,12.45,25.32,26.7
24,DET,100.9,105.6,48.74,50.46,28.2,27.4,14.26,13.12,28.27,27
25,NOR,102.7,107.6,48.91,52,24.8,27.4,14.03,13.09,29.24,25.61
26,SAC,103,108.6,49.12,51.74,27.1,29,13.43,13.56,26.61,28.98
27,CLE,100.8,106.9,47.33,52.31,26.5,30.4,12.98,14.44,28.15,27.37
28,PHO,98.2,105.7,47.72,51.17,23.4,27.4,14.35,14.22,26.96,28.08
29,ORL,98.9,106.7,48.46,50.83,19.7,26.5,13.7,11.78,25.37,25.37
30,CHA,98.3,108.9,45.98,52.4,31,26.4,13.24,13.25,25.74,28.9
